"Iqtidaa-ul-'Ilm al-'Amal
Knowledge Mandates Action",______: ______ _____ _____
"""O Ayoob! If Allaah presents you with knowledge, then present Allaah with worship. And do not let your only concern be to narrate it to the people.""","«_____ ________ _______ ____ _______ __________ _______ __________ _____ __________ ________ _______ ____ _________ ____ ________»"
"[39] Abul-Hasan Muhammad bin 'Abdil-'Azeez bin Ja'far Al-Bardha'ee informed us: Ahmad bin Muhammad bin 'Imraan narrated to us: Ahmad bin Al-Qaasim bin Nasr narrated to us: Muhammad bin Sulaymaan bin Habeeb Luwain narrated to us, saying: Abu Muhammad Al-Atraablisee narrated to me from Abu Mu'amar that Al-Hasan (Al-Basree) said:","39 - ___________ _____ _________ _________ ____ ______ __________ ____ ________ _______________ ____ ________ ____ _________ ____ __________ ___ ________ ____ __________ ____ _______ ___ _________ ____ ___________ ____ _______ _________ _____: __________ _____ _________ ____________________ ____ _____ _________ ____ __________ _____:"
"""The main concern of the scholars is guiding (ri'aayati), while the main concern of the foolish is narrating (riwaayah)""","«_______ ____________ _____________ _________ ____________ ____________»"
"[40] Abul-Farj 'Abdul-Wahhaab bin 'Abdil-'Azeez bin Al-Haarith bin Asad bin Al- Layth bin Sulaymaan bin Al-Aswad bin Sufyaan bin Yazeed bin Akeenah bin 'Abdillaah At-Tameemee informed us from his memory, saying: I heard my father say: I heard my father say: I heard my father say: I heard my father say: I heard my father say: I heard my father say: I heard my father say: I heard my father say: I heard my father say: I heard 'Alee bin Abee Taalib say:","40 - ___________ _____ _________ ______ ___________ ____ ______ __________ ____ __________ ____ ______ ____ _________ ____ ___________ ____ ___________ ____ _________ ____ _______ ____ __________ ____ ______ _______ ______________ ____ ________ _____: ________ ______ _______: ________ ______ _______: ________ ______ _______: ________ ______ _______: ________ ______ _______: ________ ______ _______: ________ ______ _______: ________ ______ _______: ________ _______ ____ _____ ________ _______ [_:36]:"
"""Knowledge calls upon action. So if it responds, (they join) and if not, it departs."" [The number of his forefathers is nine]","«______ _________ ____________ ______ __________ ________ _________» ______ _________ ________"
"[41] The Judge, Abul-Qaasim 'Alee bin Al-Muhsin bin 'Alee bin Muhammad bin Abil-Fahm At-Tanookhee informed us, saying: I found it written in the book of my grandfather: Ahmad bin Abil-'Alaa Al-Makkee narrated to me, saying: Ishaaq bin Muhammad bin Abaan An-Nakha'ee narrated to us, saying: An-Nawfilee narrated to me that Al-Haarifh bin 'Ubaydillaah said: I heard Ibn Abee Dhi'b narrate from Ibn Al- Munkadir that he said:","41 - ___________ _________ _____ __________ _______ ____ ___________ ____ _______ ____ _________ ____ _____ _________ ______________ _____: ________ ___ _______ _______ __________ ________ ____ _____ __________ ____________ _____: ___ _________ ____ _________ ____ _______ _____________ _____: __________ ______________ ____ __________ ____ ________ ________ _____: ________ _____ _____ ______ _________ ____ _____ ______________ _____:"
"""Knowledge calls upon action. If it responds, (they join), and if not, it departs.""","«_________ ________ ____________ ______ _________ ________ _________»"
"[42] Abul-Husayn Muhammad bin Ahmadain Hasnoon An-Nursee informed us, saying: Muhammad bin 'Abdillaah bin Al-Husayn Ad-Daqaaq informed us, saying: 'Abdullaah bin Muhammad bin 'Abdil-'Azeez informed us, saying: Muhammad bin Ziyaad bin Farwah Al-Baladee and Abu Shihaab narrated to us from Talhah, i.e. Ibn Zayd, from Safwaan bin 'Amr that Raashid bin Sa'ad said: Abud-Dardaa said:","42 - ___________ _____ ___________ _________ ____ ________ ____ _________ _____________ _____: ___________ _________ ____ ______ _______ ____ ___________ ____________ _____: ________ ______ _______ ____ _________ ____ ______ ___________ _____: ________ _________ ____ _______ ____ ________ _____________ ___ _____ ________ ____ ________ ____ _____ _______ ____ _________ ____ ________ ____ _______ ____ _______ _____: _____ _____ _____________"
"""Allaah does not bestow a servant with knowledge except that He makes him responsible on the Day of Judgement for paying it back with (good) deeds.""",«___ _______ _______ _______ _______ ______ _________ _______ ______ ____________ _________ ____ _________»
"[43] Abul-Farj Al-Husayn bin 'Alee bin 'Ubaydillaah At-Tanaajeeree informed me, saying: Ahmad bin 'Alee bin Hishaam At-Taymilee narrated to us in Koofah: 'Abdullaah bin Zeedaan narrated to us: Muhammad bin 'Abdir-Rahmaan Al-Muhrizee narrated to us, saying: Ayoob bin Yahyaa said: Fudayl bin 'Iyaad said:","___________ _____ _________ ___________ ____ _______ ____ ________ _______ _________________ _____: ________ ________ ____ _______ ____ _______ ______________ _____________ ___ ______ _______ ____ __________ ___ _________ ____ ______ ___________ _______________ _____: _____ ________ ____ ________: _____ ________ ____ ________:"
"""A person with knowledge will not cease to be ignorant of what he knows until he acts upon it. So when he acts upon it, then he becomes a person with knowledge.""","«___ _______ __________ ________ _____ ______ ______ ________ _____ _______ ______ ____ _____ ________»"
"[44] Abul-Hasan 'Alee bin Al-Qaasim bin Al-Hasan informed us in Basrah: Abul- Hasan 'Alee bin Ishaaq Al-Maadiraa'ee narrated to us: Al-Mufdil bin Muhammad narrated to us: Ishaaq bin Ibraaheem At-Tabaree narrated to us, saying: Fudayl said:","44 - ___________ _____ _________ _______ ____ __________ ____ _________ ___________ ______________ ___ _____ _________ _______ ____ _________ _________________ ___ ____________ ____ __________ ___ _________ ____ ____________ _____________ _____: _____ ___________:"
"""What was intended by the word 'knowledge' (in the Qur'aan and Sunnah) was only 'action.' And knowledge indicates action.""","«________ _______ ____ _________ __________ ___________ _______ _________»"
"[45] Al-Fudayl also said:
""It is upon the people to acquire knowledge. So when they attain knowledge, it is upon them to act (on it).""","45 - _______ ____________: «_____ ________ ____ ______________ _______ ________ ____________ _________»"
"[46] Abul-Fat'h Muhammad bin Ahmad bin Abil-Fawaaris informed us, saying: 'Ale bin 'Abdillaah bin Al-Mugheerah narrated to us: Ahmad bin Sa'eed Ad-Dimashqee narrated to us, saying: 'Abdullaah bin Al-Mu'taz said:","46 - ___________ _____ _________ _________ ____ ________ ____ _____ _____________ _____: ________ _______ ____ ______ _______ ____ _____________ ___ ________ ____ _______ _______________ _____: _____ ______ _______ ____ _____________:"
"""Knowledge without action is like a tree without fruit.""",«______ _____ ______ __________ _____ ________» [_:38]
"[47] He also said: ""The knowledge of a hypocrite is in his speech, while the knowledge of a believer is in his actions.""","47 - _______ _______: «______ ____________ ___ _________ ________ ___________ ___ ________»."
"[48] Muhammad bin Abee 'Alee Al-Asbahaanee recited to some of them:
""Act upon your knowledge and you will profit, O man
Knowledge doesn't benefit so long as one doesn't perfect his actions
Knowledge is beauty and Taqwaa (Fear) of Allaah is its decoration
Those with Taqwaa are always preoccupied with their knowledge
The proof of Allaah, O possessor of knowledge, is immense
Neither plotting nor scheming concerning it is of any use","48 - ___________ _________ ____ _____ _______ _________________ ____________:
[_____ ______]
_______ __________ ________ ________ _________ ... ___ ________ _________ ____ ____ ________ _________
___________ ______ _________ _______ _________ ... _______________ ______ ___ __________ ______
_________ _______ ___ ___ _________ _________ ... ___ _________ ________ ______ ___ _____ _________"
"Acquire knowledge and perform deeds as much as you can
And do not let vain pastimes and argumentation distract you
Team the people and always make it your goal to benefit them
And beware, beware of fatigue and weariness overtaking you
Admonish your brother with gentleness when he makes a mistake
For knowledge is affectionate with those who are overcome by errors","_________ _________ _________ ___ ___________ ____ ... ___ _____________ ______ _________ ___________
_________ ________ _________ __________ _______ ... ________ ________ ____ ___________ _________
______ _______ ________ ______ _________ ... ___________ ________ ____ ___________ _________
[_:39]"
"And if you are amidst a people that have no religious morals
Then command them to do good when they act ignorantly (i.e. sin)
And if they disobey you, then remind them without getting annoyed
And be patient, strive in patience and do not let their actions worry you
For every goat is attached to its two feet
Have patience whether they are oppressive or fair.""","______ ______ ______ ______ ___ _______ ______ ... ________ __________ ___________ _____ ________
______ ________ _____________ _____ ______ ... _________ _________ _____ __________ ___ ________
_______ _____ _____________ ___________ ... ________ ________ ____ _______ ______ ________"
"[49] Abul-Hasan Muhammad bin 'Ubaydillaah bin Muhammad Al-Hannaa'ee informed us, saying: 'Abdullaah bin Ahmad bin As-Sideeq Al-Marwazee narrated to us: Abu Lubaabah Muhammad bin Al-Mahdee narrated to us: Ahmad bin 'Abdillaah bin Hakeem narrated to us: Abu Bakr Ahmad bin Muhammad bin Ahmad bin Ja'far Al-Yazdee reported to us in Asbahaan: Abu Bakr 'Abdullaah bin Muhammad bin 'Ataa Al-Qubaab narrated to us: Abu Taalib 'Abdullaah bin Ahmad bin Sawaadah Al- Baghdaadee narrated to us through dictation: Al-Hasan bin Far'ah narrated to us that Al-Fudayl bin 'Iyyaad narrated to us from...","49 - ___________ _____ _________ _________ ____ ______ _______ ____ _________ ______________ _____: ________ ______ _______ ____ ________ ____ ___________ _______________ __ _____ _________ _________ ____ _____________ ___ ________ ____ ______ _______ ____ ________ _____________ _____ ______ ________ ____ ________ ____ ________ ____________ ______________ ___ _____ ______ ______ _______ ____ _________ ____ _______ ____________ ___ _____ _______ ______ _______ ____ ________ ____ _________ ________________ __________ ___ _________ ____ _________ ___ ___________ ____ ________ __"
"Al-Hassan bin Abee Bakr informed us, saying: Abu Muhammad Ad-Di'laj bin Ahmad bin Di'laj Al-Mu'adal reported to us, saying: Muhammad bin 'Alee bin Zayd As-
Saa'igh informed us: Sa'eed bin Mansoor narrated to us that Fudayl bin 'Iyyaad narrated to us from...
Yahyaa bin 'Ubaydillaah reported from his father from Abu Hurairah that the Messenger of Allaah said:","_____________ _________ ____ _____ _______ _____: ________ _____ _________ ________ ____ ________ ____ ________ ____________ _____: ________ _________ ____ _______ ____ ______ ___________ ___ _______ ____ __________ ___ [_:40] ________ ____ ________ ____ _______ ____ ______ ________ ____ ________ ____ _____ ___________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""O nation (of Muslims)! Indeed I don't fear for you concerning that which you don't know. But rather look at how you act upon what you know.”","“__________ __________ _____ _______ ____________: «___ __________ __________» ______ ___ _______ __________ ______ ___ ____________ ________ _________ ______ ___________ ______ ___________"""
"[50] Abu 'Alee Al-Hasan bin Al-Husayn bin A1-'Abbaas An-Na'aalee informed us,
saying: Muhammad bin 'Abdillaah bin Ibraaheem Al-Marwazee narrated to us,
saying: Abu 'Abdir-Rahmaan 'Abdullaah bin Mahmood narrated to us: Yahyaa bin Aktham narrated to us: 'Abdul-A'laa bin Mash'har Al-Ghasaanee narrated to us, saying: I heard Khaalid bin Yazeed bin As-Subh say: I heard Yoonus bin Maysarah bin Halbas Al-Jeelaane say:","50 - ___________ _____ _______ _________ ____ ___________ ____ ___________ ______________ _____: ___ _________ ____ ______ _______ ____ ____________ _______________ _____: ___ _____ ______ ___________ ______ _______ ____ __________ ___ _______ ____ _________ ___ ______ __________ ____ ________ _______________ _____: ________ _______ ____ _______ ____ _________ _______: ________ _______ ____ __________ ____ ________ ________________ _______:"
"""Wisdom says: 'You seek after me O son of Aadam, but you can find me in two phrases: 'Act on the good of what you know' and 'Leave off the evil of what you know.'""","“_______ ___________: ____________ _____ _____ ________ __________ ___ __________: ________ ________ ___ _________ ________ _____ ___ ________"""
"[51] Al-Hasan bin Abee Bakr informed us, saying: Abu Sahl Ahmad bin Muhammad bin 'Abdillaah bin Ziyaad Al-Qattaan informed us: 'Abdul-Kareem bin Al-Haytham narrated to us, saying: Abul-Yamaan narrated to us: Huraiz narrated to us from Ibn Abee 'Awf that Abud-Dardaa said:","51 - ___________ _________ ____ _____ _______ _____: ________ _____ ______ ________ ____ _________ ____ ______ _______ ____ _______ ____________ ___ ______ __________ ____ ____________ _____: ___ _____ ___________ _____: ___ ________ ____ _____ _____ _______ ____ _____ _____________ _____ [_:41]:"
"""Indeed the servant will be asked on the Day of Judgement: 'What did you do based on what you knew?""'","“_____ _________ ______ ____________ ___________: ___ ________ _____ ________"""
[52] Abul-Fat'h Hilaal bin Muhammad bin Ja'far Al-Hafaar informed Ismaa'eel bin Muhammad As-Safaar reported to us: Muhammad bin 'Abdil-Malik Ad-Daqeeqee informed us: Yazeed bin Haaroon narrated to us: Waraqaa' reported to us from Yahyaa bin 'Ubaydillaah from his father that Abu Hurairah said: The Messenger of Allaah said:,"52 - ___________ _____ _________ _______ ____ _________ ____ ________ ____________ _____ ____________ ____ _________ ____________ _____ _________ ____ ______ _________ ______________ ___ _______ ____ _________ _____ __________ ____ _______ ____ ________ ________ ____ ________ ____ _____ ___________ _____: _____ _______ _______ ______ _____ ________ _________:"
"""Indeed, I do not fear for you concerning that which you don't know. But rather, look at how you act concerning what you do know.""","«______ ______ _______ __________ ______ ___ ____________ ________ _________ ______ ___________ ______ ___________»"
"[53] Abul-Fat'h Hilaal bin Muhammad bin Ja'far Al-Hafaar informed us, saying: Abu 'Alee Ismaa'eel bin Muhammad bin Ismaa'eel As-Safaar informed us: 'Abdur- Rahmaan bin Muhammad bin Mansoor Al-Haarithee narrated to us: Yazeed bin Haaroon narrated to us, saying: Huraiz bin 'Uthmaan reported to us from 'Abdur- Rahmaan bin Abee 'Awf that Abud-Dardaa said:","53 - ___________ _____ _________ _______ ____ _________ ____ ________ ____________ _____: ___________ _____ _______ ____________ ____ _________ ____ ____________ ____________ ___ ______ ___________ ____ _________ ____ _________ ______________ ___ _______ ____ _________ _____: ___________ _____ _________ _______ ____ _________ ____ _________ ___________ _______ ____ __________ ____ ______ ___________ ____ _____ _______ ____ _____ _____________ _____:"
"""Indeed, I only fear that the first thing my Lord will ask me about will be Him saying: 'You had gained knowledge. So what deeds did you do based on your knowledge?'""","“________ _______ ____ ________ _______ ___ ___________ ______ ______ ____ _______: ____ ________ _____ ________ ______ ________"""
"[54] Al-Hasan bin Abee Bakr informed us, saying: Di'laj bin Ahmad narrated to us, saying: Muhammad bin 'Alee bin Zayd reported to us: Sa'eed bin Mansoor narrated to us: Al-Haarith bin 'Ubayd Al-Iyaadee narrated to us: Maalik bin Deenaar narrated to us that Abud-Dardaa said:","54 - ___________ _________ ____ _____ _______ _____: _____ ________ ____ _________ _____: _____ _________ ____ _______ ____ _______ ___ _______ ____ __________ ___ __________ ____ ________ ______________ ___ _______ ____ _________ _____: _____ _____ _____________:"
"""Verily, the most dreaded thing that I fear for myself is that it be said to me: 'O 'Uwaymir, did you have knowledge?' And so I will respond: 'Yes.' Then it will be said to me: 'So what deeds did you do based on your knowledge?'""","“_____ ________ ___ _______ _____ _______ ____ _______ ___: ___ ___________ ____ _________ _________: ______ _________ ___: ________ ________ ______ ________"""
"[55] Abu Sa'eed Al-Hasan bin Muhammad bin 'Abdillaah bin Hasanwaih Al- Asbahaanee informed us, saying: Abu Ja'far Ahmad bin Ibraaheem At-Tameemee narrated to us, saying: 'Imraan bin 'Abdir-Raheem narrated to us: Al-Hasan bin Hafs narrated to us, saying: I heard Sufyaan say: Abud-Dardaa said:","55 - ___________ _____ _______ _________ ____ _________ ____ ______ _______ ____ ____________ __________________ _____: ___ _____ ________ ________ ____ ____________ _____________ _____: ___ _________ ____ ______ ___________ ___ ___________ ____ _______ _____: ________ __________ _______: _____ _____ ____________:"
"""I do not fear that it will be said to me: 'O 'Uwaymir, what did you know?' But rather, I fear that it will be said to me: 'O 'Uwaymir, what deeds did you do based on what you knew?'""","“______ ______ _______ ____ _______ ___: ___ __________ ______ _________ __________ _______ ____ _______: ___ __________ ______ ________ ______ ________"""
"[56] Muhammad bin Ahmad bin Rizq and Al-Hasan bin Abee Bakr both informed us, saying: Abu Bakr Ahmad bin Sulaymaan bin Ayoob Al-'Abaadaanee narrated to us, saying: Muhammad bin 'Abdil-Malik Ad-Daqeeqee reported to us: 'Ubaydullaah bin Moosaa narrated to us: Abu Bishr Al-Halabee narrated to us that Al-Hasan said:","56 - ___________ _________ ____ ________ ____ _______ ___________ ____ _____ _______ ______: _____ _____ ______ ________ ____ ___________ ____ ________ __________________ _____: _____ _________ ____ ______ _________ ______________ ___ ________ _______ ____ _______ _____: ___ _____ ______ _____________ ____ __________ _____:"
"""Eemaan is not just an outer decoration nor is it mere hope. Rather, it is that which settles in the hearts and which is confirmed in the actions. Whoever speaks a good statement and does unrighteous deeds, Allaah rejects his statement. And whoever speaks a good statement and does righteous deeds, his good deed serves to elevate his statement. This is since Allaah, the Most High, says: 'To Him ascend the good words, and it is the righteous deed that raises it (up to Allaah).' [Surah Faatir: 10]""","“______ ___________ _____________ _____ _____________ ________ ___ ______ ___ __________ [_:43] _____________ _____________ ____ _____ _______ ________ ______ _______ _______ ________ _____ _________ ______ _____ _______ ________ ________ ________ _________ ________ _______ _______ ________ _______: {________ ________ _________ __________ ___________ __________ __________} [____: 10]"""
"[57] Abul-Qaasim 'Abdur-Rahmaan bin Ahmad bin Ibraaheem Al-Qazweenee informed us, saying: 'Alee bin Ibraaheem bin Salamah Al-Qattaan reported to us: Abu Haatim Ar-Raazee narrated to us, saying: Abu 'Umar Al-Hawdee narrated to us: Al- Mubaarak bin Fadaalah narrated to us that Al-Hasan (Al-Basree) said concerning Allaah's saying:","57 - ___________ _____ __________ ______ ___________ ____ ________ ____ ____________ ________________ _____: _____ _______ ____ ____________ ____ ________ ____________ ___ _____ _______ ____________ _____: ___ _____ ______ _____________ ___ ____________ ____ __________ ____ __________"
"""And We have fastened every man's driver onto his neck:” 
""This (i.e. driver) refers to his actions.""",{_______ _________ _____________ _________ ___ ________} [_______: 13] _____: «________»
"[58] Muhammad bin Ahmad bin Rizq informed us, saying: Ahmad bin Sulaymaan Al- 'Abaadaanee reported to us, saying: Ja'far bin Muhammad bin Harb Al-'Abaadaanee narrated to us in 'Abaadaan, saying: Bishr bin Al-Haarith said:","58 - ___________ _________ ____ ________ ____ _______ _____: ___________ ________ ____ ___________ __________________ _____: __________ ________ ____ _________ ____ ______ __________________ ____________ _____: ________ ______ ____ ___________ _______:"
"""The virtue of knowledge lies in acting upon it, then that one ascends because of it.""","«________ ______ _________ _________ _____ _____ _________ ____»"
"[59] Abul-Qaasim 'Ubaydullaah bin 'Abdillaah bin Al-Husayn Al-Khafaaf informed us: Abu Taalib Muhammad bin Ahmad bin Ishaaq bin Al-Bahlool, the Judge, narrated to us: Muhammad bin Al-Husayn bin Hamdawaih Al-Harbee narrated to us, saying: I heard Ya'qoob bin Shawwaal say: I heard Bishr bin Al-Haarith say:","59 - ___________ _____ __________ ________ _______ ____ ______ _______ ____ ___________ ____________ ___ _____ _______ _________ ____ ________ ____ _________ ____ ____________ [_:44] __________ ___ _________ ____ ___________ ____ ____________ _____________ _____: ________ _________ ____ _________ _______: ________ ______ ____ ___________ _______:"
"""Knowledge is good - for the one who acts upon it. But as for the one who doesn't act on it - there is nothing more harmful (to him) than it.""","“_________ ______ ______ ______ _____ ______ ____ ________ ___ __________ _______: ______ ______ ____ _____ ______ ________ _______: _____ ____ ______"""
"[60] Muhammad bin Ahmad bin Rizq informed us: Ja'far bin Muhammad bin Nusayr Al-Khaldee informed us: Muhammad bin 'Abdillaah Al-Hadramee narrated to us: 'Abbaas Al-'Anbaree narrated to us: 'Abdus-Samad narrated to me, saying: I heard Sa'eed bin 'Attaar - and he would cry until he departed - say: 'Eesaa bin Maryam said:","60 - ___________ _________ ____ ________ ____ _____________ ___________ ________ ____ _________ ____ ________ _____________ ___ _________ ____ ______ _______ _______________ ___ ________ _______________ __________ ______ __________ _____: ________ _______ ____ __________ ________ _____ ______ _______ _____: «_____ ______ ____ ________»:"
"""Until when will you show the way to those who walk at night in the dark while you yourselves are living with the confused? Verily, that which should be sought from knowledge is a little, while (that which should be sought) from action is a lot.""","«_____ _____ _________ __________ _____ _____________ __________ __________ ____ __________________ ________ _________ ____ _________ ___________ ______ _________ __________»"
"[61] Al-'Alaa bin Hazm Al-Andalusee narrated to me, saying: Muhammad bin Al- Husayn bin Baqaa Al-Misree informed us, saying: My grandfather, 'Abdul-Ghanee Sa'eed Al-Azdee informed us: 'Abdullaah bin Ja'far bin Al-Warad narrated to us: 'Abdullaah bin Ahmad bin 'Abdis-Salaam narrated to us, saying: I heard 'Abdullaah bin Ahmad bin Shabweeh Al-Marwazee report from his father, who said: I heard Hafs bin Hameed say:","61 - __________ __________ ____ ______ _________________ _____: ___________ _________ ____ ___________ ____ _______ _____________ _____: ___________ ______ ______ __________ ____ _______ _____________ ___ ______ _______ ____ ________ ____ __________ ___ ______ _______ ____ ________ ____ ______ ___________ _____: ________ ______ _______ ____ ________ ____ ___________ _______________ _______ ____ ________ _____: ________ ______ ____ _________ _______:"
"I entered into the presence of Dawood At-Taa'ee to ask him a question about an issue, and he was a very kind and generous person. So he said (to me): ""Did you ever see a warrior when he intends to go out to battle? Doesn't he first gather together his means (i.e. weapons)? So if he spends his entire life in gathering these means, when will he fight in the war? Verily, knowledge is the means of action. So if someone spends his entire life gathering it, when will he do good deeds?""","«________ _____ _______ ____________ __________ ____ __________ _______ ________ [_:45] _______» : «__________ ____________ _____ _______ ____ _______ __________ ________ ________ ________ _______ _______ ________ ___ ________ _______ __________ _____ _________ _____ __________ _______ _______ ________ ___ ________ _______ _________»"
"[62] Ahmad bin Al-Husayn At-Tawzee informed me, saying: Abu 'Umar Ahmad bin Muhammad bin Moosaa bin A1-'Allaaf informed us: Muhammad bin Mukhlid narrated to us: Muhammad bin Abee 'Umar narrated to us, saying: I heard Abu 'Ubayd Al-Qaasim bin Salaam say:","62 - ___________ ________ ____ ___________ ______________ _____: _____ _____ ______ ________ ____ _________ ____ ______ ____ ____________ ___ _________ ____ _________ ___ _________ ____ _____ _______ _____: ________ _____ ________ __________ ____ _________ _______:"
"""Abdullah bin Idrees heard me lamenting over (the death of) one of the shuyookh, so he said to me:
""O Abu 'Ubayd, regardless of whatever knowledge passes you, do not let upon what you already know pass you.""","«_________ ______ _______ ____ __________ ___________ _____ ______ __________ _______ ___» : «___ _____ ________ _______ _______ ____ __________ _____ ____________ _________»"
"[63] Abul-Qaasim 'Ubaydullaah bin Ahmad bin 'Uthmaan As-Sayrafee informed us, saying: Sahl bin Ahmad Ad-Deebaajee reported to us: Muhammad bin Muhammad bin Al-Ash'ath Al-Koofee narrated to us in Egypt: Moosaa bin Ismaa'eel bin Moosaa bin Ja'far bin Muhammad narrated to us, saying: My father narrated to me from his father that his grandfather, Ja'far bin Muhammad, reported from his father from his grandfather, 'Alee bin Husayn, from his father that 'Alee said:","63 - ___________ _____ __________ ________ _______ ____ ________ ____ _________ _______________ _____: _____ ______ ____ ________ _______________ ___ _________ ____ _________ ____ ___________ ____________ _________ ___ ______ ____ ____________ ____ ______ ____ ________ ____ __________ _____: __________ ______ ____ ________ ____ _______ ________ ____ __________ ____ ________ ____ _______ _______ ____ _________ ____ ________ ____ ________ _____:"
"""The Zaahid, according to us, is he who knows then acts, and he who has certainty and is then cautious. So if he passes the evening in hardship, he praises Allaah. And if he wakes up in the morning in case, he gives thanks to Allaah. This is the Zaahid""","«__________ _________ ____ ______ _________ ______ ________ _________ ______ _______ _____ ______ ______ ________ ______ ________ _____ ______ ______ ________ _______ ____ __________»"
"The Censure of Those who do not Act upon Knowledge, but rather Lean towards its Opposite, And to the Contrary of what Knowledge Mandates","_____ ___ ____________ _____ ____ ______ _________ ____________ ________ _____ _______ _________ ___________ ___ _________"
"[64] Al-Hasan bin Abee Bakr informed us: Haamid bin Muhammad bin 'Abdillaah Al-Harawee reported to us: 'Abdullaah bin Muhammad bin Wahb narrated to us: Ibraaheem bin Sa'eed Al-Jawharee narrated to us: Abu Ahmad Az-Zubayree narrated to us: Qays bin Ar-Rabee' narrated to us from Al-A'mash from Abu Waa'il from Hudhaifah bin Al-Yamaan 4k, from what I know, that the Messenger of Allaah gi said:","64 - ___________ _________ ____ _____ _______ _____: _____ _______ ____ _________ ____ ______ _______ _____________ ___ ______ _______ ____ _________ ____ _______ ___ ____________ ____ _______ _______________ ___ _____ ________ _______________ ___ ______ ____ ___________ ____ ____________ ____ _____ ________ ____ __________ ____ ___________ ______ ________ _____: _____ _______ _______ ______ _______ ________ _________:"
"""Woe to the one who doesn't know. And woe to the one who knows then doesn't act (on his knowledge)."" [He said this three times]","«______ ______ ___ _________ ________ ______ ______ _____ ___ ________ ________»"
"[65] Ahmad bin 'Alee bin Yazdaad Al-Qaaree informed us, saying: 'Abdullaah bin Ibraaheem bin 'Abdil-Malik Al-Asbahaanee informed us about it: Muhammad bin 'Alee bin Mukhlid Al-Farqadee narrated to us: Ismaa'eel bin 'Amr Al-Bajlee narrated to us: Farj bin Fadaalah narrated to us from Sulaymaan bin Ar-Rabee', the freed slave of Al-'Abbaas, that the Messenger of Allaah said:","65 - ___________ ________ ____ _______ ____ _________ ___________ _____: _____ ______ _______ ____ ____________ ____ ______ _________ __________________ ______ __ _________ ____ _______ ____ ________ _______________ ___ ____________ ____ _______ _____________ ___ ______ [_:47] ____ __________ ____ ___________ ____ ___________ _______ ____________ ____ _______ _______ ______ _______ ________ __________ _____:"
"""Woe the one who doesn't know. And if Allaah had wished, He would have given him knowledge. And woe to the one who knows and doesn't act (on his knowledge)."" [He said this seven times]","______ ______ ___ _________ ______ _____ _______ ____________ ________ ______ ________ _____ _________ ______ ________"""
"[66] Ibn Yazdaad informed us, saying: 'Abdullaah bin Ibraaheem informed us: Muhammad bin 'Alee Al-Farqadee narrated to us: Ismaa'eel bin 'Amr narrated to us: Ismaa'eel bin Zakariyaa narrated to us from Ja'far bin Barqaan from Maymoon bin Mihraan that Abud-Dardaa made a similar statement.","66 - _____________ _____ __________ _____: _____ ______ _______ ____ _____________ ___ _________ ____ _______ _______________ ___ ____________ ____ ___________ ____ ________ ____ __________ ____ _________ ____ __________ ____ _____ _____________ __________"
"[67] Muhammad bin Ahmad bin Rizq informed us, saying: 'Uthmaan bin Ahmad Ad- Daqaaq informed us: Husayn bin Abee Mi'shar narrated to us, saying: Wakee' reported to us from Ja'far bin Barqaan from Maymoon bin Mihraan that Abud-Dardaa said:","67 - ___________ _________ ____ ________ ____ _______ _____: _____ _________ ____ ________ ____________ ___ ________ ____ _____ _________ _____: ___________ ________ ____ ________ ____ __________ ____ _________ ____ __________ _____: _____ _____ _____________:"
"""Woe to the one who doesn't know. And woe to the one who knows and doesn't act."" [He said this seven times]","«______ ________ ___ _________ ________ ________ ________ _____ _________ ______ ________»"
"[68] Al-Hasan bin Abee Bakr informed us, saying: Ahmad bin Ishaaq bin Minjaab At- Teebee narrated to us: The Judge, Abul-Farj Muhammad bin Ahmad bin Al-Hasan Ash-Shaafi'ee reported us, saying: Ahmad bin Yoosuf bin Khalaad reported to us, saying: Muhammad bin Yoonus Al-Qurshee narrated to us: 'Abdullaah bin Dawood Al-Hazeenee narrated to us: Ja'far bin Barqaan narrated to us that Maymoon bin Mihraan said: Abud-Dardaa said:","68 - ___________ _________ ____ _____ _______ _____: _____ ________ ____ _________ [_:48] ____ ________ ____________ _______ _________ _____ _________ _________ ____ ________ ____ _________ ______________ _____: _____ ________ ____ _______ ____ _________ _____: ___ _________ ____ _______ _____________ ___ ______ _______ ____ _______ _______________ ___ ________ ____ __________ ____ _________ ____ __________ _____: _____ _____ ____________:"
"""Woe to the one who doesn't know and doesn't act.” [One time] Ibn Khalaad said: ""And woe to the one who knows and doesn't act.” [One time] ""And woe to the one knew but didn't act."" [Seven times]","«______ ______ ___ ________ _____ ________ _______» _______ _____ ________: «________ ______ ________ _____ ________ ________ ________ ______ ______ ______ _________ ______ ________»"
