ABU ’L-HASAN 'ALI IBN ISMA'IL AL AS 'ARI’S,الإبانة عن أصول الديانة
"Another proof. God has said, “and discoursing did God discourse with Moses.” Discourse is intercourse by speech. The speech of the Discourser cannot inhere in something other than Himself or be created in anything except Himself, just as this is impossible with respect to knowledge.","دليل آخر: وقد قال الله تعالى: (وكلم الله موسى تكليما) (164 /40)، والتكليم هو المشافهة بالكلام، ولا يجوز أن يكون كلام المتكلم حالا في غيره، مخلوقا في شيء سواه، كما لا يجوز ذلك في العلم."
"Another proof. God has said, “Say: He is God alone: God the eternal! He begetteth not, and He is not begotten, and there is none like unto him.”","دليل آخر: وقال الله تعالى: (قل هو الله أحد الله الصمد لم يلد ولم يولد ولم يكن له كفوا أحد) سورة الإخلاص ورقمها (112)،"
"Then how can the Qur’an be created, when the name of God is in the Qur’an? for this makes it necessarily true that the names of God are created, and if His names were created, His unity would be created, and likewise His knowledge and His power. May God be very far above that!","فكيف يكون القرآن مخلوقا وأسماء الله في القرآن؟ هذا يوجب أن تكون أسماء الله مخلوقة، ولو كانت أسماؤه مخلوقة لكانت وحدانيته مخلوقة، وكذلك علمه وقدرته. تعالى الله عن ذلك علوا كبيرا."
"Another proof. God has said,“Blessed be the name of thy Lord,” but “Blessed be” is not said of a created thing; wherefore this is a proof that the names of God are uncreated. He also said, “the face of thy Lord shall abide;” wherefore, just as the face of our Lord cannot be created, so His names are not created.","دليل آخر: وقد قال الله تعالى: (تبارك اسم ربك) من الآية (78 /55) ولا يقال لمخلوق "" تبارك "" فدل هذا على أن أسماء الله غير مخلوقة، وقال: (ويبقى وجه ربك) من الآية (27 /55) فكما لا يجوز أن يكون وجه ربنا مخلوقا، فكذلك لا يجوز أن تكون أسماؤه مخلوقة."
"Another proof. God has said, “God witnesseth that there is no god but He: and the angels, and men endued with knowledge, stablished in righteousness....”",دليل آخر: وقد قال الله تعالى: (شهد الله أنه لا إله إلا هو والملائكة وأولوا العلم قائما بالقسط) من الآية (18 /3)
"Undoubtedly He bears this witness and hears it from Himself, because, if He hears it from a created thing, it is no witness of His; but since it is a witness of His, and He has borne it, the only alternatives are that He bore it before created things came into existence, or after created things came into existence;","ولا بد أن يكون شهد بهذه الشهادة، وسمعها من نفسه؛ لأنه إن كان سمعها من مخلوق فليست شهادة له، وإذا كانت شهادة له وقد شهد بها فلا يخلو أن يكون شهد بها قبل كون المخلوقات؛ أو بعد كون المخلوقات."
"wherefore, if He bore it after created things came into existence, His witness to Himself cannot be reconciled with the divine source of creation; and how can that be the case?","فإن كان شهد بها بعد كون المخلوقات؛ فلم يسبق شهادته لنفسه بآلهية الخلق، وكيف يكون ذلك كذلك؟"
"for it would then necessarily be true that nobody bore witness to the divine unity prior to creation; and if the witness to the divine oneness before the existence of creation were impossible, the proof of the existence of the divine unity would be impossible, and it would be impossible for God to be one prior to creation, because that regarding which witness is impossible, is itself impossible;","وهذا يوجب أن التوحيد لم يكن يشهد به شاهد قبل الخلق، ولو استحالت الشهادة بالوحدانية قبل كون الخلق لاستحال إثبات التوحيد ووجوده، وأن يكون واحدا قبل الخلق؛ لأن ما يستحيل الشهادة عليه فمستحيل."
"but if His witness to His own unity is prior to creation, it is out of the question that His Word should be created, because His Word is His witness.",وإن كانت شهادته لنفسه قبل الخلق بالتوحيد فقد بطل أن يكون كلام الله تعالى مخلوقا؛ لأن كلام الله شهادته.
"Another proof. One of the things that prove that the belief of the Jahmiyyah is null and void, and that the Qur’an is the uncreated Word of God, is the fact that the names of God are from the Qur’an.","دليل آخر: ومما يدل عليه بطلان قول الجهمية، وأن القرآن كلام الله غير مخلوق: أن أسماء الله من القرآن، "
"God has said, “Praise the name of thy Lord, the Most High, who hath created and balanced,” and “the name of thy Lord, the Most High, who hath created and balanced” cannot be created, just as “the majesty of our Lord” cannot be created;","وقد قال الله سبحانه: (سبح اسم ربك الأعلى الذي خلق فسوى) (1 - 2 /87) ولا يجوز أن يكون (اسم ربك الأعلى الذي خلق فسوى) مخلوقا، كما لا يجوز أن يكون (جد ربنا) من الآية (3 /72) مخلوقا، "
,
"for God has said, in the Surah of the Jinn, “may the majesty of our Lord be exalted!,” and just as His might cannot be created, so His Word cannot be created.","قال الله تعالى في سورة الجن: (وإنه تعالى جد ربنا) من الآية (3 /72)، وكما لا يجوز أن تكون عظمته مخلوقة كذلك لا يجوز أن يكون كلامه مخلوقا."
"Another proof. God has said, “It is not for mortal man that God should speak with him but by vision or from behind a veil: or, He sendeth a messenger to reveal, by His permission, what He wishes;” wherefore, if the Word of God were not found except in created form in a created thing, there would be no meaning in this limitation of the vehicles of revelation, because all creation would hear the Word and find it, on the supposition of the Jahmiyyah, created in something other than God; and this would perforce deprive the Prophets of all distinction.","دليل آخر: وقد قال الله تعالى: (وما كان لبشر أن يكلمه الله إلا وحيا أو من وراء حجاب أو يرسل رسولا فيوحي بإذنه ما يشاء) من الآية (51 /42) فلو كان كلام الله لا يوجد إلا مخلوقا في شيء مخلوق؛ لم يكن لاشتراط هذه الوجوه معنى؛ لأن الكلام قد سمعه جميع الخلق ووجدوه - بزعم الجهميّة - مخلوقا في غير الله تعالى، وهذا يوجب إسقاط مرتبة النبيين صلوات الله عليهم أجمعين."
,
"But it is necessarily true, according to them, since they think that God created His Word to Moses in a bush, that they who hear the Word of God from angels, or from a prophet who has brought it from God, are on a higher level, so far as the hearing of the Word is concerned, than Moses, because they have heard it from a prophet, and Moses did not hear it from God, but only from a bush;","ويجب عليهم إذا زعموا أن كلام الله لموسى خلقه في شجرة؛ أن يكون من سمع كلام الله عز وجل من ملك أو من نبي أتى به من عند الله أفضل مرتبة من سماع الكلام من موسى؛ لأنهم سمعوه من نبي ولم يسمعه موسى من الله عز وجل، وإنما سمعه من شجرة،"
"and they must think that the Jew, since he hears the Word of God from a prophet, is on a higher level, so far as this is concerned, than Moses ibn 'Imran, because the Jew has heard it from one of the prophets of God and Moses heard it in created form in a bush;","وأن يزعموا أن اليهودي إذا سمع كلام الله من النبي عليه الصلاة والسلام أفضل مرتبة في هذا المعنى من موسى صلى الله عليه وسلم؛ لأن اليهودي سمعه من نبي من أنبياء الله، وموسى سمعه مخلوقا في شجرة، "
"and also, if it had existed in created form in a bush, He would not have discoursed with Moses from behind a veil, because such jinn and men as were present at the bush would have heard the Word from that place, and the course pursued by Moses and others under those circumstances would have been evil, inasmuch as he did not receive the Word of God from behind a veil.","ولو كان مخلوقا في شجرة لم يكن مكلما لموسى من وراء حجاب؛ لأن من حضر الشجرة من الجن والإنس قد سمعوا الكلام من ذلك المكان، وكان سبيل موسى وغيره في ذلك سواء في أنه ليس كلام الله له من وراء حجاب."
"Answer. Then it may be said to them: Since you think that the meaning of God’s addressing Moses is that He created a word with which He addressed him, and God also created, according to you, a word in the joint (for the joint said to the Apostle of God, “Eat me not, for I am poisoned!”), then you must admit that this word that the Prophet heard is the Word of God.",مسألة:
,"ثم يقال لهم: إذا زعمتم أن معنى أن الله عز وجل كلم موسى أنه خلق كلاما كلمه به في الشجرة وقد خلق الله عندكم في الذراع كلاما؛ لأن الذراع قالت لرسول الله صلى الله عليه وسلم لا تأكلني فإني مسمومة، فيلزمكم أن ذلك الكلام الذي سمعه النبي صلى الله عليه وسلم كلام الله تعالى،"
"But if God cannot have discoursed by that created word, you do not deny that it is impossible for God to create His Word in a bush, because the word of the created thing is not a Word. Therefore, if it is the Word of God, and the meaning of God’s discoursing, according to you, is that He created the Word, you must admit that God discoursed by a word He created in the joint.","فإن استحال أن يكون الله تكلم بذلك الكلام المخلوق فما أنكرتم من أنه يستحيل أن يخلق الله عز وجل كلامه في شجرة؛ لأن الكلام المخلوق لا يكون كلاما لله، فإن كان كلام الله وكان معنى أن الله تكلم عندكم أنه خلق الكلام؛ فيلزمكم أن يكون الله متكلما بالكلام الذي خلقه في الذراع،"
"Then, if they reply to this, the answer is: According to your belief, then, it is God who says, “Eat me not, for I am poisoned!” May God be very far above your belief and your calumny against Him!",فإن أجابوا إلى ذلك؛ قيل لهم: فالله تعالى على قولكم هو القائل لا تأكلني فإني مسمومة. تعالى الله عن قولكم وافترائكم عليه علوا كبيرا.
"And if they say, “God’s Word cannot exist in created form in a joint,” the answer is: And, for the same reason, God’s Word cannot exist in created form in a bush.",وإن قالوا: لا يجوز أن يكون كلام الله مخلوقا في ذراع قيل لهم: وكذلك لا يجوز أن يكون كلام الله مخلوقا في شجرة.
,
"Answer. Furthermore, when they ask concerning the word with which God gave the wolf utterance when it spoke concerning the prophecy of the Prophet,",مسألة:
,ثم يسألون عن الكلام الذي أنطق الله تعالى به الذئب لما أخبر عن نبوة النبي صلى الله عليه وسلم.
"it may be said to them: If God discourses by a word He creates in something other than Himself, you do not deny that the word he heard from the wolf is a Word of God’s, and its unnatural eloquence proves that it is the Word of God (and it necessarily follows, according to them, that the wolf himself did not discourse by it, and that it is the Word of God, because the existence of the Word on the part of the wolf is unnatural, just as its existence on the part of the bush is unnatural);","فيقال لهم: إذا كان الله عز وجل يتكلم بكلام خلقه في غيره، فما أنكرتم أن يكون الكلام الذي سمعه من الذئب كلاما لله، ويكون إعجازه يدل على أنه كلام الله، وفي هذا ما يجب عليهم أن الذئب لم يتكلم به، وأنه كلام الله تعالى؛ لأن كون الكلام من الذئب معجز، كما أن كونه من الشجرة معجز، "
"wherefore, if the wolf discourses by that made word, you do not deny that the bush discourses by the Word, if it is created in a bush, and that it is the created thing that says, ""O Moses! I truly am God.” May God be very far above that!","فإن كان الذئب متكلما بذلك الكلام المنقول فما أنكرتم أن الشجرة متكلمة بالكلام إن كان خلق في الشجرة، وأن يكون المخلوق فيه قال: (يا موسى إني أنا الله). تعالى الله عن ذلك علوا كبيرا."
"Answer. Furthermore, one may say to them: Since the Word of God exists in created form in something other than Himself, according to you, does this not make you believe that every word you hear in created form in a thing is fit to be a Word of God’s?",مسألة:
,"ثم يقال لهم: إذا كان كلام الله عز وجل مخلوقا في غيره عندكم فما يؤمنكم أن يكون كل كلام تسمعونه مخلوقا في شيء، وهو حق أن يكون كلاما لله سبحانه؟"
"Wherefore, if they say, “The bush is not a discourser because the discourser can be only a living being,”",فإن قالوا: لا تكون الشجرة متكلمة؛ لأن المتكلم لا يكون إلا حيا.
"the answer is: And the creation of the Word in a bush is impossible because he in whom the Word is created can be only a living being; and therefore, if the Word can be created in that which is inanimate, why cannot one who is inanimate discourse?","قيل لهم: ولا يجوز خلق الكلام في شجرة؛ لأن من خلق الكلام فيه لا يكون إلا حيا، فإن جاز أن يخلق الكلام فيما ليس بحي فلِمَ لا يجوز أن يتكلم من ليس بحي. "
,
"It may also be said to them: Do you not believe that one who is inanimate speaks, because He has said that the heavens and the earth “both said, ‘We come obedient ’”?","ويقال لهم: لِمَ لا قلتم إنه يقول من ليس بحي، لأن الله عز وجل أخبر أن السماوات والأرض: (قالتا أتينا طائعين) من الآية (11 /41)."
"Answer. Furthermore, it may be said to them: Has not God said to Iblis, “and lo! My ban shall be upon thee till the day of reckoning”? Then they will certainly answer yes,",مسألة:
,ثم يقال لهم: أليس قد قال الله عز وجل لإبليس: (وإن عليك لعنتي إلى يوم الدين) (78 /38)؟ فلا بد من نعم.
"and it may be said to them: Hence, since the Word of God is a created thing, and created things come to an end, you are compelled to admit, if God brings things to an end, that the ban upon Iblis has been brought to an end, and thus Iblis is unbanned; and this is a forsaking of the Religion of the Muslims, and a rejection of the words of God “and lo! My ban shall be upon' thee till the day of reckoning.”","قيل لهم: فإذا كان كلام الله مخلوقا وكانت المخلوقات فانيات؛ فيلزمكم إذا أفنى الله عز وجل الأشياء أن تكون اللعنة على إبليس قد فنيت، فيكون إبليس غير ملعون، وهذا ترك دين المسلمين، ورُدَّ لقوله تعالى: (وإن عليك لعنتي إلى يوم الدين) (78 /38)، "
"But since the ban remains upon Iblis until the day of reckoning, which is the day of recompense, the day of resurrection (because God has said, “King in the day of reckoning,” meaning, the day of recompense), and thereafter it is eternally in Hell, and the ban is the Word of God, which is His words “My ban shall be upon thee,” then it necessarily follows that the Word of God cannot come to an end, and that it is uncreated; because non-existence is possible with reference to created things, and, therefore, since it is impossible with reference to the Word of God, the latter is uncreated.","وإذا كانت اللعنة باقية على إبليس إلى يوم الدين؛ وهو يوم الجزاء، وهو يوم القيامة؛ لأن الله تعالى قال (مالك يوم الدين) (4 /1) يعني يوم الجزاء، ثم هي أبدا في النار واللعنة كلام الله وهو قوله (عليك لعنتي) فقد وجب أن يكون الله عز وجل لا يجوز عليه الفناء، وأنه غير مخلوق؛ لأن المخلوقات يجوز عليها العدم، فإذا لم يجز ذلك على كلام الله عز وجل فهو غير مخلوق."
Reply to the Jahmiyyah.,مسألة:
"Furthermore, it may be said to them: Since God’s anger is uncreated, and likewise His satisfaction and His wrath, why do you not believe that His Word is uncreated? for he who thinks that God’s anger is created must admit that God’s anger and His wrath against the infidels come to an end, and that His satisfaction in the angels and the prophets comes to an end, so that He is no longer satisfied with His friends nor angry with His enemies; and this is a departure from Islam.","ثم يقال لهم: إذا كان غضب الله غير مخلوق، وكذلك رضاه وسخطه، فلِم لا قلتم إن كلامه غير مخلوق؟ ومن زعم أن غضب الله مخلوق لزمه أن غضب الله وسخطه على الكافرين يفنى، وأن رضاه عن الملائكة والنبيين يفنى، حتى لا يكون راضيا عن أوليائه ولا ساخطا عن أعدائه، وهذا هو الخروج عن الإسلام."
"It may also be said: Tell us about God’s words “Our word to a thing when We will it is but to say, ‘ Be! ’ and it is.” Do you think that His Word to the thing, “Be!,” is something created by God’s will? Wherefore, if they say no, the answer is: Then you do not deny that the Word of God, which is the Qur’an, is uncreated, just as you think that God’s Word to the thing, “Be!,” is uncreated.",مسألة:
,"ويقال: خبرونا عن قول الله تعالى: (إنما قولنا لشيء إذا أردناه أن نقول له كن فيكون) (40 /16) أتزعمون أن قوله للشيء "" كن "" مخلوق مرادا لله؟ فإن قالوا: لا، قيل لهم: فما أنكرتم أن يكون كلام الله الذي هو القرآن غير مخلوق، كما زعمتم أن قول الله للشيء "" كن "" غير مخلوق."
"But if they think that God’s Word to the thing, “Be!,” is created, the answer is: Then if you think it is a thing created by will, God says, “Our word to a thing when We will it is but to say, ‘Be!,’ and it is;” and so you must admit that He has already said, “Be!” to His Word to the thing, “Be!,”","وإن زعموا أن قول الله للشيء "" كن "" مخلوق."
,قيل لهم: فإذا زعمتم أنه مخلوق مراد فقد قال الله عز وجل: (إنما قولنا لشيء إذا أردناه أن نقول له كن فيكون) (40 /16)؛ فيلزمكم أن قوله تعالى للشيء (كن) قد قال له: (كن).
,
"and this compels you to choose one of two alternatives: either that God’s Word to what is not Himself, “Be!,” is uncreated, or else that each word has another word ad infinitum, and that is impossible.","وفي هذا ما يجب أحد أمرين: إما أن يكون قول الله لغيره كن غير مخلوق، أو يكون لكل قول لا إلى غاية وذلك محال."
,
"Therefore, if they say that God has an uncreated Word, the answer is: Then you do not deny that God’s willing of faith is uncreated.",فإن قالوا: إن لله قولا غير مخلوق.
,قيل لهم: فما أنكرتم أن تكون إرادة الله للإيمان غير مخلوقة.
,
"Furthermore, it may be said to them: For what reason do you say that God’s Word to the thing, “Be!,” is uncreated?",ثم يقال لهم ما العلة التي إنما قلتم إن قول الله للشيء (كن) غير مخلوق.
"Wherefore, if they say, “Because ‘ Be! ’ is not said to the Word,” it may be said to them: The Qur’an also is uncreated, because it is the Word of God and God does not say to His Word, “Be!”","فإن قالوا: لأن القول لا يقال له (كن) فيقال لهم القرآن غير مخلوق؛ لأنه قول الله، والله لا يقول لقوله (كن)."
Reply to the Jahmiyyah.,مسألة على الجهمية:
It may also be said to them: Is not God eternally cognizant of His friends and his enemies? They will certainly answer yes.,ويقال لهم: أليس لم يزل الله عالما بأوليائه وأعدائه؟
,فلا بد من نعم.
"The answer is: Then do you say, “He is eternally a wilier of the separation of His friends and His enemies”?",قيل لهم: فهل تقولون إنه لم يزل مريدا للتفرقة بين أوليائه وأعدائه؟
"Then, if they say yes, the answer is: Since the will of God is eternal, it is uncreated, and since His will is uncreated, why do you not believe that His Word is uncreated?","فإن قالوا نعم، قيل لهم: فإذا كانت إرادة الله لم تزل فهي غير مخلوقة، وإذا كانت إرادته غير مخلوقة فلِم لا قلتم إن كلامه غير مخلوق؟"
"But if they say, “We do not say He is eternally a wilier of the separation of His friends and His enemies,” then they think that God does not will the separation of His friends and His enemies, and ascribe deficiency to Him. May He be very far above the belief of the Qadariyyah!","فإن قالوا: لا نقول لم يزل مريدا للتفرقة بين أوليائه وأعدائه، زعموا أن الله لا يريد التفرقة بين أوليائه وأعدائه، ونسبوه سبحانه إلى النقص. تعالى عن قول القدرية علوا كبيرا."
Answer. It may be said to them that the created thing either is a certain body—a certain person—or is one of the qualifications of persons.,مسألة:
,"ويقال لهم: إن الشيء المخلوق إما أن يكون بدنا من الأبدان، شخصا من الأشخاص؛ أو يكون نعتا من نعوت الأشخاص."
"Now, the Word of God cannot be a person, because eating, drinking, and marriage are possible with respect to persons, but those things are impossible with respect to the Word of God;","فلا يجوز أن يكون كلام الله شخصا؛ لأن الأشخاص يجوز عليها الأكل والشرب والنكاح، ولا يجوز ذلك على كلام الله تعالى."
"and also the Word of God cannot be a qualification of a created person’s, for qualifications do not survive the twinkling of an eye, because they are not capable of survival, and the Word of God would have to come to an end and pass away.","ولا يجوز أن يكون كلام الله نعتا لشخص مخلوق؛ لأن النعوت لا تبقى طرفة عين؛ لأنها لا تحتمل البقاء، وهذا يوجب أن يكون كلام الله قد فني ومضى."
"Therefore, since it cannot be a person, or a qualification of a person, it cannot be created, inasmuch as persons can die;","فلما لم يجز أن يكون شخصا ولا نعتا لشخص لم يجز أن يكون مخلوقا، على أن الأشخاص يجوز أن تموت."
and therefore he who asserts that the Word of God is a created person must admit that death is possible with reference to the Word of God; but that is an impossible thing.,"فمن يثبت كلام الله شخصا مخلوقا لزمه أن يجوز الموت على كلام الله عز وجل، وذلك ما لا يجوز."
"Besides, the Word of God cannot be created in a created person, just as it cannot be a qualification of a created person’s; and if it were created in a person, like the speech of man, made in him, the distinction between the Word of God and the speech of creatures would be impossible, since they would both be created in a created person—just as Ilis knowledge cannot he created in a created person.","وأيضا فلا يجوز أن يكون كلام الله مخلوقا في شخص مخلوق، كما لا يجوز أن يكون نعتا لشخص مخلوق، ولو كان مخلوقا في شخص، وكلام الإنسان مفعولا فيه، كما لا يمكن التفريق بين كلام الله وكلام الخلق إذا كانا مخلوقين في شخص مخلوق، كما لا يجوز أن يكون علمه مخلوقا في شخص مخلوق."
,
"Answer. It may also be said to them: If the Word of God were created, it would certainly be a bodily organism, or a qualification of a bodily organism’s; and if it were a bodily organism, it could be a dis- courser, for God has power to change such things. They cannot escape this argument, and, according to their view, they must consider it possible for God to change the Qur’an into man or jinn or devil. (May God be too exalted for His Word to be thus!)",مسألة:
,"ويقال لهم أيضا: لو كان كلام الله مخلوقا لكان جسما أو نعتا لجسم، ولو كان جسما لجاز أن يكون متكلما، والله قادر على قلبهما، وفي هذا ما يلزمهم، ويجب عليهم أن يجوزوا أن يقلب الله القرآن إنسانا أو جنيا أو شيطانا. تعالى الله عز وجل أن يكون كلامه كذلك."
"But if it is a qualification of a bodily organism’s, like other qualifications, and therefore God has the capacity to make them bodies, then, according to their view, the Jahmiyyah must consider it possible for God to make the Qur’an a body with bodily functions, eating and drinking, and to make it a man, and cause him to die; but this is impossible as regards God’s Word!","ولو كان نعتا لجسم كالنعوت؛ فالله قادر على أن يجعلها أجساما، لكان يجد على الجهمية أن يجوزوا أن يجعل الله القرآن جسما متجسدا، يأكل ويشرب، وأن يجعله إنسانا ويميته، وهذا ما لا يجوز على كلام الله، تعالى عن ذلك."
Chapter Containing the Traditions Cited Concerning the Qur’an.,الباب الثالث في ذكر الرواية في القرآن
,
"Question. Abu Bakr S says, I and al-'Abbas ibn ""Abd al-'Azim al- 'Anbari went to Abu 'Abdallah, and al-'Abbas ibn 'Abd al-'AzIm questioned Abu 'Abdallah Ahmad ibn Hanbal, and so he said to him, Some people here have newly arisen, saying, The Qur’an is neither created nor uncreated.","قال أبو بكر: أتيت أنا والعباس بن عبد العظيم العنبري أبا عبد الله أحمد بن حنبل، فسأل العباسُ أبا عبد الله - رحمه الله، ورضي عنه - فقال له: قوم ههنا قد حدثوا يقولون: القرآن لا مخلوق ولا غير مخلوق."
"These are more harmful to men than the Jahmiyyah. Woe to you! Wherefore, if you say not uncreated, then say created.","فقال: هؤلاء أضر من الجهمية على الناس، ويلكم فإن لم تقولوا ليس بمخلوق فقولوا مخلوق."
"Abu 'Abdallah said, These are a wicked lot. Al-‘Abbas said, What is your belief, O Abu 'Abdallah? He said, In my creed and madhab there is no doubt that the Qur’an is uncreated. Then he said, Who has doubts concerning this?",قال أبو عبد الله: هؤلاء قوم سوء.
,فقال العباس: ما تقول يا أبا عبد الله؟
,فقال: الذي أعتقد وأذهب إليه ولا أشك فيه أن القرآن غير مخلوق. 
,ثم قال: سبحان الله ومن يشك في هذا؟!
"Then Abu ""Abdallah discoursed, wondering greatly at doubt concerning this, and so he said, Is there doubt concerning this? God has said, “Are not the creation and the command His?;” and He has said, “The Merciful hath taught the Qur’an, hath created man.” And so he distinguished between man and the Qur’an; wherefore he said, “taught, created,” and kept repeating it, “taught, created,” that is, he distinguished between them.","ثم تكلم أبو عبد الله مستعظما للشك في ذلك، فقال: سبحان الله أفي هذا شك؟! قال الله تبارك وتعالى: (ألا له الخلق والأمر) من الآية (54 /7) وقال: (الرحمن علم القرآن خلق الإنسان) (1 - 3 /55) ففَرَّق بين الإنسان وبين القرآن، فقال: "" علَّمَ "" "" خلَقَ "" فجعل يعيدها "" علَّم "" "" خلَقَ "" أي فَرْقٌ بينهما."
"Abu 'Abdallah said, The Qur’an is from God’s knowledge. Do you not agree that He says, “He taught the Qur’an”?","قال أبو عبد الله: والقرآن علم الله، ألا تراه يقول: (علم القرآن) "
"In the Qur’an are the names of God. What is the belief of these people? Do they not believe that the names of God are uncreated, that God is eternally powerful, knowing, strong, wise, hearing, seeing? We do not doubt that the names of God are uncreated, we do not doubt that God’s knowledge is uncreated.","والقرآن فيه أسماء الله عز وجل، أي شيء يقولون؟ ألا يقولون: إن أسماء الله غير مخلوقة، لم يزل الله قديرا عليما عزيزا حكيما سميعا بصيرا، لسنا نشك أن أسماء الله عز وجل غير مخلوقة، لسنا نشك أن علم الله عز وجل غير مخلوق، "
The Qur’an is from God’s knowledge and in it are the names of God; wherefore we do not doubt that it is uncreated. It is the Word of God and He discourses by it eternally.,"فالقرآن من علم الله وفيه أسماء الله، فلا نشك أنه غير مخلوق، وهو كلام الله عز وجل، ولم يزل به متكلما، "
"Then he said, And what infidelity is greater than this? or what infidelity is worse than this?",ثم قال: وأي كفر من هذا؟ وأي كفر أشر من هذا؟
"Since they think that the Qur’an is created, then they must think that the names of God are created and that God’s knowledge is created, only people treat the matter lightly and say, “All that they say is, ‘ The Qur’an is created,’ and they are joking,” and consider it a joke and are not aware of its seriousness, for it is infidelity. But I am unwilling to reveal this to anyone. They ask and I am unwilling to speak on this matter and so it has come to my knowledge that they proclaim that I am close-mouthed.","إذا زعموا أن القرآن مخلوق فقد زعموا أن أسماء الله مخلوقة، وأن علم الله مخلوق، ولكن الناس يتهاونون بهذا ويقولون، إنما يقولون القرآن مخلوق ويتهاونون به ويظنون أنه هين، ولا يدرون ما فيه وهو الكفر، وأنا أكره أن أبوح بهذا لكل أحد، وهم يسألون وأنا أكره الكلام في هذا، فبلغني أنهم يدعون أني أمسك."
"Wherefore I said to him, Then he who says, The Qur’an is created, and does not say that the names of God are created, or that His knowledge is created, and does not explain himself further—I say, he is an infidel. He said, So he is, according to us.","فقلت له: فمن قال القرآن مخلوق ولا يقول إن أسماء الله مخلوقة ولا علمه لم يزد على هذا، أقول: هو كافر؟ فقال: هكذا هو عندنا."
"Then Abu 'Abdallah said, We do not need to doubt concerning this Qur’an. According to us, in it are the names of God, and it is from God’s knowledge; and so he who says to us that it is created is an infidel, according to us.","ثم قال أبو عبد الله: نحن نحتاج أن نشك في هذا القرآن عندنا فيه أسماء الله وهو من علم الله، فمن قال: إنه مخلوق فهو عندنا كافر."
,
"I started to refute him. Al-'Abbas, who was listening, said to me, Is not this more than enough for you? Abu' Abdallah said, It certainly is.","فجعلت أردد عليه، فقال لي العباس - وهو يسمع - سبحان الله أما يكفيك دون هذا."
,فقال أبو عبد الله: بلى.
,
"Al-Husayn ibn 'Abd al-Awwal cites the following tradition: I heard Waki' say, He who says, The Qur’an is created, is an apostate who should be urged to repent. If he repents, well; and if not, he is to be put to death.","وذكر الحسين بن عبد الأول، قال: سمعت وكيعا يقول: من قال: القرآن مخلوق فهو مرتد يستتاب، فإن تاب وإلا قتل."
,
"Muhammad ibn as-Sabbah al-Bazzar cites the following tradition: 'Ali ibn al-Husayn ibn Sufyan said, I heard Ibn al-Mubarak say, We are able to relate the discussions of the Jews and the Christians, but we are not able to relate the discussions of the Jahmiyyah. Muhammad said: Saying, We fear lest we be infidels unwittingly.","وذكر محمد بن الصباح البزار، قال: حدثنا علي بن الحسين بن شعبان، قال: سمعت ابن المبارك يقول: إنا نستطيع أن نحكي كلام اليهود والنصارى، ولا نستطيع أن نحكي كلام الجهمية."
,قال محمد: نقول: نخاف أن نكفر ولا نعلم.
,
"Harun ibn Ishaq al-Hamdani cites the following tradition on the authority of Abu Nu'aym, and he on the authority of Sulayman ibn 'Isa al-Qari, and he on the authority of Sufyan at-Tawri, who said, Hammad ibn Abi Sulayman said to me, Go tell Abu Hanifah, the polytheist, that I repudiate him! Said Sulayman, Sufyan added, Because he was in the habit of saying, The Qur’an is created.","وذكر هارون بن إسحاق الهمداني عن أبي نعيم، عن سليمان بن عيسى القاري، عن سفيان الثوري رضي الله عنه قال: قال لي حماد بن أبي سليمان: أبلغ أبا حنيفة المشرك أنى منه بريء؟ قال سليمان: ثم قال سفيان؛ لأنه كان يقول القرآن مخلوق. وحاشى الإمام الأعظم أبو حنيفة رضي الله عنه من هذا القول، بل هو زور وباطل، فإن أبا حنيفة من أفضل أهل السنة."
,
"Sufyan ibn Waki' cites the following tradition: I heard ’Umar ibn Hammad ibn Abi Hanifah say, My father told me, The speech whereof Ibn Abi Layla urged Abu Hanifah to repent was his saying, The Qur’an is created. He said, And so he repented of it and advertised the fact universally, said my father, and so I said to him, How did you come- to this? He said, I feared, by God, that he would fall upon me, and so I used dissimulation towards him.","وذكر سفيان بن وكيع قال: سمعت عمر بن حماد بن أبي سليمان قال: أخبرني أبي قال: الكلام الذي استتاب فيه ابن أبي ليلى أبا حنيفة هو قوله: القرآن مخلوق، قال: فتاب منه وطاف به في الخلق، قال أبى: فقلت له كيف صرت إلى هذا، قال: خفت والله أن يقدم عليَّ فأعطيته التقية."
"Harun ibn Ishaq cites the following tradition: I heard Isma'il ibn Abi ’l-Hakam cite, on the authority of 'Umar ibn 'Ubayd at-Tanafisi, the tradition that Hammad, that is, Ibn Abi Sulayman, sent to Abu Hanifah the message, I have nothing to do with what you say, except you repent. Ibn Abi 'Inabah was with him, said he, and so he said, Your neighbor informed me that Abu Hanifah tried to convert him to that whereof he had been urged to repent by him, after he had been urged to repent.","وذكر هارون بن إسحاق قال: سمعت إسماعيل بن أبي الحكم يذكر عن عمر بن عبيد الطنافسي إن حماد - يعني ابن أبي سليمان - بعث إلى أبي حنيفة: أني بريء مما تقول، إلا أن تتوب، وكان عنده ابن أبي عقبة، قال: فقال: أخبرني جارك أن أبا حنيفة دعاه إلى ما استتيب منه بعد ما استتيب."
,وهذا كذب محض على أبي حنيفة رضي الله عنه.
"A tradition is cited on the authority of Abu Yusuf, in which he says: I watched Abu Hanifah two months until he abandoned the createdness of the Qur’an.",وذكر عن أبي يوسف قال: ناظرت أبا حنيفة رضي الله عنه شهرين حتى رجع عن خلق القرآن.
