"In the name of God, merciful and compassionate","بسم الله الرحمن الرحيم
"
"Chapter Explaining What Is Revealed in the Book as Unrestricted, and Intended as Unrestricted, but Also Partly Restricted","باب: بيان ما نزل من الكتاب عاماً يُراد به العام، ويدخله الخصوص.
"
God (blessed and exalted) said: «God is the Creator of everything. He is the Guardian over everything.»,"قال الله تبارك وتعالى: "" اللَّهُ خَالِقُ كُلِّ شَيْءٍ وَهُوَ عَلَى كُلِّ شَيْءٍ وَكِيلٌ (62) "" [الزمر]،"
He also said that He «created the heavens and the earth.»,"وقال تبارك وتعالى: "" اللَّهُ الَّذِي خَلَقَ السَّمَاوَاتِ وَالْأَرْضَ (32) "" [إبراهيم]،"
And He said: «There is no beast on the earth but its sustenance depends on God.» This is unrestricted; there is nothing restricted in it.,"وقال: "" وَمَا مِنْ دَابَّةٍ فِي الْأَرْضِ إِلَّا عَلَى اللَّهِ رِزْقُهَا (6) "" [هود]، فهذا عام، لا خاصَّ فيه.
"
"Al-Shāfiʿī said: Everything—heavens, earth, ensouled beings, trees, and whatever else—God created. For every animal, God is responsible for its provisioning, and He knows «its lair and its habitation.»","قال ""الشافعي"": فكل شيء، من سماء وأرض وذي روح وشجر وغير ذلك: فالله خَلَقَه، وكل دابة فعلى الله رزقُها، ويَعْلم مُستقَرَّها ومُسْتَوْدعها."
God also said: «It is not for the people of Medina and the Bedouin Arabs around them to hold back behind God’s Emissary and to prefer their lives to his.»,"وقال الله: "" مَا كَانَ لِأَهْلِ الْمَدِينَةِ وَمَنْ حَوْلَهُمْ مِنَ الْأَعْرَابِ أَنْ يَتَخَلَّفُوا عَنْ رَسُولِ اللَّهِ وَلَا يَرْغَبُوا بِأَنفُسِهِمْ عَنْ نَفْسِهِ (120) "" [التوبة].
"
"This is, in its import, just like the preceding verse. What is intended by it is simply those men who are capable of engaging in jihad. None of them may prefer his own life to the life of the Prophet, whether or not they are capable of jihad. So this verse has in it both a restricted and an unrestricted import.","وهذا في معنى الآية قَبْلَهَا، وإنما أُرِيد به مَن أطاق الجهاد من الرجال، وليس لأحد منهم أن يرغب بنفسه عن نفس النبي: أطاق الجهاد، أو لم يُطِقْه؛ ففي هذه الآية الخصوص والعموم.
"
"He also said: «And the oppressed, men, women, and children who say, “Our Lord, take us out of this town whose people are wrongdoers.”»","وقال: "" وَالْمُسْتَضْعَفِينَ مِنْ الرِّجَالِ وَالنِّسَاءِ وَالْوِلْدَانِ الَّذِينَ يَقُولُونَ رَبَّنَا أَخْرِجْنَا مِنْ هَذِهِ الْقَرْيَةِ الظَّالِمِ أَهْلُهَا (75) "" [النساء].
"
"So it is, too, in God’s word: «When they came to the people of a town, they asked its people for food. They refused to give them hospitality.» In this verse is an indication that they did not ask all the people of the town for food, so its import is the same as the two preceding verses.","وهكذا قول الله: "" حَتَّى إِذَا أَتَيَا أَهْلَ قَرْيَةٍ اسْتَطْعَمَا أَهْلَهَا فَأَبَوْا أَنْ يُضَيِّفُوهُمَا (77) "" [الكهف]. وفي هذه الآية دلالةٌ على أنْ لم يستطعما كل أهل قرية، فهي في معناهما.

"
"In it and in the “town whose people are wrongdoers” is a restricted expression, since all the people of the town were not wrongdoers. There may have been Muslims among them, and yet they were outnumbered and a minority.","وفيها، وفي: "" الْقَرْيَةِ الظَّالِمِ أَهْلُهَا (75) "" [النساء]: خصوص، لأن كل أهل القرية لم يكن ظالماً، قد كان فيهم المسلم، ولكنهم كانوا فيها مَكْثُورِين، وكانوا فيها أقل.
"
"In the Qurʾan there are many passages similar to that; these should suffice, God willing. In accounts of the Prophet’s Practice, too, are similar passages that are discussed in the appropriate place.","وفي القُرَآن نظائر لهذا، يُكْتَفَى بها إن شاء الله منها، وفي السنة له نظائر، موضوعةٌ مَوَاضِعَهَا.
"
"Chapter Explaining What Is Revealed in the Book, the Apparent Meaning of Which Is Unrestricted but Which Combines the Unrestricted and the Restricted","باب: بيان ما أنْزِل من الكتاب عامَّ الظاهرِ، وهو يجمع العام والخصوص."
God (blessed and exalted) said: «We have created you male and female and made you races and tribes that you may know one another. The noblest of you in the sight of God is the most God-fearing of you.»,"قال الله تبارك وتعالى: "" إِنَّا خَلَقْنَاكُمْ مِنْ ذَكَرٍ وَأُنثَى وَجَعَلْنَاكُمْ شُعُوبًا وَقَبَائِلَ لِتَعَارَفُوا. إِنَّ أَكْرَمَكُمْ عِنْدَ اللَّهِ أَتْقَاكُمْ (13) "" [الحجرات]،"
"He also (blessed and exalted) said: «Fasting is prescribed for you, as it was prescribed for those who were before you, so that you may be God-fearing, for a fixed number of days. Those of you who are sick or on a journey, a number of other days.»","وقال تبارك وتعالى: "" كُتِبَ عَلَيْكُمْ الصِّيَامُ كَمَا كُتِبَ عَلَى الَّذِينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ (183) أَيَّامًا مَعْدُودَاتٍ فَمَنْ كَانَ مِنْكُمْ مَرِيضًا أَوْ عَلَى سَفَرٍ فَعِدَّةٌ مِنْ أَيَّامٍ أُخَرَ (184) "" [البقرة]،"
And He said: «Prayer is a prescription at fixed times for the believers.»,"وقال: "" إِنَّ الصَّلَاةَ كَانَتْ عَلَى الْمُؤْمِنِينَ كِتَابًا مَوْقُوتًا (103) "" [النساء]،"
It is clear in the Book of God that these two verses contain unrestricted and restricted expressions.,"قال: فبيَّنَ في كتاب الله، أنَّ في هاتين الآيتين العمومَ والخصوصَ:"
What is unrestricted in them is God’s word: “We have created you male and female and made you races and tribes that you may know one another.”,"فأمَّا العموم منهما، ففي قول الله: "" إِنَّا خَلَقْنَاكُمْ مِنْ ذَكَرٍ وَأُنثَى وَجَعَلْنَاكُمْ شُعُوبًا وَقَبَائِلَ لِتَعَارَفُوا (13) "" [الحجرات]،"
"Every created person is addressed by that, during the era of the Prophet, beforehand, and afterward, and whether created male or female. All of them are races and tribes.","فكل نفس خوطبت بهذا، في زمان رسول الله، وقبله وبعده، مخلوقةٌ من ذكر وأنثى، وكلها شعوب وقبائل.
"
What is restricted in it is God’s word: “The noblest of you in the sight of God is the most God-fearing of you.”,"والخاص منها في قول الله: "" إِنَّ أَكْرَمَكُمْ عِنْدَ اللَّهِ أَتْقَاكُمْ (13) "" [الحجرات]؛"
"This is because fear of God is only incumbent on those persons who have reached their majority, who can understand it, and who are qualified to realize it. It does not apply to creatures that are beasts and so on, nor to people of unsound mind, nor to children who have yet to attain their majority such that they could comprehend what it is to fear God.","لأن التقوى تكون على من عَقَلَها، وكان من أهلها من البالغين من بني آدم، دون المخلوقين من الدوابّ سِواهم، ودون المغلوبين على عقولهم منهم، والأطفال الذين لم يبلغوا وعُقِل التقوى منهم.
"
"The only ones who can be described in terms of such fear or its opposite are those who are able to comprehend it and are thus among its practitioners, or those who act contrary to it and are thus not among its practitioners.","فلا يجوز أن يُوصف بالتقوى وخلافها إلا من عَقَلها وكان من أهلها، أو خالفها فكان من غير أهلها.
"
"The Book indicates what I have just explained, and in Prophetic Practice is an indication of it as well. God’s Emissary said: “The pen is lifted from three: the sleeper until he awakes; the youth until he reaches maturity; and the insane until he recovers.”","والكتاب يدل على ما وصفتُ، وفي السنة دلالة عليها، قال رسول الله: "" رُفِعَ القَلَمُ عَنْ ثَلَاثَة: النَّائِمُ حَتَّى يَسْتَيْقِظَ، والصَّبِيُّ حتى يَبْلُغَ، وَالمَجْنُونُ حَتَّى يُفِيقَ “."
"So, too, Revelation concerning fasting and prayer: they are incumbent on mature persons of sound mind; not those who have yet to reach maturity, or those who have reached maturity but whose rational faculty is impaired, or menstruating women during their menses.","وهكذا التنزيل في الصوم والصلاة: على البالغين العاقلين، دون من لم يبلغ، ومن بلغ ممن غُلِبَ على عقله، ودون الحُيَّضِ في أيام حَيْضِهِنَّ."
"Chapter Explaining What Is Revealed in the Book, the Apparent Meaning of Which Is Unrestricted but Which Is Intended in Its Entirety as Restricted","باب: بيان ما نزل من الكتاب عامَّ الظاهر، يراد به كلِّه الخاصُّ.
"
"God said: «Those to whom the people said, “The people have gathered against you. Fear them.” This increased them in their faith and they said, “God is sufficient for us. How excellent a guardian He is.”»","وقال الله تبارك وتعالى: "" الَّذِينَ قَالَ لَهُمْ النَّاسُ: إِنَّ النَّاسَ قَدْ جَمَعُوا لَكُمْ، فَاخْشَوْهُمْ، فَزَادَهُمْ إِيمَانًا، وَقَالُوا حَسْبُنَا اللَّهُ وَنِعْمَ الْوَكِيلُ (173) "" [آل عمران].
"
"Al-Shāfiʿī said: Since those who were with God’s Emissary were “people” other than those “people” who gathered against them, and those who informed them were “people” other than those who gathered against them, and other than those who were with him against whom—along with him—the others had gathered, and those who gathered were also “people,” the indication is an obvious case of what I have described, namely that it was only some of the people who gathered against them and not others.","قال ""الشافعي"": فإذْ كان مَن مع رسول الله ناسً، غيرَ مَن جمَعَ لهم من الناس، وكان المخبرون لهم ناسً غيرَ مَن جمُع لهم، وغيرَ من معه ممن جمُع عليه معه، وكان الجامعون لهم ناساً، فالدلالة بيِّنة مما وصفت من أنه إنما جمع لهم بعضُ الناس دون بعض.
"
"It is known with certainty that all people did not gather against them, and that all people did not inform them, and that they themselves were not all people.","والعلم يحيط أنْ من لم يَجمع لهم الناسُ كلهم، ولم يُخبرهم الناسُ كلهم، ولم يكونوا هم الناسَ كلَّهم.
"
"But, because the term “people” applies at a minimum to three individuals and at a maximum to all people, and to those between three and everyone, it is valid in the language of the Arabs to say “those to whom the people said,” even though those who said that to them be only four individuals. By the phrase “‘the people have gathered against you,’” those speaking were referring to those who fled Uḥud.","ولكنه لما كان اسم الناس يقع على ثلاثة نفر، وعلى جميع الناس، وعلى مَن بين جمعهم وثلاثةٍ منهم، كان صحيحاً في لسان العرب أن يقال: "" الَّذِينَ قَالَ لَهُمْ النَّاسُ (173) "" [آل عمران]، وإنما الذين قال لهم ذلك أربعةُ نفر "" إِنَّ النَّاسَ قَدْ جَمَعُوا لَكُمْ (173) "" [آل عمران]، يعنون المنصرفين عن أُحُدٍ."
"They were merely a not-very-large group of people, those who were gathering, not those who were gathered against, and those who informed the ones against whom others had gathered were other than the other two groups. Indeed, the majority of the people in their locales were other than those who gathered, and other than those against whom they gathered, and other than those who informed them about it.","وإنما هم جماعة غيرُ كثير من الناس، الجامعون منهم، غيرُ المجموع لهم، والمخبرون للمجموع لهم غيرُ الطائفتين، والأكثر من الناس في بلدانهم غيرُ الجامعين، ولا المجموع لهم ولا المخبرين."
"God also said: «O men, a parable has been coined. Listen to it. Those on whom you call, to the exclusion of God, will never create a fly, though they combine to do it. And if a fly robs them of anything, they will not rescue that from it. Weak are both the seeker and the sought.»","وقال: "" يَاأَيُّهَا النَّاسُ ضُرِبَ مَثَلٌ فَاسْتَمِعُوا لَهُ. إِنَّ الَّذِينَ تَدْعُونَ مِنْ دُونِ اللَّهِ لَنْ يَخْلُقُوا ذُبَابًا وَلَوْ اجْتَمَعُوا لَهُ، وَإِنْ يَسْلُبْهُمْ الذُّبَابُ شَيْئًا لَا يَسْتَنقِذُوهُ مِنْهُ. ضَعُفَ الطَّالِبُ وَالْمَطْلُوبُ (73) "" [الحج].
"
The expression is unrestricted in its application to all people.,"قال: فمَخْرَجُ اللفظ عامٌّ على الناس كلهم.
"
"It is clear, however, to experts in the Arabic language that by this expression of unrestricted import only some people are meant and not others. This is because He addresses thereby only those who call on a deity other than God (He is far exalted above what they say). After all, among them are believers whose rational faculties are impaired, and others whose rational faculties are not, but who do not call on a deity other than God.","وبيِّنٌ عند أهل العلم بلسان العرب منهم: أنه إنما يُراد بهذا اللفظ العامِّ المخرجِ بعضُ الناس، دون بعض؛ لأنه لا يُخاطَب بهذا إلا من يدعو من دون الله إلَهًا، تعالى عما يقولون عُلُوًّا كبيرا؛ لأن فيهم من المؤمنين المغلوبين على عقولهم، وغير البالغين ممن لا يدعو معه إلها.
"
"This, in its import, is similar to the preceding verse in the view of scholars of Arabic, though the preceding verse is clearer for nonscholars because of the many indications in it.","قال: وهذا في معنى الآية قبلها عند أهل العلم باللسان، والآية قبلها أوضحُ عند غير أهل العلم، لكثرة الدلالات فيها.
"
"Al-Shāfiʿī said: God (blessed and exalted) said: «Then press on from where the people press on.» It is known with certainty, God willing, that not all “the people” were present at ʿArafah at the time of God’s Emissary. God’s Emissary is the one addressed by this, and those who were with him. It is, however, valid in the Arabs’ speech that one say “press on from where the people press on,” and mean only some of the people.","قال ""الشافعي "": قال الله تبارك وتعالى: "" ثُمَّ أَفِيضُوا مِنْ حَيْثُ أَفَاضَ النَّاسُ (199) "" [البقرة]، فالعلم يحيط - إن شاء الله - أن الناس كلهم لم يحضروا عرفة في زمان رسول الله، ورسول الله المخاطبُ بهذا ومَن معه، ولكنَّ صحيحاً من كلام العرب أن يقال: "" ثُمَّ أَفِيضُوا مِنْ حَيْثُ أَفَاضَ النَّاسُ ""، يعني بعضَ الناس."
"This verse is of similar import to the two preceding ones, though they are all, for the Arabs, the same.","وهذه الآية في مثل معنى الآيتين قبلها، وهي عند العرب سواء."
"The first verse is, for those ignorant of the Arabs’ language, clearer than the second, and the second is clearer for them than the third, even though their respective clarity altogether does not differ for the Arabs, for whom a minimally clear statement suffices in lieu of a more expansive one.","والآية الأولى أوضح عند من يجهل لسان العرب من الثانية، والثانيةُ أوضح عندهم من الثالثة، وليس يختلف عند العرب وضوح هذه الآيات معا؛ لأن أقل البيان عندها كاف من أكثره،"
"The one listening wants merely to understand what the person speaking is saying, so the tersest utterance by which the speaker can make himself understood is sufficient for the listener.","إنما يريد السامعُ فَهْمَ قول القائل، فأقل ما يفهمه به كافٍ عنده."
God (sublime His praise) also said: «whose fuel is men and stones.» God’s Book indicated that its “fuel” was only some of the people and not others by reason of His saying «Those for whom the fairest reward has gone forth from Us—those will be removed far from it.»,"وقال الله جل ثناؤه: "" وَقُودُهَا النَّاسُ وَالْحِجَارَةُ (24) "" [البقرة]، فدل كتاب الله على أنه إنما وقودها بعضُ الناس، لقول الله: "" إِنَّ الَّذِينَ سَبَقَتْ لَهُمْ مِنَّا الْحُسْنَى. أُوْلَئِكَ عَنْهَا مُبْعَدُونَ (101) "" [الأنبياء].
"
Chapter on the Category of Statements in Which Context Indicates the Meaning ,باب: الصِّنْف الذي يُبَيِّن سياقُه معناه.
"God (blessed and exalted) said: «Ask them about the town that was by the sea, when they transgressed against the Sabbath, when their fish came to them on the day of their Sabbath, moving from the deep water, and did not come to them on the day when they did not keep the Sabbath. In this way We were trying them because they were profligates.»","قال الله تبارك وتعالى: "" وَاسْأَلْهُمْ عَنْ الْقَرْيَةِ الَّتِي كَانَتْ حَاضِرَةَ الْبَحْرِ إِذْ يَعْدُونَ فِي السَّبْتِ إِذْ تَأْتِيهِمْ حِيتَانُهُمْ يَوْمَ سَبْتِهِمْ شُرَّعًا، وَيَوْمَ لَا يَسْبِتُونَ لَا تَأْتِيهِمْ. كَذَلِكَ نَبْلُوهُمْ بِمَا كَانُوا يَفْسُقُونَ (163) "" [الأعراف] ."
"He began (sublime His praise) by mentioning the command to ask them about the town by the sea. When He said “when they transgressed against the Sabbath,” He indicated that He intended only the “people” of the town, because the town itself was not capable of transgression, nor of profligacy by reason of transgressing against the Sabbath, nor of any other transgression. ","فابتدأ - جل ثناؤه - ذِكرَ الأمر بمسألتهم عن القرية الحاضرة البحر، فلما قال: "" إِذْ يَعْدُونَ فِي السَّبْت ""الآية، دل على أنه إنما أراد أهلَ القرية؛ لأن القرية لا تكون عادِيَةً، ولا فاسقة بالعدوان في السبت ولا غيره، "
By referring to transgression He meant only the “people” of the town whom He tried because of their profligacy.,وأنه إنما أراد بالعدوان أهل القرية الذين بَلاَهم بما كانوا يفسقون.
"He also said: «How many a town that did wrong have We shattered, and raised up after it another people! And when they perceived Our might, you could see them running from it!»","وقال: "" وَكَمْ قَصَمْنَا مِنْ قَرْيَةٍ كَانَتْ ظَالِمَةً، وَأَنشَأْنَا بَعْدَهَا قَوْمًا آخَرِينَ (11) فَلَمَّا أَحَسُّوا بَأْسَنَا إِذَا هُمْ مِنْهَا يَرْكُضُونَ (12) "" [الأنبياء] ."
"This verse is, in its import, like the preceding verse.","وهذه الآية في مثل معنى الآية قبلها،"
"He mentioned the shattering of the town, and when He mentioned that it “did wrong” it became clear to the one listening that the wrongdoers were only its “people,” and not their dwellings, which cannot themselves do wrong.","فذَكَر قَصْمَ القرية، فلما ذكر أنها ظالمة بَانَ للسامع أن الظالم إنما هم أهلها، دون منازلها التي لا تَظلم،"
"Similarly, when He mentioned the “people” who were raised up afterward and their perception of might upon the shattering of the town, it became known with certainty that the only ones who perceived might were those human beings who were capable of knowing what might is.","ولما ذكر القوم المنشَئِين بعدها، وذكر إحساسَهم البأسَ عند القَصْم، أحاط العلمُ أنه إنما أحسَّ البأس من يعرف البأس من الآدميين."
The Category in Which the Wording Indicates the True Meaning Rather Than the Apparent Meaning.,"الصنف الذي يدل لفظه على باطنه، دون ظاهره. "
"God (blessed and exalted) said, while relating what Joseph’s brothers said to their father: «We testify only to that which we know. We could not guard against the Invisible. Ask the town in which we were and the caravan in which we came. We are really speaking the truth.»","قال الله تبارك وتعالى، وهو يحكي قول إخوة يوسف لأبيهم: "" مَا شَهِدْنَا إِلَّا بِمَا عَلِمْنَا، وَمَا كُنَّا لِلْغَيْبِ حافِظِينَ (81) ، وَاسْأَلْ الْقَرْيَةَ الَّتِي كُنَّا فِيهَا، وَالْعِيرَ الَّتِي أَقْبَلْنَا فِيهَا، وَإِنَّا لَصَادِقُونَ (82) "" [يوسف] ."
"This verse is, in its import, like the preceding verses and so does not differ at all for scholars of Arabic.","فهذه الآية في مثل معنى الآيات قبلها، لا تختلف عند أهل العلم باللسان،"
"They tell their father to ask the “people” of the town and the “people” of the caravan, since the town and the caravan themselves cannot inform him about the brothers’ truthfulness.","أنهم إنما يخاطبون أباهم بمسألة أهل القرية وأهل العير، لأن القرية والعير لا يُنْبِئَانِ عن صدقهم."
Chapter on What Is Revealed as Unrestricted and Which Prophetic Practice in Particular Indicated Is Intended as Restricted ,"باب: ما نزل عاماًّ، دلت السنة خاصة على أنه يراد به الخاص."
"God (sublime His praise) said: «To each of his parents one-sixth of what he leaves, if he has a child; but if he does not have a child and his heir is his father, his mother gets a third; but if he has brothers, his mother gets a sixth.»","قال الله - جل ثناؤه -: "" وَلِأَبَوَيْهِ لِكُلِّ وَاحِدٍ مِنْهُمَا السُّدُسُ مِمَّا تَرَكَ إِنْ كَانَ لَهُ وَلَدٌ، فَإِنْ لَمْ يَكُنْ لَهُ وَلَدٌ وَوَرِثَهُ أَبَوَاهُ فَلِأُمِّهِ الثُّلُثُ، فَإِنْ كَانَ لَهُ إِخْوَةٌ فَلِأُمِّهِ السُّدُسُ (11) "" [النساء] ."
"He also said: «To you is half of what your wives leave, if they have no child; but if they have a child, you get a quarter of what they leave, after any bequest they may have made or any debt.","وقال: "" وَلَكُمْ نِصْفُ مَا تَرَكَ أَزْوَاجُكُمْ إِنْ لَمْ يَكُنْ لَهُنَّ وَلَدٌ، فَإِنْ كَانَ لَهُنَّ وَلَدٌ فَلَكُمْ الرُّبُعُ مِمَّا تَرَكْنَ مِنْ بَعْدِ وَصِيَّةٍ يُوصِينَ بِهَا أَوْ دَيْنٍ،"
"They get a quarter of what you leave, if you have no child; but if you do have a child they receive one-eighth of what you leave after any bequest you may have made or any debt.","وَلَهُنَّ الرُّبُعُ مِمَّا تَرَكْتُمْ إِنْ لَمْ يَكُنْ لَكُمْ وَلَدٌ، فَإِنْ كَانَ لَكُمْ وَلَدٌ فَلَهُنَّ الثُّمُنُ مِمَّا تَرَكْتُمْ مِنْ بَعْدِ وَصِيَّةٍ تُوصُونَ بِهَا أَوْ دَيْنٍ،"
"If a man, or a woman, has no direct heir, but has a brother or sister, each of the two gets a sixth.","وَإِنْ كَانَ رَجُلٌ يُورَثُ كَلَالَةً أَوْ امْرَأَةٌ، وَلَهُ أَخٌ أَوْ أُخْتٌ، فَلِكُلِّ وَاحِدٍ مِنْهُمَا السُّدُسُ،"
"If there are more than that, they share in a third after any bequest he may have made or any debt that is not prejudicial. This is a charge from God. God is Knowing and Prudent.»","فَإِنْ كَانُوا أَكْثَرَ مِنْ ذَلِكَ فَهُمْ شُرَكَاءُ فِي الثُّلُثِ مِنْ بَعْدِ وَصِيَّةٍ يُوصَى بِهَا أَوْ دَيْنٍ غَيْرَ مُضَارٍّ، وَصِيَّةً مِنْ اللَّهِ، وَاللَّهُ عَلِيمٌ حَلِيمٌ (12) "" [النساء] ."
He stated that parents and spouses take what is named in those situations. This is an unrestricted expression.,"فأبان أن للوالدين والأزواج مما سمى في الحالات، وكان عامَّ المخرج،"
"The Practice of God’s Emissary indicates, however, that He only meant certain parents, children, and spouses, and not others.","فدلت سنة رسول الله على أنه إنما أريد به بعض الوالدين والأزواج، دون بعض،"
"That is, He meant that the religion of the parents and their children, and of the spouses, be the same as that of the deceased, and that the heir who is a parent or spouse not be the killer of the deceased and not a slave.","وذلك أن يكون دين الوالدين والمولود والزوجين واحداً، ولا يكون الوارث منهما قاتلاً ولا مملوكاً."
He said: «after any bequest he may have made or any debt.»,"وقال: "" مِنْ بَعْدِ وَصِيَّةٍ يُوصَى بِهَا أَوْ دَيْنٍ ""."
"The Prophet stated that bequests were restricted to one-third of the estate and no more, and that the heirs take the remaining two-thirds.","فأبان النبي أن الوصايا مقتَصَرٌ بها على الثلث، لا يُتَعدى، ولأهل الميراث الثلثان؛"
"He further stated that debts should be satisfied before bequests and inheritance shares, and that there should be no bequest and no inheritance until the creditors’ debts are satisfied.","وأبان أن الدَّين قبل الوصايا والميراث، وأن لا وصية ولا ميراث حتى يستوفي أهل الدَّين دينهم."
"If not for the indication from the Prophet’s Practice, and then people’s consensus, inheritance shares would not be distributed after testamentary bequests or satisfaction of debts, and the testamentary bequest would either be given priority over debts or have equal priority with them.","ولولا دلالة السنة، ثم إجماعُ الناس، لم يكن ميراثٌ إلا بعد وصية أو دين، ولم تعد الوصية أن تكون مُبَدَّاةً على الدين أو تكون والدين سواء."
"God also said: «When you rise to pray, wash your faces and your hands up to the elbows, and wipe your heads and wash your feet up to the ankles.»","وقال الله: "" إِذَا قُمْتُمْ إِلَى الصَّلَاةِ فَاغْسِلُوا وُجُوهَكُمْ وَأَيْدِيَكُمْ إِلَى الْمَرَافِقِ وَامْسَحُوا بِرُءُوسِكُمْ وَأَرْجُلَكُمْ إِلَى الْكَعْبَيْنِ (6) "" [المائدة] ."
"He (sublime His praise) directed one to wash the feet, just as he directed one to wash the face and hands.","فقصد - جل ثناؤه - قصْدَ القدمين بالغسل، كما قصد الوجه واليدين،"
"The apparent sense of this verse is that the only washing that would be legally sufficient for the feet is what would be so for the face, or, if one wipes the feet, then the only wiping that would be legally sufficient is what would be so for the head.","فكان ظاهر هذه الآية أنه لا يجزئ في القدمين إلا ما يجزئ في الوجه من الغسل، أو الرأس من المسح؛"
"It is possible, however, in regard to washing or wiping the feet, that only some of the persons performing ablutions are intended and not others.","وكان يحتمل أن يكون أريد بغسل القدمين أو مسحهما، بعضُ المتوضئين دون بعض."
"When God’s Emissary wiped his footwear, and commanded that anyone should do so who had put his feet into footwear while in a state of complete ritual purity, the Practice of God’s Emissary indicated that, in regard to washing or merely wiping the feet, some of the persons performing ablutions were intended and not others.","فلما مسح رسول الله على الخفين، وأمر به من أدخل رجليه في الخفين، وهو كامل الطهارة، دلت سنة رسول الله على أنه إنما أريد بغسل القدمين أو مسحهما بعضُ المتوضئين دون بعض."
"God (blessed and exalted) also said: «The thief, male and female: cut off their hands as a recompense for what they have acquired—an exemplary punishment from God.»","وقال الله تبارك وتعالى: "" وَالسَّارِقُ وَالسَّارِقَةُ فَاقْطَعُوا أَيْدِيَهُمَا جَزَاءً بِمَا كَسَبَا نَكَالًا مِنْ اللَّهِ (38) "" [المائدة] ."
"God’s Emissary established the practice that “there is no amputation for fruit or palm hearts,” and that indicated that no amputation was to be carried out except for persons who stole from a place of safekeeping.","وسن رسول الله أن: "" لاَ قَطْعَ فِي ثَمَرٍ وَلاَ كَثَرٍ"" ،"
He also clarified that amputation was only to be carried out for those whose theft amounted to a quarter dinar and up.,"وأن لا يقطع إلا من بلغت سرقته ربع دينار، فصاعداً."
"God also said: «The fornicator and the fornicatress, scourge each one of them a hundred lashes.»","وقال الله: "" الزَّانِيَةُ وَالزَّانِي فَاجْلِدُوا كُلَّ وَاحِدٍ مِنْهُمَا مِائَةَ جَلْدَةٍ "" [النور] ."
"In regard to female slaves, He said: «If they commit indecency once they are properly safeguarded, they shall incur half of the punishment for other safeguarded women.»","وقال في الإماء: "" فَإِذَا أُحْصِنَّ فَإِنْ أَتَيْنَ بِفَاحِشَةٍ فَعَلَيْهِنَّ نِصْفُ مَا عَلَى الْمُحْصَنَاتِ مِنْ الْعَذَابِ (25) "" [النساء] ."
"The Qurʾan indicates that the one hundred lashings were meant to apply only to free persons, and not to female slaves.","فدل القُرَآن على أنه إنما أريد بجلد المائة: الأحرارُ، دون الإماء."
"Then, when God’s Emissary had nonvirgins who engaged in unlawful sexual intercourse stoned, not flogged, the Practice of God’s Emissary indicated that the hundred lashes for those who committed unlawful sexual intercourse were intended to apply to free virgins, and that the punishment of amputation for theft was intended to apply to those thieves who stole from a place of safekeeping and whose theft had a minimum value of a quarter dinar, and not to others to whom the terms “theft” and “unlawful sexual intercourse” would otherwise apply.","فلما رجم رسول الله الثيب من الزناة، ولم يجلده: دلت سنة رسول الله على أن المراد بجلد المائة من الزناة: الحُرَّان البِكْرَان، وعلى أن المراد بالقطع في السرقة: من سرَق من حِرْز، وبلغت سرقته ربع دينار، دون غيرهما ممن لزمه اسم سرقة وزنا."
God also said: «And know that a fifth of whatever you take as spoils belongs to God and to the Emissary and the near kinsmen and the orphans and the destitute and the traveler.»,"وقال الله: "" وَاعْلَمُوا أَنَّمَا غَنِمْتُمْ مِنْ شَيْءٍ فَأَنَّ لِلَّهِ خُمُسَهُ، وَلِلرَّسُولِ وَلِذِي الْقُرْبَى وَالْيَتَامَى وَالْمَسَاكِينِ وَابْنِ السَّبِيلِ (41) "" [الأنفال] ."
"So when God’s Emissary gave to the Hāshim and al-Muṭṭalib clans the share of “the near kinsmen,” the Practice of God’s Emissary indicated that “the near kinsmen” to whom God granted a share of one-fifth were the Hāshim and al-Muṭṭalib clans, to the exclusion of others.","فلما أعطى رسول الله بني هاشم وبني المطلب سهم ذي القربى: دلت سنة رسول الله أن ذا القربى الذين جعل الله لهم سهماً من الخمس: بنو هاشم وبنو المطلب، دون غيرهم."
"After all, the entire tribe of Quraysh are the Prophet’s near kinsmen, and the ʿAbd Shams clan is equal in that regard to the al-Muṭṭalib clan; together they are the children of a single father and mother, even though some of the al-Muṭṭalib clan are distinguished from them by descent from the Hāshim clan.","وكل قريش ذو قرابة، وبنو عبد شمس مساويةُ بني المطلب في القرابة، هم مَعًا بنو أب وأم، وإن انفرد بعض بني المطلب بولادة من بني هاشم دونَهم."
"So when no share went to those who were descended from the al-Muṭṭalib clan alone, without also having ties of descent to the Hāshim clan, that indicated that only the Hāshim clan in particular were given a share—not others—because of their ties of ancestral origin and their presence all together at the Prophet’s victory in the ravine, before it and after it. It also indicated that God (sublime His praise) intended them in particular.","فلما لم يكن السهم لمن انفرد بالولادة من بني المطلب دون من لم تصبه ولادة من بني هاشم منهم: دل ذلك على أنهم إنما أعطُوا خاصة دون غيرهم بقرابة جذم النسب، مع كَيْنُونَتِهِمْ معًا مجتمعين في نصر النبي بالشِّعْب وقبله وبعده، وما أراد الله - جل ثناؤه - بهم خاصًّا."
"The Hāshim clan was born within the tribe of Quraysh, yet no others among Quraysh were given any share of the fifth by reason of their descent.","ولقد وَلَدَتْ بنو هاشم في قريش فما أعطي منهم أحد بولادتهم من الخمس شيئاً،"
