THE,كتاب الأموال
"This was like the decision of 'Umar in t e case o residents of the Sawad, which was conquered by the force of arms at e an of Sa<d.","كَفِعْلِ عُمَرَ بِأَهْلِ السَّوَادِ، وَإِنَّمَا أُخِذَ عَنْوَةً عَلَى يَدَيْ سَعْدٍ"
"The lands of Syria were also conquered with the force of arms, excep for its cities, at the hands of Yazid ibn Abi Sufyan, Shurahbil ibn. a^a’ 'Ubayda ibn al-Jarrah and Khalid ibn al-Walid. The territory o a Jai a conquered in the Battle of Jalula as well as Nahawand at the han so a i Abi Waqqas and al-Nu<m*n ibn Maqarrin. Al-Ahwaz, or a major part oMt as well as Faris were conquered at the hands of Abu Musa al-Ash^an, an Abi al-<As, 'Utba ibn Ghazwan and others from among the Companions o e Prophet (pbuh).","وَكَذَلِكَ بِلَادُ الشَّامِ كُلُّهَا عَنْوَةً، مَا خَلَا مُدُنَهَا عَلَى يَدَيْ يَزِيدِ بْنِ أَبِي سُفْيَانَ وَشُرَحْبِيلَ ابْنِ حَسَنَةَ، وَأَبِي عُبَيْدَةَ بْنِ الْجَرَّاحِ، وَخَالِدِ بْنِ الْوَلِيدِ، وَكَذَلِكَ الْجَبَلُ أُخِذَ [ص:133] عَنْوَةً فِي وَقْعَةِ جَلُولَاءَ وَنَهَاوَنْدَ عَلَى يَدَيْ سَعْدِ بْنِ أَبِي وَقَّاصٍ وَالنُّعْمَانِ بْنِ مُقَرِّنٍ، وَكَذَلِكَ الْأَهْوَازُ، أَوْ أَكْثَرُهَا، كَذَلِكَ فَارِسُ عَلَى يَدَيْ أَبِي مُوسَى الْأَشْعَرِيِّ، وَعُثْمَانَ بْنِ أَبِي الْعَاصِ، وَعُتْبَةَ بْنِ غَزْوَانَ وَغَيْرِهِمْ مِنْ أَصْحَابِ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ،"
Al-Maghrib was conquered by 'Abd Allah ibn Sa<d i n. i ar.,وَكَذَلِكَ الْمَغْرِبُ عَلَى يَدَيْ عَبْدِ اللَّهِ بْنِ سَعْدِ بْنِ أَبِي سَرْحٍ
"(283) <Abd Allah ibn Salih related to us from Musa ibn Riyah from his father, who said: “The entire al-Maghrib was conquered by the force of arms. ‘","278 - حَدَّثَنَا عَبْدُ اللَّهِ بْنُ صَالِحٍ، عَنْ مُوسَى بْنِ عَلِيِّ بْنِ رِيَاحٍ، عَنْ أَبِيهِ، قَالَ: «الْمَغْرِبُ كُلُّهُ عَنْوَةٌ»"
AbU 'Ubayd said: Similarly al-Thaghdr.,قَالَ أَبُو عُبَيْدٍ: وَكَذَلِكَ الثُّغُورُ
"(284) Hisham ibn 'Ammftr related to us from Yazid ibn Samura from al-Hakam ibn 'Abd al-RahmSn ibn Abi al-'A§ma al-Khath'ami — who participated in the conquest of QaysSriyya - who said: “Mu^wiya laid siege to it for seven years, less a few months, and finally conquered it.","279 - حَدَّثَنَا هِشَامُ بْنُ عَمَّارٍ، عَنْ يَزِيدَ بْنِ سَمُرَةَ، عَنِ الْحَكَمِ بْنِ عَبْدِ الرَّحْمَنِ بْنِ أَبِي الْعَصْمَاءِ الْخَثْعَمِيِّ، وَكَانَ مِمَّنْ شَهِدَ فَتْحَ قَيْسَارِيَّةَ قَالَ: حَاصَرَهَا مُعَاوِيَةُ سَبْعَ سِنِينَ إِلَّا أَشْهُرًا ثُمَّ فَتَحُوهَا"
"He sent the report of its conquest to ‘Umar ibn al-Khattab, who stood up among the people and announced, ‘Qaysariyya was conquered under the pressure of a great force.’”","وَبَعَثُوا بِفَتْحِهَا إِلَى عُمَرَ بْنِ الْخَطَّابِ، فَقَامَ عُمَرُ، فَنَادَى: «أَلَا إِنَّ قَيْسَارِيَّةَ فُتِحَتْ قَسْرًا»"
AbU 'Ubayd said: These were the lands that were conquered with the force of arms.,"قَالَ أَبُو عُبَيْدٍ: فَهَذِهِ بِلَادُ الْعَنْوَةِ،"
Their residents were permitted to stay there and practise their faiths and rituals.,"وَقَدْ أَقَرَّ أَهْلَهَا عَلَى مِلَلِهِمْ وَشَرَائِعِهِمْ،"
"For each of these narratives there are stories and reports that we shall record, God willing, according to what we have come to know.","وَلِكُلٍّ هَذِهِ قِصَصٌ وَأَنْبَاءٌ، نَأْتِي بِمَا عَلِمْنَا مِنْهَا إِنْ شَاءَ اللَّهُ،"
"The decision of <'Umar regarding the person who had become rich through wine trade, and the confiscation of his animals and destruction of his goods, as well as the decision of 'Ali, peace be upon him, regarding the residents of Zur^ra and setting fire to their village, concern those people who were left to practise their own faith. In our view, the interpretation of what they decided, God knows best, is that dealing in wine was not something that was stipulated in their agreed terms.","فَأَمَّا الَّذِي فَعَلَهُ عُمَرُ بِالَّذِي أَثَرَى فِي تِجَارَةِ الْخَمْرِ مِنْ تَسْيِيرِ مَاشِيَتِهِ وَكَسْرِ مَتَاعِهِ، وَمَا فَعَلَهُ عَلَيْهِ السَّلَامُ بِأَهْلِ زُرَارَةَ مِنْ إِحْرَاقِهَا، وَهُمْ مِمَّنْ قَدْ أُقِرَّ عَلَى مِلَّتِهِ، فَإِنَّمَا وَجْهُهُ عِنْدَنَا - وَاللَّهُ أَعْلَمُ - أَنَّهُمَا فَعَلَا ذَلِكَ لِأَنَّ التِّجَارَةَ فِي الْخَمْرِ لَمْ تَكُنْ مِمَّا شُرِطَ لَهُمْ،"
"Their terms did permit them to drink it, but as for trading in it and transporting it from land to land, it was not permitted.”* This is evident from a tradition that is related from 'Umar ibn 'Abd al-'Aziz.","إِنَّمَا كَانَ فِي ذِمَّتِهِمْ شُرْبُهَا، فَأَمَّا الْمُتَاجَرَةُ [ص:134] فِيهَا وَحَمْلُهَا مِنْ بَلَدٍ إِلَى بَلَادٍ فَلَا وَهُوَ بَيِّنٌ، فِي حَدِيثٍ يُرْوَى عَنْ عُمَرَ بْنِ عَبْدِ الْعَزِيزِ"
"(285) 'Abd al-Rahman ibn Mahdi related to us from al-Muthanna ibn Sa'id, who said: “'Umar ibn 'Abd al-'Aziz wrote to 'Abd al-Hamid ibn 'Abd al-Rahman” - his official at Kufa - “‘that wine should not be transported from locality to locality, and what is found in boats is to be converted into vinegar.’”","280 - حَدَّثَنَا عَبْدُ الرَّحْمَنِ بْنُ مَهْدِيٍّ، عَنِ الْمُثَنَّى بْنِ سَعِيدٍ، قَالَ: كَتَبَ عُمَرُ بْنُ عَبْدِ الْعَزِيزِ إِلَى عَبْدِ الْحَمِيدِ بْنِ عَبْدِ الرَّحْمَنِ وَهُوَ عَامِلُهُ عَلَى الْكُوفَةِ أَنْ لَا تَحْمِلِ الْخَمْرَ مِنْ رُسْتَاقٍ إِلَى رُسْتَاقٍ، وَمَا وَجَدْتَ مِنْهَا فِي السُّفُنِ فَصَيِّرْهُ خَلًّا،"
,
,
"'Abd al-Hamid wrote to his official at Wasit, Muhammad ibn al-Muntashir, to implement the decision.",فَكَتَبَ عَبْدُ الْحَمِيدِ إِلَى عَامِلِهِ بِوَاسِطَ مُحَمَّدِ بْنِ الْمُنْتَشِرِ بِذَلِكَ
"He went to inspect the boats, and put water and salt in each drum so as to convert it into vinegar.","فَأَتَى السُّفُنَ، فَصَبَّ فِي كُلِّ رَاقُودٍ مَاءً وَمِلْحًا فَصَيَّرُهُ خَلًّا"
"Abu 'Ubayd said: 'Umar did not prevent them from drinking wine, because this was agreed upon in their terms.","قَالَ أَبُو عُبَيْدٍ: فَلَمْ يَحُلْ عُمَرُ بَيْنَهُمْ وَبَيْنَ شُرْبِهَا، لِأَنَّهُمْ صُولِحُوا،"
He did stop the transportation and trading of wine.,"وَحَالَ بَيْنَهُمْ وَبَيْنَ حَمْلِهَا وَالتِّجَارَةِ فِيهَا،"
"Our view about wine converted into vinegar, and not spilt on the ground, is that it has legal value as far as the Ahl al-Dhimma are concerned.","وَإِنَّمَا نَرَاهُ أَمَرَ بِتَصْيِيرِهَا خَلًّا، وَتَرَكَهُ أَنْ يَصُبَّهَا فِي الْأَرْضِ صَبًّا، لِأَنَّهَا مَالٌ مِنْ أَمْوَالِ أَهْلِ الذِّمَّةِ،"
"Had it belonged to the Muslims, there would have been no option but to spill it, following the reports from the Prophet (pbuh) and his Companions.","وَلَوْ كَانَتْ لِمُسْلِمٍ مَا جَازَ إِلَّا هِرَاقَتُهَا فِي الْأَرْضِ، يَتَّبِعُ فِي ذَلِكَ مَا جَاءَ عَنِ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ وَأَصْحَابِهِ"
(286) 'Abd al-Rahman ibn Mahdi related to us from Sufyan from Mansdr from al-Fudayl ibn (Amr from Ibrahim that a man used to trade with the wealth of orphans.,"281 - حَدَّثَنَا عَبْدُ الرَّحْمَنِ بْنُ مَهْدِيٍّ، عَنْ سُفْيَانَ، عَنْ مَنْصُورٍ، عَنْ الْفُضَيْلِ بْنِ عَمْرٍو [ص:135]، عَنْ إِبْرَاهِيمَ، أَنَّ رَجُلًا كَانَ يَتَّجِرُ بِأَمْوَالِ الْيَتَامَى،"
"He bought wine with it, so the Messenger of God (pbuh) said, “Spill it.”","فَاشْتَرَى بِهَا خَمْرًا، فَقَالَ لَهُ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: «أَهْرِقْهَا»"
"He said, “It is the wealth of orphans.”","فَقَالَ: إِنَّهَا أَمْوَالُ الْيَتَامَى،"
"He said, “Spill it.”",فَقَالَ: «أَهْرِقْهَا»
"He said, “It is the wealth of orphans.”","فَقَالَ: إِنَّهَا أَمْوَالُ الْيَتَامَى،"
"He said, “Spill it.”","فَقَالَ: «أَهْرِقْهَا» فَهَرَاقَهَا،"
The man spilt it and (it was so much that) it flowed out into the valley.,حَتَّى سَالَتْ فِي الْوَادِي
Abn 'Ubayd said: Had there been an exemption of converting it into vinegar reported from the Messenger of God (pbuh) it would have been granted in the case of the wealth of orphans.,"قَالَ أَبُو عُبَيْدٍ: فَلَوْ جَاءَتِ الرُّخْصَةُ عَنْ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ فِي تَصْيِيرِهَا خَلًّا، لَكَانَتْ فِي أَمْوَالِ الْيَتَامَى وَمِنْهُ حَدِيثُهُ الْآخَرُ"
There is another tradition about this.,
"(287) 'Abd al-Rahman ibn Mahdi related to us from Sufyan from al-Suddi from Yahya ibn 'Abbad from Anas ibn Malik, who said: “The Messenger of God (pbuh) was asked about the conversion of wine into vinegar, and he said, ‘No!’”'","282 - حَدَّثَنَا عَبْدُ الرَّحْمَنِ بْنُ مَهْدِيٍّ، عَنْ سُفْيَانَ، عَنِ السُّدِّيِّ، عَنْ يَحْيَى بْنِ عَبَّادٍ، عَنْ أَنَسِ بْنِ مَالِكٍ، قَالَ: سُئِلَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ عَنِ الْخَمْرِ تُتَّخَذُ خَلًّا؟ فَقَالَ: لَا"
,
(288) Hushaym related to us saying: MansOr related to us from al-Hasan that 'Uthman ibn Abi al-'As gave money to a man so that he might trade with it.,"283 - وَحَدَّثَنَا هُشَيْمٌ، قَالَ: حَدَّثَنَا مَنْصُورٌ، عَنِ الْحَسَنِ، أَنَّ عُثْمَانَ بْنَ أَبِي الْعَاصِ دَفَعَ إِلَى رَجُلٍ مَالًا يَعْمَلُ لَهُ بِهِ"
,
The man went and bought wine with it.,"فَخَرَجَ فَاشْتَرَى بِهِ خَمْرًا،"
He came to 'Uthman and said that he had traded with it and had made a substantial profit.,"ثُمَّ قَدِمَ فَأَرْبَحَ فِيهِ مَالًا كَثِيرًا، فَأَتَى عُثْمَانَ فَأَخْبَرَهُ أَنَّهُ قَدِ اشْتَرَى بِهِ بَيْعًا فَأَرْبَحَ فِيهِ مَالًا [ص:136] كَثِيرًا،"
He said: “And what is that?,فَقَالَ: وَمَا هُوَ؟
He replied: “Wine.”,"قَالَ: خَمْرٌ،"
'Uthman went out and reached the river bank.,"قَالَ: فَانْطَلَقَ عُثْمَانُ حَتَّى جَلَسَ إِلَى شَاطِئِ النَّهَرِ،"
He then ordered the man to fetch all the wine.,"ثُمَّ أَمَرَ بِتِلْكَ الْخَمْرِ فَهُرِيقَتْ فِي دِجْلَةَ،"
He had the wine poured into the Tigris river.,
At that time it was said to him: “Why do you not convert it into vinegar?,فَقِيلَ لَهُ: أَلَا تَجْعَلُهَا خَلًّا؟
"He said, “No!” and had all the wine spilt into the river",قَالَ: لَا وَأَمَرُ بِهَا فَصُبَّتْ كُلُّهَا
"(289) Muhammad ibn Yazid related to us from Mubarak ibn Fadala from al-Hasan when he was asked about a man who inherited wine, whether he should","284 - وَحَدَّثَنَا مُحَمَّدُ بْنُ يَزِيدَ، عَنِ الْمُبَارَكِ بْنِ فَضَالَةَ، عَنِ الْحَسَنِ، فِي رَجُلٍ وَرِثَ خَمْرًا، أَيَجْعَلُهَا خَلًّا؟"
convert it into vinegar?,
He said: “He used to consider it disapproved.”,"قَالَ: «كَانَ يَكْرَهُهُ،"
"He said: “We dislike declaring what is prohibited as permitted, and the permitted as prohibited.”","وَنَكْرَهُ أَنْ يَجْعَلَ الْحَرَامَ حَلَالًا، وَالْحَلَالَ حَرَامًا»"
(290) Muhammad ibn 'Ubayd and Ishaq ibn YQsuf al-Arzaq related to us from 'Abd al-Malik ibn Abi Sulayman from 'Ata about a man who inherits wine.,"285 - وَحَدَّثَنَا مُحَمَّدُ بْنُ عُبَيْدٍ، وَإِسْحَاقُ بْنُ يُوسُفَ الْأَزْرَقُ، عَنْ عَبْدِ الْمَلِكِ بْنِ أَبِي سُلَيْمَانَ، عَنْ عَطَاءٍ، فِي رَجُلٍ وَرِثَ خَمْرًا"
He said: “Spill it.”,"فَقَالَ: يُهْرِقُهَا،"
I said: “What is your view if water were added to it and it was converted into vinegar?”,قُلْتُ: أَرَأَيْتَ إِنْ صَبَّ عَلَيْهَا مَاءً فَتَحَوَّلَتْ خَلًّا؟
"He said: “If it turns into vinegar, sell it.”",قَالَ إِنْ تَحَوَّلَتْ خَلَا فَلْيَبِعْهُ
"(291) Yazid ibn HarUn related to us from Jarir ibn Hazim from 'Abd al-Karlm al-Mu'allim from Mujahid, who said: “A man inherited idols made of silver, wine and pigs.",
,"286 - وَحَدَّثَنَا يَزِيدُ بْنُ هَارُونَ، عَنْ جَرِيرِ بْنِ حَازِمٍ، عَنْ عَبْدِ الْكَرِيمِ الْمُعَلِّمِ، عَنْ مُجَاهِدٍ، قَالَ: وَرِثَ رَجُلٌ أَصْنَامًا مِنْ فِضَّةٍ، وَخَمْرًا وَخَنَازِيرَ،"
He sought an opinion from a group of the Companions of the Messenger of God (pbuh).,"فَسَأَلَ رَهْطًا مِنْ أَصْحَابِ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ،"
"They ordered him to smash the idols and convert them to silver, but they forbade him from taking money for wine and swine.”","فأَمَرُوهُ أَنْ يَكْسِرَ الْأَصْنَامَ فَيَجْعَلَهَا فِضَّةً، وَنَهَوْهُ عَنِ الْخَمْرِ وَثَمَنِ الْخَنَازِيرِ"
Abu H-Jbayd said: The same opinion was given by 'Umar about the property of Ruwayshid al-Thaqafi when he burned down his house.,"قَالَ أَبُو عُبَيْدٍ: وَكَذَلِكَ فَعَلَ عُمَرُ بِمَالِ رُوَيْشِدٍ الثَّقَفِيِّ حِينَ أَحْرَقَ عَلَيْهِ مَنْزِلَهُ،"
He did not ask him to turn the wine into vinegar.,فَلَمْ يَأْمُرْهُ أَنْ يَجْعَلَهَا خَلًّا
"(292) Yahya ibn Sa'id related to us from 'Ubayd Allah from Nafi' from Ibn 'Umar, who said: “'Umar discovered liquor in the house of a man from Thaqif and ordered that it be burned.”","287 - حَدَّثَنَا يَحْيَى بْنُ سَعِيدٍ، عَنْ عُبَيْدِ اللَّهِ، عَنْ نَافِعٍ، عَنِ ابْنِ عُمَرَ، قَالَ: وَجَدَ عُمَرُ فِي بَيْتِ رَجُلٍ مِنْ ثَقِيفٍ شَرَابًا، فَأُمِرَ بِهِ فَأُحْرِقَ،"
This man was called Ruwayshid. He said to him: “You are a Fuwaysiq.”,"وَكَانَ يُقَالَ لَهُ: رُوَيْشِدٌ، فَقَالَ لَهُ: «أَنْتَ فُوَيْسِقٌ»"
"Abu 'Ubayd said: I do not think that any of the Companions or their Followers admitted an exemption for converting wine into vinegar, nor do their decisions indicate a legal fiction for this.","قَالَ أَبُو عُبَيْدٍ: فَلَسْتُ أَرَى أَحَدًا مِنَ الصَّحَابَةِ، وَلَا مِنَ التَّابِعِينَ، رَخَّصَ فِي نَقْلِ الْخَمْرِ إِلَى الْخَلِّ، وَلَا دَلَّ فِي ذَلِكَ عَلَى حِيلَةٍ،"
A proscription and disapproval for its substance has been related from 'Umar.,وَقَدْ رُوِيَ عَنْ عُمَرَ النَّهْيُ عَنْ ذَلِكَ وَالْكَرَاهَةُ لَهُ بِعَيْنِهِ
"(293) Yahya ibn Sa'id and Yazid ibn Harun related to me from Ibn Abi Dhu’ayb from al-Zuhri from al-Qasim ibn Muhammad from Aslam, who said: “'Umar ibn al-Khattab said, ‘Do not consume vinegar converted from wine, unless it has turned, by God, into vinegar (of itself) and this too when it has turned into vinegar proper.","288 - حَدَّثَنِي يَحْيَى بْنُ سَعِيدٍ، وَيَزِيدُ بْنُ هَارُونَ، عَنْ ابْنِ أَبِي ذِئبٍ، عَنْ الزُّهْرِيِّ، عَنْ الْقَاسِمِ بْنِ مُحَمَّدٍ، عَنْ أَسْلَمَ، قَالَ: قَالَ عُمَرُ بْنُ الْخَطَّابِ: لَا تَأْكُلْ خَلًّا مِنْ خَمْرٍ أُفْسِدَتْ، حَتَّى يَبْدَأَ اللَّهُ بِفَسَادِهَا، وَذَلِكَ حِينَ طَابَ الْخَلُّ،"
,
,
There is no harm in a person’s buying vinegar from,"وَلَا بَأْسَ عَلَى امْرِئٍ أَصَابَ خَلًّا مِنْ أَهْلِ الْكِتَابِ أَنْ يَبْتَاعَهُ، مَا لَمْ يَعْلَمْ أَنَّهُمْ تَعَمَّدُوا إِفْسَادَهَا"
"the Ahl al-Kitab when he finds it with them, as long as he does not know that they have intentionally turned wine into vinegar.’”",
(294) Yahya ibn Sa'id related to me from <Abd Allah ibn al-MubSrak that he held a similar opinion about conversion into date vinegar.,"289 - وَحَدَّثَنِي يَحْيَى بْنُ سَعِيدٍ، عَنْ عَبْدِ اللَّهِ بْنِ الْمُبَارَكِ، أَنَّهُ كَانَ يَقُولُ فِي خَلِّ التَّمْرِ مِثْلَ ذَلِكَ"
Abu ^'Ubayd said: A tradition is related from the Prophet (pbuh) that conveys its disapproval and provides an evident proof.,قَالَ أَبُو عُبَيْدٍ: وَقَدْ رُوِيَ حَدِيثٌ عَنِ النَّبِيِّ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ هُوَ دَلِيلٌ عَلَى الْكَرَاهَةِ وَفِيهِ حُجَّةٌ بَيِّنَةٌ
"(295) Muhammad ibn Kathir related to us from al-AwziH from Yahya ibn Abi 'Amr al-Sibanl from 'Abd Allah ibn al-Daylaml from his father that he (the father) — or another person from among them - said: “O Messenger of God, You know from where we have come, and among whom we have arrived, so who is our wali (guardian)?”","290 - حَدَّثَنَا مُحَمَّدُ بْنُ كَثِيرٍ، عَنِ الْأَوْزَاعِيِّ، عَنْ يَحْيَى بْنِ أَبِي عَمْرٍو السَّيْبَانِيُّ، عَنْ عَبْدِ اللَّهِ بْنِ الدَّيْلَمِيِّ، عَنْ أَبِيهِ، أَنَّهُ - أَوْ أَنَّ رَجُلًا مِنْهُمْ - قَالَ: يَا رَسُولَ اللَّهِ [ص:138]، إِنَّا خَرَجْنَا مِنْ حَيْثُ عَلِمْتَ، فَنَزَلْنَا بَيْنَ ظَهْرَيْ مَنْ قَدْ عَلِمْتَ فَمَنْ وَلِيَنَا؟"
,
,
,
He said: “God and His Messenger.”,"قَالَ: اللَّهُ وَرَسُولُهُ،"
"He (the father) said: “O Messenger of God, we used to own vineyards and dealt in wine, and God has prohibited wine, so what should we do with our vineyards?”","قَالَ: يَا رَسُولَ اللَّهِ، إِنَّا كُنَّا أَصْحَابَ كَرْمٍ وَخَمْرٍ، وَإِنَّ اللَّهَ قَدْ حَرَّمَ الْخَمْرَ، فَمَا نَصْنَعُ بِالْكَرْمِ؟"
He replied: Turn them into raisins.”,قَالَ: تَجْعَلُونَهُ زَبِيبًا
They (the people) said: “And what do we do with raisins?,قَالُوا: وَمَا نَصْنَعُ بِالزَّبِيبِ؟
"He said, “Put them into water skins. Soak them in water skins in the moming and drink (the mixture) with the evening meal; soak them in the evening and drink with the morning meal.","قَالَ: تَنْقَعُونَهُ فِي الشِّنَانِ، تُنْقِعُونَهُ عَلَى غَدَائِكُمْ وَتَشْرَبُونَهُ عَلَى عَشَائِكُمْ، وَتَنْقَعُونَهُ عَلَى عَشَائِكُمْ، وَتَشْرَبُونَهُ عَلَى غَدَائِكُمْ،"
"If they remain soaked twice, it (the mixture) will turn into vinegar before it turns into wine.”","فَإِنَّهُ إِذَا أَتَى عَلَيْهِ الْعَصْرَانِ صَارَ خَلًّا، قَبْلَ أَنْ يَكُونَ خَمْرًا"
"Aba 'Ubayd said: 'Abd Allah ibn al-Daylami, in our view, was an Arab, but he lived in al-Daylam since childhood and therefore the ascription.",قَالَ أَبُو عُبَيْدٍ: عَبْدُ اللَّهِ بْنُ الدِّيلمِيِّ هُوَ عِنْدَنَا رَجُلٌ مِنَ الْعَرَبِ وَقَعَ إِلَى الدَّيْلَمِ وَهُوَ صَغِيرٌ فَسُمِّيَ بِذَلِكَ.
"Abu ^Jbayd said: Notice how the Messenger of God (pbuh) agrees to convert a permitted thing into another permitted thing, without the intervention of a prohibited thing.","قَالَ أَبُو عُبَيْدٍ: أَفَلَا تَرَاهُ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ، إِنَّمَا رَضِيَ مَا انْتَقَلَ مِنَ الْحَلَالِ إِلَى الْحَلَالِ، وَلَمْ يَعْرِضْ بَيْنَهُمَا حَرَامٌ"
"(296) Abu 'Ubayd related to us saying: I heard Isma'il ibn Ibrahim relating from Sulayman al-Taymi from Umm Khidash, who said: “I saw 'Ali, may God be pleased with him, immersing bread into wine vinegar.”","291 - حَدَّثَنَا أَبُو عُبَيْدٍ قَالَ: وَقَدْ سَمِعْتُ إِسْمَاعِيلَ بْنَ إِبْرَاهِيمَ يُحَدِّثُ، عَنْ سُلَيْمَانَ [ص:139] التَّيْمِيِّ، عَنْ أُمِّ خِدَاشٍ، قَالَتْ: «رَأَيْتُ عَلِيًّا رَضِيَ اللَّهُ عَنْهُ يَصْطَبِغُ بِخَلِّ الْخَمْرِ»"
"(Abu ^'Ubayd, may God have mercy on him said:) Some have reasoned on the basis of this that it was wine that had turned into vinegar, but there is no strength in what they say.","وَقَالَ أَبُو عُبَيْدٍ رَحِمَهُ اللَّهُ: فَاحْتَجَّ قَوْمٌ بِهَذَا، أَنَّهُ مِنْ خَمْرٍ تَحَوَّلَتْ خَلًّا، وَلَيْسَ فِي هَذَا دَلِيلٌ عَلَى مَا قَالُوا،"
Is it permitted to someone to interpret the tradition of,"وَهَلْ يَكُونُ لِأَحَدٍ أَنْ يَتَأَوَّلَ عَلَى عَلِيٍّ رَضِيَ اللَّهُ عَنْهُ إِذَا كَانَ حَدِيثُهُ مُبْهَمًا، إِلَّا مِثْلَ سُنَّةِ رَسُولِ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ: أَنَّهُ لَمْ يَأْذَنْ إِلَّا فِيمَا تَخَلَّلَ قَبْلَ أَنْ يَدْخُلَهُ تَحْرِيمٌ، أَوْ كَمَذْهَبِ عُمَرَ حِينَ قَالَ: لَا بَأْسَ عَلَى امْرِئٍ أَصَابَ خَلًّا عِنْدَ أَهْلِ الْكِتَابِ أَنْ يَبْتَاعَهُ، مَا لَمْ يَعْلَمْ أَنَّهُمْ تَعَمَّدُوا إِفْسَادَهَا، وَلِهَذَا كَانَ يَقُولُ ابْنُ سِيرِينَ فِيمَا نَرَى، لَا يَقُولُ: خَلُّ الْخَمْرِ"
"convert it into vinegar? He said: “He used to consider it disapproved.” He said: “We dislike declaring what is prohibited as permitted, and the permitted as prohibited.”",
"(292) Azhar related to me from Ibn (Awn from Ibn Sirin that he did not designate it as wine vinegar, but called it grape vinegar.","292 - حَدَّثَنِي أَزْهَرُ، عَنِ ابْنِ عَوْنٍ، عَنِ ابْنِ سِيرِينَ، أَنَّهُ كَانَ لَا يُسَمِّيهِ خَلُّ الْخَمْرِ، وَيُسَمِّيهِ خَلُّ الْعِنَبِ،"
,
He said: “He used to consume it.”,قَالَ: وَكَانَ يَأْكُلُهُ
Abu 'Ubayd said: He said: “It is grape juice turned into vinegar.”,قَالَ أَبُو عُبَيْدٍ: يَقُولُ إِنَّمَا هُوَ عَصِيرُ عِنَبٍ تَحَوَّلَ خَلًّا.
"Abu 'Ubayd said: Likewise, it is related to me from Aba Ishaq al-Fazari that, at al-Thaghr, when they wished to extract vinegar from grape juice, he used to direct them to add a little bit of vinegar in it at the time the juice was made.","قَالَ أَبُو عُبَيْدٍ: وَكَذَلِكَ حَدَّثُونِي، عَنْ أَبِي إِسْحَاقَ الْفَزَارِيِّ أَنَّهُ كَانَ بِالثَّغْرِ يَأْمُرُهُمْ، إِذَا أَرَادُوا اتِّخَاذَ الْخَلِّ مِنَ الْعَصِيرِ أَنْ يُلْقُوا فِيهِ شَيْئًا مِنْ خَلٍّ سَاعَةَ يُعْصَرُ"
"This way, the acidity of the vinegar reacts with it even before it begins to boil and it never turns into wine.","فَتَدْخُلَهُ حُمُوضَةُ الْخَلِّ قَبْلَ أَنْ يَنِشَّ فَلَا يَعُودُ خَمْرًا أَبَدًا،"
"The righteous used to do this to avoid making use of wine in any way, even when it gets the name of wine a single time and then turns into vinegar.","وَإِنَّمَا فَعَلَ الصَّالِحُونَ هَذَا كُلَّهُ تَنَزُّهًا عَنِ الِانْتِفَاعِ بِشَيْءٍ مِنَ الْخَمْرِ، بَعْدَ أَنْ تَسْتَحْكِمَ مَرَّةً خَمْرًا وَإِنْ آلَتْ إِلَى الْخَلِّ،"
"We have not heard of anyone from the predecessors granting an exemption to a Muslim or giving an (affirmative) opinion about turning wine into vinegar, except for something that has been reported of al-Harith al-'Ukll.",وَمَا عَلِمْنَا أَحَدًا مِنَ الْمَاضِينَ رَخَّصَ لِمُسْلِمٍ وَلَا أَفْتَاهُ بِتَخْلِيلِ الْخَمْرِ إِلَّا شَيْئًا يُرْوَى عَنِ الْحَارِثِ الْعُكْلِيِّ
(293) I heard Jarir ibn 'Abd al-Hamld relate from Ibn Shubruma from al-Harith (an opinion) about a man who inherited wine.,"293 - فَإِنِّي سَمِعْتُ جَرِيرَ بْنَ عَبْدِ الْحَمِيدِ يُحَدِّثُ، عَنِ ابْنِ شُبْرُمَةَ، عَنِ الْحَارِثِ، فِي رَجُلٍ وَرِثَ خَمْرًا،"
He said: “He should put some salt in it so that it turns into vinegar.”,"قَالَ: يُلْقِي فِيهَا مِلْحًا، حَتَّى تَصِيرَ خَلًّا"
,
Aba 'Ubayd said: How does this tradition relate to what we have reported (above)?.,قَالَ أَبُو عُبَيْدٍ: فَأَيْنَ هَذَا مِمَّنْ ذَكَرْنَا؟
,
As for the tradition of Aba al-Darda in the case of murri it is different.,وَأَمَّا حَدِيثُ أَبِي الدَّرْدَاءٍ فِي الْمُرِّيِّ فَغَيْرُ هَذَا
