Al-Akhlâq wa’l-Siyar (Morals and Behaviour),الأخلاق والسير في مداواة النفوس
"Train yourself to think about the things that frighten you. If they come to pass, you will not be so worried by them. You will not lose anything by growing accustomed to the thought of them, and your pleasure will be greater or even doubled if something nice or unexpected happens.",وطّن نفسك على ما تكره يقل همك إذا أتاك ويعظم سرورك ويتضاعف إذا أتاك ما تحب مما لم تكن قدرته.
"When worries multiply, they will all fall to the ground.",إذا تكاثرت الهموم سقطت كلها.
"A deceitful man may occasionally keep his word to a lucky man, and a faithful man may occasionally betray an unlucky man. Happy is he who in this world is not obliged by fate to put his friends to the test.",الغادر يفي للمجدود والوفي يغدر بالمحدود والسعيد كل السعيد في دنياه من لم يضطره الزمان إلى اختبار الإخوان.
Do not worry about a man who wishes you ill. If fortune favours you he is lost and your luck will protect you. If fortune does not favour you then anyone can harm you.,لا تفكر فيمن يؤذيك فإنك إن كنت مقبلًا فهو هالك وسعدك يكفيك وإن كنت مدبرًا فكل أحد يؤذيك.
Blessed is the man who knows his own faults better than others know them.,طوبى لمن علم من عيوب نفسه أكثر مما يعلم الناس منها.
Patience in the face of others’ insolence is of three kinds: patience with someone who has power over you when you have none over him; patience with someone you have power over when he has none over you; finally patience with someone when neither of you has power over the other.,الصبر على الجفاء ينقسم ثلاثة أقسام: فصبر عمن يقدر عليك ولا تقدر عليه وصبر عمن تقدر عليه ولا يقدر عليك وصبر عمن لا تقدر عليه ولا يقدر عليك.
The first kind is humiliating and degrading; it is not a virtue.,فالأول ذل ومهانة وليس من الفضائل.
The advice for someone who is afraid of such an intolerable situation would be to abandon everything and run away.,والرأي لمن خشي ما هو أشد مما يصبر عليه المتاركة والمباعدة.
"The insolence may arise from a misunderstanding or from fear, and the one at fault may realize the ugliness of his act and regret it.",إما أن يكون الجفاء ممن لم يقع منه إلا على سبيل الغلط ويعلم قبح ما أتى به ويندم عليه فالصبر عليه فضل وفرض وهو حلم على الحقيقة.
"To be patient with him would be a virtue and an obligation; this is true magnanimity. But with a person who overestimates his own value and is proud and arrogant and feels no regret for his action, to tolerate this is humiliating, it encourages the wrongdoer in his wrongdoing, because he will act even more violently and it would be stupid to respond in the same way. The wisest course of action is to let him know that you could fight back but that you are refraining from doing so because he is beneath contempt and unworthy of your attention. No more is necessary.",وأما من كان لا يدري مقدار نفسه ويظن أن لها حقًا يستطيل به فلا يندم على ما سلف منه فالصبر عليه ذل للصابر وإفساد للمصبور عليه لأنه يزيد استشراء والمقارضة له سخف والصواب إعلامه بأنه كان ممكنًا أن ينتصر منه وإنه إنما ترك ذلك استرذالًا له فقط وصيانة عن مراجعته ولا يزاد على ذلك.
"As for the insolent behaviour of the lower classes, the only remedy is to punish it.",وأما جفاء السفلة فليس جزاؤه إلا النكال وحده.
"Anyone who mingles with the crowd is never short of worries to pain him, or sins to regret on the day when he will return to God, or anger to give him a pain in the liver [heart], or humiliation to make him hang his head. Then what shall I say about someone who is intimate with people and always in their company? Solitude is where you will find dignity, repose, happiness and security. You should treat company like a fire: warm yourself but do not fall in. [“You may draw near but without going right in.”]",من جالس الناس لم يعدم همًا يؤلم نفسه وإثما يُندم عليه في معاده وغيظًا ينضج كبده وذلًا ينكس همته فما الظن بعد بمن خالطهم وداخلهم والعزة والراحة والسرور والسلامة في الانفراد عنهم ولكن اجعلهم كالنار تدفأ بها ولا تخالطها.
"If the company of the people had only two following faults, that would be enough to keep us away: the first is letting out vital secrets during a friendly meeting, secrets which otherwise would never have been revealed.",لو لم يكن في مجالسة الناس إلا عيبان لكفيا: أحدهما: الاسترسال عند الأنس وبالأسرار المهلكة القاتلة التي لولا المجالسة لم يبح بها البائح.
"When we contemplate the duration of this universe, we see it limited to the present moment, which is nothing but the point which separates two infinities of time.",إذا حققت مدة الدنيا لم تجدها إلا الآن الذي هو فصل الزمانين فقط.
"From this premise it necessarily follows that knowledge has a part in every virtue, and ignorance has a part in every vice. A man who has had no instruction in the knowledge [of good] will not practise virtue unless he has an extremely pure nature, a virtuous constitution. It is the particular state of the Prophets (peace and the blessings of God be upon them!) for God has taught them virtue in its entirety, without them having learnt it from men.",فعلى هذه المقدمات يجب أن يكون للعلم حصة في كل فضيلة وللجهل حصة في كل رذيلة ولا يأتي الفضائل ممن لم يتعلم العلم إلا صافي الطبع جدًا فاضل التركيب وهذه منزلة خص بها النبيون عليهم الصلاة والسلام لأن الله تعالى علمهم الخير كله دون أن يتعلموه من الناس.
"The second is showing off, putting our immortality in mortal peril. There is no other escape from these two trials than to withdraw into absolute solitude, far from people altogether.",والثاني: مواقعة الغلبة المهلكة في الآخرة فلا سبيل إلى السلامة من هاتين البليتين إلا بالانفراد عن المجالسة جملة.
"Do not put off to tomorrow what you can do today. If you recognize this obligation you will make haste to do today even very small preparations for tomorrow, for if a small number of tasks are left to mount up they become a great number. In fact they have become too many to do and the whole enterprise will be wrecked.",لا تحقر شيئًا من عمل غد أن تحققه بأن تعجله اليوم وإن قل فإن من قليل الأعمال يجتمع كثيرها وربما أعجز أمرها عند ذلك فيبطل الكل.
"Do not despise any of the actions that you hope to see counted in your favour on the Day of Resurrection. By doing them now, even in small measure, these actions will eventually outweigh the number of your sins which would otherwise add up to sufficient reason to throw you into hellfire.",لا تحقر شيئًا مما ترجو به تثقيل ميزانك يوم البعث إن تعجله الآن وإن قل فإنه يحط عنك كثيرًا لو اجتمع لقذف بك في النار.
"With depression, poverty, misfortune and fear, the pain is only felt by the sufferer. People looking at them from the outside have no idea what they are like.",الوجع والفقر والنكبة والخوف لا يحسن أذاها إلا من كان فيها ولا يعلمه من كان خارجًا عنها.
"On the other hand, with false judgment, shame and sin, only the onlooker sees how horrible they are! The person who is sunk deep in them does not perceive this.",وفساد الرأي والعار والإثم لا يعلم قبحها إلا من كان خارجًا عنها وليس يراه من كان داخلًا فيها.
"Security, health and wealth are only appreciated by a person who does not have them. Anyone who has them does not appreciate them.",الأمن والصحة والغنى لا يعرف حقها إلا من كان خارجًا عنها وليس يعرف حقها من كان فيها.
"On the other hand, a sound judgment and virtue, working towards eternity, their value is known only to those who share in them. Anyone who has no share in them has no knowledge of what they are like.",وجودة الرأي والفضائل وعمل الآخرة لا يعرف فضلها إلا من كان من أهلها ولا يعرفه من لم يكن من أهلها.
The first person to break with a deceiver is the one who the deceiver has deceived. The first person to detest a false witness is the person whom the false witness supported. The first person to despise an adulterous woman is the man who caused her to commit adultery.,أول من يزهد في الغادر من غدر له الغادر وأول من يمقت شاهد الزور من شهد له به وأول من تهون الزانية في عينه الذي يزني بها.
"As far as we know, nothing can be degraded and then resume its natural state without a great trouble and difficulty. What can we say about the man whose head is poisoned by intoxication every night.",ما رأينا شيئًا فسد فعاد إلى صحته إلا بعد لأي فكيف بدماغ يتوالى عليه فساد السكر كل ليلة.
"Indeed, a mind which drives its master towards its own deprivation every night must be a mind condemned.",وإن عقلا زين لصاحبه تعجيل إفساده كل ليلة لعقل ينبغي أن يتهم.
"The highway [or a long journey] is fatiguing, a quiet retreat is restorative. Too much wealth makes for greed. A small fortune makes for contentment.",الطريق تبرم والزرايا تكرم وكثرة المال ترغب وقلته تقنع.
The plans of an intelligent man may go wrong. The plans of a stupid man never go right.,قد ينحس العاقل بتدبيره ولا يجوز أن يسعد الأحمق بتدبيره.
"Nothing is more harmful to a governor than to be surrounded by a great number of unemployed people. A prudent ruler knows how to keep them busy without being unfair to them, otherwise they will overwhelm him with petty matters.",لا شيء أضر على السلطان من كثرة المتفرغين حواليه فالحازم يشغلهم بما لا يظلمهم فيه فإن لم يفعل شغلوه بما يظلمونه فيه.
Anyone who invites his enemies to come closer to him is suicidal.,وأما مقرب أعدائه فذلك قاتل نفسه.
Anyone who sees an important person too often regards him as less eminent and less important.,كثرة وقوع العين على الشخص يسهِّل أمره ويهوِّنه.
"Parading, putting on, for example, a severe and discontented air, this is the veil with which ignorant people who have risen in the world try to cover their ignorance.",التهويل بلزوم زي ما والاكفهرار وقلة الانبساط ستائر جعلها الجهال الذين مكنتهم الدنيا أمام جهلهم.
"A wise man should not delude himself about friendship which started when he was in power, because everyone was his friend then.",لا يغتر العاقل بصداقة حادثة له أيام دولته فكل أحد صديقه يومئذ.
The best person to help you in your affairs is someone with equal interest in their success. Do not get anyone to help you who would be just as well off elsewhere.,اجهد في أن تستعين في أمورك بمن يريد منها لنفسه مثل ما تريد لنفسك ولا تستعن فيها بمن حظه من غيرك كحظه منك.
"Do not respond to talk which is brought by someone on the part of a third person, unless you are sure that the latter did say it, because the one who brought lies to you will go away carrying the truth [the unpleasant truth which you will have told him and which he will hawk around].",لا تجب عن كلام نقل إليك عن قائل حتى توقن أنه قاله فإن من نقل إليك كذبًا رجع من عندك بحق.
"Put your trust in a pious man, even if the religion that he practises is a different one from your own. Do not put your trust in anyone who scorns sacred things, even if he claims to belong to your own religion.",ثق بالمتدين وإن كان على غير دينك ولا تثق بالمستخف وإن أظهر أنه على دينك.
"As for a man who defies the commandments of the Almighty, do not ever trust him with anything you care greatly about.",من استخف بحرمات الله تعالى فلا تأمنه على شيء مما تشفق عليه.
I have noticed that people are more generous with their opinions than with their pennies.,وجدت المشاركين بأرواحهم أكثر من المشاركين بأموالهم.
"In my long study of this matter, this has never been disproved despite of countless observations. Since I cannot understand the cause of this, I suppose it must be innate in human nature.",هذا شيء طال اختباري إياه ولم أجد قط على طول التجربة سواه فأعيتني معرفة العلة في ذلك حتى قدرت أنها طبيعة في البشر.
It is the height of injustice to deny to habitual wrongdoer the opportunity of doing an occasional good deed.,من قبيح الظلم الإنكار على من أكثر الإساءة إذا أحسن في الندرة.
When you get rid of one enemy you see a great many others advancing.,من استراح من عدو واحد حدث له أعداء كثيرة.
I have never seen anything more lifelike than the shadow-theatre with its little actors mounted on wooden handles that are turned rapidly so that some disappear and others appear.,أشبه ما رأيت بالدنيا خيال الظل وهي تماثيل مركبة على مطحنة خشب تدار بسرعة فتغيب طائفة وتبدو أخرى.
"For a long time I have been thinking about death. I had certain dear friends, as closely bound to me by the bonds of sincere affection as the soul is bound to the body. After they died, some of them appeared to me in dreams. Others did not.","طال تعجبي في الموت وذلك أني صحبت أقوامًا صحبة الروح للجسد من صدق المودة فلما ماتوا رأيت بعضهم في النوم ولم أر بعضهم،"
III) Knowledge,فصل في العلم
"The oblivion of the soul who forgets the state it was in in the world of temptation [its first abode] while waiting for the resurrection of the body [to enter the body] is like the oblivion of someone who has fallen into mud and has sunk [all his promises] together with everything which he knew before and which was familiar to him. I have also reflected for a long time about this matter, and it seems to be that there is another possible explanation in addition to the one just mentioned. I have studied a sleeping person at the moment when his soul leaves his body, and his senses sharpen to the point of being able to see the unseen; the soul forgets completely, absolutely, the state which it was in just a moment before falling asleep, although it was so recent. The soul knows other states in which it is endowed with memory and feelings, it can be pleased, it can be hurt. The joys of sleep are felt even during the sleep, for the sleeper feels happy, he dreams, he is afraid, he is sad even in his sleep.","غفلة النفس ونسيانها ما كانت فيه في دار الابتلاء قبل حلولها في الجسد كغفلة من وقع في طين غمر عن كل ما عهد وعرف قبل ذلك، ثم أطلت الفكر أيضًا في ذلك فلاح لي شعب زائد من البيان وهو أني رأيت النائم إذ همت نفسه بالتخلي من جسده وقوي حسها حتى تشاهد الغيوب قد نسيت ما كان فيه قبيل نومها نسيانًا تامًا البتة على قرب عهدها به وحدثت لها أحوال أخر وهي في كل ذلك ذاكرة حساسة متلذذة آلمة ولذة النوم محسوسة في حاله لأن النائم يتلذ ويحتلم ويخاف ويحزن في حال نومه."
"While one of the latter was alive, we had each promised to visit the other in a dream after we had died, if at all possible. But I have not seen him at all since he preceded me into the other world. I do not know whether he has forgotten or been engaged.",وقد كنت عاهدت بعضهم في الحياة على التزوار في المنام بعد الموت إن أمكن ذلك فلم أره في النوم بعد أن تقدمني إلى دار الآخرة فلا أدري أنسي أم شُغِل؟
"The soul is not happy except in the company of a soul. The body is heavy and wearying. This is proved by the haste with which one buries the body of a loved one when the soul has departed from it, and by the sorrow caused by the disappearance of the soul although the corpse is still there.",إنما تأنس النفس بالنفس فأما الجسد فمستثقل مبروم به ودليل ذلك استعجال المرء بدفن جسد حبيبه إذا فارقته نفسه وأسفه لذهاب النفس. وإن كانت الجثة حاضرة بين يديه.
"I have never seen Satan use a worse trick, or an uglier or a more foolish one, than when he puts two phrases onto the tongues of those who follow him.",لم أر لإبليس أصيد ولا أقبح ولا أحمق من كلمتين ألقاهما على ألسنة دعاته:
The first is when someone excuses his own evil deed by alleging that someone has done the same to him.,إحداهما: اعتذار من أساء بأن فلانًا أساء قبله
"The second is when someone makes light of doing evil today because he did evil yesterday, or he does wrong in one sense because he has already done it in another. These two phrases excuse and facilitate evil-doing; they bring it into the arena of what is acceptable, tolerable and not to be criticized.",والثانية: استسهال الإنسان أن يسيء اليوم لأنه قد أساء أمس أو أن يسيء في وجه ما لأنه قد أساء في غيره فقد صارت هاتان الكلمتان عذرًا مسهلتين للشر ومدخلتين له في حد ما يعرف ويحمل ولا ينكر.
"Be mistrustful if you are able to be sufficiently careful and cautious, but if you cannot check on them you will have to trust people. This will bring you peace of mind.",استعمل سوء الظن حيث تقدر على توفيته حقه في التحفظ والتأهب واستعمل حسن الظن حيث لا طاقة بك على التحفظ فتربح راحة النفس.
"The definition of generosity, the supreme objective of generosity, is to give away the entire surplus of your possessions in charitable works. The best charitable work is to bring relief to a neighbour in need, a poor relation, a man who has lost his own possessions and is close to ruin.",حد الجود وغايته أن يبذل الفضل كله في وجوه البر وأفضل ذلك في الجار المحتاج وذي الرحم الفقير وذي النعمة الذاهبة والأحضر فاقة.
"Anyone who holds on to this superfluous money without spending it in one of these ways is an example of miserliness. And he should be praised and criticized in proportion to whether he is more or less generous in this way. Anything given to causes which are not these charitable ones is squandered, and the action is blameworthy.",ومنع الفضل من هذه الوجوه داخل في البخل وعلى قدر التقصير والتوسع في ذلك يكون المدح والذم وما وضع في غير هذه الوجوه فهو تبذير وهو مذموم.
It is virtuous to give to someone in greater need part of what you need to keep alive; this is a nobler act of self sacrifice than plain generosity is. To keep what you need is neither praiseworthy nor blameworthy but simply fair.,وما بذلت من قوتك لمن هو أمس حاجة منك فهو فضل وإيثار وهو خير من الجود وما منع من هذا فهو لا حمد ولا ذم وهو انتصاف.
To carry out one’s obligations is a duty; to give away surplus food is generosity. To forget yourself and to give away food as long as you will not starve yourself is a virtue. To hinder anyone against performing his duty is against the Law.,بذل الواجبات فرض وبذل ما فضل عن القوت جود والإيثار على النفس من القوت بما لا تهلك على عدمه فضل ومنع الواجبات حرام.
"To refuse to give away the leftovers of our food is greedy and extremely miserly. To refuse to deprive yourself in order to give away part of your food which you need is excusable. To deprive yourself of food, and to deprive your family to any extent, is ignoble, vile and criminal.",ومنع ما فضل عن القوت بخل وشح والمنع من الإيثار ببعض القوت عذر ومنع النفس أو الأهل القوت أو بعضه نتن ورذالة ومعصية.
"To be generous with property which you have acquired by unfair means is to aggravate the evil already committed, and it should be rewarded with criticism, not praise, since you are in fact giving away someone else’s property, not your own.",والسخاء بما ظلمت فيه أو أخذته بغير حقه ظلم مكرر والذم جزاء ذلك لا الحمد لأنك إنما تبذل مال غيرك على الحقيقة لا مالك.
To give people their rightful part of your possessions is not generosity; it is a duty.,وإعطاء الناس حقوقهم مما عندك ليس جودًا ولكنه حق.
"The definition of courage is to fight to the death in defense of religion, in defense of womanhood, of ill treated neighbours, of the oppressed who seek protection, or in defense of a lost fortune, honour which has been attacked, and other rights, against all adversaries, whether they be few or many.",حد الشجاعة بذل النفس للموت عن الدين والحريم وعن الجار المضطهد وعن المستجير المظلوم وعن الهضيمة ظلمًا في المال والعرض وفي سائر سبل الحق سواء قل من يعارض أو كثر.
To do less than this would be cowardliness and weakness. To use up one’s courage in fighting for the vanities of the world would be stupid recklessness.,والتقصير عما ذكرنا جبن وخور وبذلها في عرض الدنيا تهور وحمق.
"But it is even more stupid to devote your courage to fighting against right and duty, either in your own interest or for others. And even more stupid than all these, there are men whom I have seen who do not know to what cause to devote themselves; sometimes they fight Zayd on Amr’s account, and sometimes they fight Amr on Zayd’s account, sometimes both in the same day, exposing themselves needlessly to danger, hurtling towards hellfire or running towards dishonour.",وأحمق من ذلك من بذلها في المنع عن الحقوق الواجبات قبلك أو قبل غيرك وأحمق من هؤلاء كلهم قوم شاهدتهم لا يدرون فيما يبذلون أنفسهم فتارة يقاتلون زيدًا عن عمرو وتارة يقاتلون عمرًا عن زيد ولعل ذلك يكون في يوم واحد فيتعرضون للمهالك بلا معنى فينقلبون إلى النار أو يفرون إلى العار.
"About such people the Messenger of Allâh (peace be upon him) has warned: “There will come a time for men when the one who kills will not know why he has killed, and his victim will not know why he was killed.”",وقد أنذر بهؤلاء رسول الله صلى الله عليه وسلم في قوله: «يَأْتِيَ عَلَى النَّاسِ يَوْمٌ لَا يَدْرِي الْقَاتِلُ فِيمَ قَتَلَ وَلَا الْمَقْتُولُ فِيمَ قُتِلَ».
"The definition of continence is to turn away one’s glance and all one’s organs of sense from forbidden objects. Everything other than this is debauchery. Anyone who goes further, and forbids himself what the Almighty has made lawful, is weak and powerless.",حد العفة أن تغض بصرك وجميع جوارحك عن الأجسام التي لا تحل لك فما عدا هذا فهو عهر وما نقص حتى يمسك عما أحل الله تعالى فهو ضعف وعجز.
The definition of justice is to give spontaneously what is due and to know how to take what is your right.,حد العدل أن تعطي من نفسك الواجب وتأخذه.
The definition of injustice is to take one’s due and not to give others their due.,وحد الجور أن تأخذه ولا تعطيه.
"The definition of nobility of soul is to give spontaneously and with a good heart what is due to others, and to allow them their rights willingly; this is also virtue. All generosity is noble and virtuous, but not every noble act and every virtue is generous.",وحد الكرم أن تعطي من نفسك الحق طائعًا وتتجافى عن حقك لغيرك قادرًا وهو فضل أيضًا وكل جود كرم وفضل وليس كل كرم وفضل جودًا.
Virtue is a more general term; generosity is more specific. Magnanimity is a virtue without being generosity. Virtue is a general prescription to which one adds a specific action.,"فالفضل أعم والجود أخص إذ الحلم فضل وليس جودا، والفضل فرض زدت عليه نافلة."
One hour of neglect can undo a year of pious effort.,إهمال ساعة يفسد رياضة سنة.
"In the course of affairs, a mistake made by an individual is better than a just policy followed by the whole assembly of Muslims if they are not grouped under the leadership of one man. This is because the individual’s mistake can be put right, but the correct views of the Muslim assembly will lead them to ignore something that may have been wrong, and they will be lost because of it.",خطأ الواحد في تدبير الأمور خير من صواب الجماعة التي لا يجمعها واحد لأن خطأالواحد في ذلك يستدرك وصواب الجماعة يضري على استدامة الإهمال وفي ذلك الهلاك.
"In times of civil war, the blossom does not set fruit.",نوار الفتنة لا يعقد.
"I myself had faults, and I tried continually to correct them, by discipline, by studying the words of the Prophets (may they be blessed) and also the words of the most virtuous sages among the ancients who are more advanced in morality and self-discipline, until God helped me overcome most of my faults, thanks to His guidance and grace.",كانت في عيوب فلم أزل بالرياضة وإطلاعي على ما قالت الأنبياء صلوات الله عليهم والأفاضل من الحكماء المتأخرين والمتقدمين في الأخلاق وفي آداب النفس أعاني مداواتها حتى أعان الله عز وجل على أكثر ذلك بتوفيقه ومنه.
"It is an act of perfect virtue, of self-discipline, a sign that one controls the truth, to confess such faults in order that one day someone may learn from them, if God wills.",وتمام العدل ورياضة النفس والتصرف بأزمة الحقائق هو الإقرار بها ليتعظ بذلك متعظ يومًا إن شاء الله.
"One of my faults was that I tended to an extreme of self-satisfaction when I was in the right and an extreme bad temper when I was in the wrong. Ever seeking to cure myself of this, I decided that I would never again display any irritations in my remarks, my actions or my discussions. I renounced every kind of triumph that is not permitted, and I suffered under the heavy burden of this decision.","فمنها كلف في الرضاء وإفراط في الغضب فلم أزل أداوي ذلك حتى وقفت عند ترك إظهار الغضب جملة بالكلام والفعل والتخبط وامتنعت مما لا يحل من الانتصار وتحملت من ذلك ثقلًا شديدًا،"
"I had enough patience to bear a dreadful affliction which nearly made me sick and an invalid. But I was not capable of overcoming my passion always to be in the right. It almost seemed that I did not really think this a fault, that I did not really think I should give up this attitude.",وصبرت على مضض مؤلم كان ربما أمرضني وأعجزني ذلك في الرضا وكأني سامحت نفسي في ذلك لأنها تمثلت أن ترك ذلك لؤم.
"Another fault I had was an ungovernable propensity for sarcasm. What I decided to do about this was to refrain from anything that might irritate the person I was talking to. But I did allow myself to crack jokes, feeling that not to do so would have been narrow-minded and almost arrogant.",ومنها دعابة غالبة فالذي قدرت عليه فيها إمساكي عما يغضب الممازح وسامحت نفسي فيها إذ رأيت تركها من الانغلاق ومضاهيًا للكبر.
"Another fault: extreme pride. My mind wrangled with my soul, knowing my defects, and argued so long and so successfully that my pride vanished completely, leaving no trace, thanks be to God. Moreover, I set myself to despise myself absolutely and to be a model of humility.",ومنها عجب شديد فناظر عقلي نفسي بما يعرفه من عيوبها حتى ذهب كله ولم يبق له والحمد لله أثر بل كلفت نفسي احتقار قدرها جملة واستعمال التواضع.
"Another of my defects was that I suffered from trembling caused by my youthfulness and the weakness of my limbs. I forced myself to make it stop, and it disappeared.",ومنها حركات كانت تولدها غرارة الصبا وضعف الإغضاء فقصرت نفسي على تركها فذهبت.
"Another fault: a love of great fame and glory. To deal with this defect. I decided to renounce everything which is forbidden by religion, God helping with the rest, since if the soul remains under the control of reason even its irritability can become a virtue and be regarded as a praiseworthy disposition.",ومنها محبة في بعد الصيت والغلبة فالذي وقفت عليه من معاناة هذا الداء الإمساك فيه عما لا يحل في الديانة والله المستعان على الباقي مع أن ظهور النفس الغضبية إذا كانت منقادة للناطقة فضل وخلق محمود.
"I used to feel extreme repugnance for the company of women on any occasion, and this made me difficult to get on with. I seem to have been struggling for ever against this immoderate feeling, which I know to be bad from the problems it has caused me. God help me.",ومنها إفراط في الأنفة بغضت إلي إنكاح الحرم جملة بكل وجه وصعبت ذلك في طبيعتي وكأني توقفت عن مغالبة هذا الإفراط الذي أعرف قبحه لعوارض اعترضت علي والله المستعان.
"I had two faults which the Almighty has kept private and helped me to fight and overcome by His goodness. One has completely disappeared, all praise to Him for this. In this case, good luck seems to have been on my side: as soon as this fault rears its head I hasten to stifle it. But the other fault has tormented me for a long time. When its waves came sweeping over me, my veins would throb and this fault would be on the point of reappearing; but God has allowed me to hold back by one of the manifestations of His goodness and it has now disappeared.",ومنها عيبان قد سترهما الله تعالى وأعان على مقاومتهما وأعان بلطفه عليهما فذهب أحدهما ألبتة ولله الحمد وكأن السعادة كانت موكلة بي فإذا لاح منه طالع قصدت طمسه وطاولني الثاني منهما فكان إذا ثارت منه مدوده نبضت عروقه فيكاد يظهر ثم يسر الله تعالى قدعه بضروب من لطفه تعالى حتى أخلد.
"I used to persist in bearing extreme grudges; I have been enabled to conceal and hide this with the help of the Almighty and to avoid the manifestation of all its effects. But I have never been able to stamp it out completely, nor have I ever found it possible to make friends with anyone who has acted in a truly hostile way towards me.",ومنها حقد مفرط قدرت بعون الله تعالى على طيه وستره وغلبته على إظهار جميع نتائجه وأما قطعه ألبتة فلم أقدر عليه وأعجزني معه أن أصادق من عاداني عداوة صحيحة أبدًا.
"Mistrust itself is regarded by some as an absolute fault. This is not so, unless it leads the person who feels it to commit deeds not allowed by religion, or to adopt behaviour which is unsocial. In other cases mistrust can be steadfastness, and steadfastness is a virtue. As for the reproach made to me by ignorant adversaries who say that I put no value on anyone who disagrees with me when I believe that I am in the right, and that I would never act in concert with the ones I contradict even if they amounted to the entire human population on the face of the earth, and that I place no value on conforming with the people of my country in many of the customs or costume which they have adopted for no particular reason – this independence is a quality which I regard as one of my most important virtues. There is nothing equal to it, and, upon my life, if I did not possess it (God forbid), it would be this that I most longed for, and hoped for, and prayed for to God Almighty.",وأما سوء الظن فيعده قوم عيبًا على الإطلاق وليس كذلك إلا إذا أدى صاحبه إلى ما لا يحل وأما الذي يعيبني به جهال أعدائي من أني لا أبالي فيما أعتقده حقًا عن مخالفة من خالفته ولو أنهم جميع من على ظهر الأرض وإني لا أبالي موافقة أهل بلادي في كثير من زيهم الذي قد تعودوه لغير معنى فهذه الخصلة عندي من أكبر فضائلي التي لا مثيل لها ولعمري لو لم تكن في وأعوذ بالله لكانت من أعظم متمنياتي وطلباتي عند خالقي عز وجل.
"In fact, my advice to all who may hear my words is to behave in the same way. There is no benefit to be had from copying other people if their actions are vain and pointless. By doing so one annoys the Almighty, and disappoints one’s mind [deludes oneself], causes suffering to one’s soul and body, and takes upon one’s shoulders an unnecessary yoke.",وأنا أوصي بذلك كل من يبلغه كلامي فلن ينفعه اتباعه الناس في الباطل والفضول إذا أسخط ربه تعالى وغبن عقله أو آلم نفسه وجسده وتكلف مؤونة لا فائدة فيها.
"A man who knows nothing of the truth has reproached me for not caring about wrongs done to me, or even wrongs done to my friends, so that I do not even get annoyed if they are wronged in my presence. My reply would be that anyone who has described me like that was speaking too hastily and needs to be more precise.",وقد عابني أيضًا بعض من غاب عن معرفة الحقائق أني لا آلم لنيل من نال مني وأني أتعدى ذلك من نفسي إلى إخواني فلا أمتعض لهم إذا نيل منهم بحضرتي وأنا أقول إن من وصفني بذلك فقد أجمل الكلام ولم يفسره.
"When one speaks hastily one slips into using language that makes the bad not so bad and the good not so good: for example, “So-and-so is sleeping with his sister,” would be an abominable thing to say and would horrify everyone who heard it, but if you explained that it is a matter of “his sister in Islâm”, it would be clear that it was hasty speaking that created the indecent and ugly aspect of the matter.",والكلام إذا أجمل أندرج فيه تحسين القبيح وتقبيح الحسن. ألا ترى لو أن قائلًا قال: إن فلانًا يطأ أخته لفحش ذلك ولاستقبحه كل سامع له حتى إذا فسر فقال: هي أخته في الإسلام ظهر فحش هذا الإجمال وقبحه.
"For myself, if I pretended not to feel hurt when I am attacked by someone, I should not be telling the truth, for it is natural to feel hurt in such a case, it is only human. But I have forced myself to show neither anger nor bad temper nor fury. I manage to hold back an angry answer by preparing myself in advance, then I do so, thanks to the strength and power of Almighty God.",وأما أنا فإني إن قلت لا آلم لنيل من نال مني لم أصدق فالألم في ذلك مطبوع مجبول في البشر كلهم لكني قد قصرت نفسي على أن لا أظهر لذلك غضبًا ولا تخبطًا ولا تهيجًا فإن تيسر لي الإمساك عن المقارضة جملة بأن أتأهب لذلك فهو الذي أعتمد عليه بحول الله تعالى وقوته.
"But if I have no time to prepare myself, I restrict myself to retaliating with cutting phrases, but not insults, and I attempt to say only what is true, and to express myself without anger or cruelty. I detest doing even this, except when it is absolutely necessary, for example when I wish to stop the spread of a false rumour, for most people love to pass on, to anyone who will listen, hateful tidbits of gossip (which they attribute to a third person), and nothing will stop them so effectively as this course of action. It stops them touting around calumnies which they attribute to others, and which serve no purpose except to corrupt consciences and to spread slander only.",وإن بادرني الأمر لم أقارض إلا وبالجملة فإني كاره لهذا إلا لضرورة داعية إليه مما أرجو به قمع المستشري في النيل مني أو قدع الناقل إلي إذ أكثر الناس محبون لإسماع المكروه من يسمعونه إياه عن ألسنة غيرهم ولا شيء أقدع لهم من هذا الوجه فإنهم يكفون به عن نقلهم المكاره على ألسنة الناس إلى الناس وهذا شيء لا يفيد إلا إفساد الضمائر وإدخال التمائم فقط.
"Furthermore, as for the man who is wronging me, there are two possibilities and two only.",ثم بعد هذا فإن النائل مني لا يخلو من أحد وجهين لا ثالث لهما:
Either he is lying or telling the truth.,إما أن يكون كاذبًا وإما أن يكون صادقًا.
"If he is lying, then God will surely make haste to allow me to refute him by his own tongue, for this man will go the way of all liars and will draw attention to my merit by falsely imputing bad things to me - for, late or soon, this will become clear to most of those who listen to him.",فإن كان كاذبًا فلقد عجل الله لي الانتصار منه على لسان نفسه بأن حصل في جملة أهل الكذب وبأن نبه على فضلي بأن نسب إلي ما أنا منه بريء العرض وما يعلم أكثر السامعين له كذبه إما في وقته ذلك وإما بعد بحثهم عما قال.
"If he is telling the truth, there are three possibilities and only one can be true.",وإن كان صادقًا فإنه لا يخلو من أحد ثلاثة أوجه:
