"With the Name of Allah, the All-Merciful, the Most Merciful",بسم الله الرحمن الرحيم
"One of the Salaf said during his illness: What is most beloved to me is what is most beloved to Him.’ Similarly it has been said: What is injury if pain brings pleasure? And:
 Your love will lessen what arises,
The one who has not been distressed, does not enjoy bliss.","وقال بعض السلف في مرضه: أحبه إليّ أَحبه إليه؟ وكما قيل: "" فما الجرح إذا أرضاكم ألم "" وكما قيل أيضاً:
في حُبِّكم يهونُ ما قدْ ألقى *** يسعدُ بالنعيمِ منْ لا يشقى
"
"So whoever serves the one he loves, then he finds pleasure even when he is disappointed during his servitude of the one he loves.",من خدم من يحب تلذذ بشقائه في خدمته.
"One of them said: ""The heart that loves for Allah’s sake, loves to exert himself for Him.’
Abdu'l-Samad said: ‘He places for them in His punishment sweetness for the difficulties they endure for His sake.’","وقال بعضهم: القلب المحب لله يحب النصب له. وقال عبد الصمد: أوجد لهم في عذابه عذوبةً.
"
So making wudu properly in difficult conditions is a sign of those that love as it has mentioned in “Kitab al-Zuhd” of Imam Ahmad from Ata’ Ibn Yasar said: ‘Musa (alayhis-salaam) said: ‘O Lord who are your very special servants?’,"إسباغ الوضوء على المكاره من علامات المحبين كما في كتاب الزهد للإمام أحمد عن عطاء بن يسار قال: "" قال موسى عليه السلام: يارب! من أهلك الذين هم أهلك، الذين تُظلهم في ظلّ عرشك!."
"He said: ‘They are those whose hands are free of blame (bodies, in another manuscript), and their hearts are pure. Those that love each other for My Majesty. Those that when I am mentioned they remember Me, and when they are mentioned I remember them.","قال: هم البرية أيديهم، الطاهرة قلوبهم، الذين يتحابون بجلالي، الذين إذا ذُكرت ذُكروا بي، وإذا ذكروا ذكرت بذكرهم،"
"Those that do wudu properly in difficult conditions, and frequently remember me, as frogs frequently enter their nests. They are fond of my love, as a child is fond of love from people. They are enraged when what I have forbidden, is made permissible, like a tiger in battle.’","الذين يسبغون الوضوء في المكاره، وينيبون إلى ذكري كما تنيب النسور إلى أوكارها، ويكْلفون بحبي كما يكلف الصبي بحب الناس، ويغضبون لمحارمي إذا استحلت كما يغضب النمر إذا حُرِب "".
"
"For those that have this love, Allah may aid them through a miracle, some of them might not feel the coldness of cold water. Others would to supplicate to Allah to make easy the purification in winter, so when the water was brought to them it would be warm. Yet some would not feel anything at all of the warmth or the coldness.","وقد يخرق الله العادة لبعض المحبين له فلا يجد ألم برد الماء، كما كان بعض السلف قد دعا الله أن يهون عليه الطهور في الشتاء، فكان يؤتى بالماء وله بخار، وربما سُلب بعض الإحساس في الحر والبرد مطلقاً،"
"Ali Ibn Abii Talib (radiyAllahu anhu) had the Prophet (PBUH) supplicate for him to take away the ability to feel cold and heat, so he used to wear in the summer winter clothes, and in the winter he would ware summer clothes. The Prophet (PBUH) said about him: “Indeed he loves Allah and His Messenger, and he is loved by Allah and His Messenger.”","وكان علي بن أبي طالب رضي الله عنه قد دعا له النبي صلى الله عليه وسلم أن يذهب الله عنه الحر والبرد، فكان يلبس في الصيف لباس الشتاء، وفي الشتاء لباس الصيف، وقال النبي فيه: "" إنه يحب الله ورسوله، ويحبه الله ورسوله "".
"
"Abu Sulayman al-Darani on his way to hajj saw an old man wearing shabby clothes in severe cold, all the while he was sweating. So he asked him about his state. He replied: 'The heat and cold are two creations of Allah, the Mighty and Majestic, so if he orders them to overwhelm me then it will befall me, and if He orders them to leave me then they will.’","ورأى أبو سليمان الداراني في طريق الحج في شدة برد الشتاء شيخاً عليه أخلاق رثّةً وهو يرشح عرقاً، فسأله عن حاله، فقال: إنما الحر والبرد خلقان لله عز وجل، فإن أمرهما أن يغشيان أصاباني، وإن أمرهما أن يتركاني تركاني."
"He also said: 'I have been in this wilderness for thirty years. He covers me in winter out of His love, and in the summer cools me out of His love.’","وقال: أنا في هذه البرية منذ ثلاثين سنة يُلبسُني في البرد فيحاً من محبته، ويلبسني في الصيف برداً من محبته."
"It was said to someone else who had two rags to cover himself in the severe cold: 'If you covered yourself it would save you from the cold,’ so he replied: I hope for only good in His courtyard, for does anyone feel cold in His shelter?’","وقيل لآخر وعليه خرقتان في برد شديد: لو استترت في موضع يُكِّنُك من البرد! *** فأنشد:
ويُحسنُ ظني أنني في فنائِه *** وهل أحدٌ في كُنِّه يجِدُ البردا؟.
"
CHAPTER THREE,
"The Second Reason for the Expiations of Sins: Walking to the Congregation and Friday prayers More specifically, if a person makes wudu at home and then leaves to go to the masjid, intending nothing other than the prayer","السبب الثاني من مُكفِّرات الذنوب "": المشي على الأقدام إلى الجماعات وإلى الجمعات، ولا سيما إن توضأ الرجل في بيته ثم خرج إلى المسجد لا يريد بخروجه إلا الصلاة فيه"
"as it has reported in the both Bukhari and Muslim on the authority of Abu Hurayrah (radiyAllahu 'anhu) from the Prophet (H) who said: “The reward of a person praying in congregation compared to at home or in the market place, is twenty five times greater.","كما في الصحيحين عن أبي هريرة رضي الله عنه عن النبي قال: "" صلاة الرجل في الجماعة تَضْعُف على صلاته في بيته وفي سوقه خمسةً وعشرين ضعفاً،"
"That is because when he makes wudu properly and leaves his house for no other reason but the prayer in the masjid. Every step he takes he is raised a rank, and a bad deed is wiped away from him. So when he prays, the angels continue to send peace and blessings upon him as long as he is in place of prayer saying: O Allah send peace and blessings upon him, O Allah have mercy upon him, and as long as you are waiting for a prayer you will be considered in prayer.”’","وذلك أنه إذا توضأ فأحسن الوضوء ثم خرج إلى المسجد لا يخرجه إلا الصلاة لم يخطُ خطوة إلا رفعت له بها درجة، وحُطَّ عنه بها خطيئة، فإذا صلى لم تزل الملائكة تصلي عليه ما دام في مصلاّه: "" اللهم صلي عليه، اللهم ارحمه ""، ولا يزال أحدكم في صلاة ما انتظر الصلاة "".
"
"It is reported in the Sahih Muslim on the authority of Abu Hurayrah (radiyAllahu 'anhu) from the Prophet (PBUH) who said: “Whoever purifies himself at home, then walks to the houses of Allah to perform an obligation from the (many) obligations Allah (has placed upon him). Then every two steps (or ""steps’ in another manuscript) he takes, one step removes a bad deed and another step raises his level.”","وفي صحيح مسلم عن أبي هريرة عن النبي قال: "" من تطهر في بيته ثم مشى إلى بيت من بيوت الله ليقضي فريضة من فرائض الله، كانت خطوتاه: إحداهما تحط خطيئة، والأخرى ترفع درجة "".
"
In the Two Sahihs on the authority of Abu Hurayrah (radiyAllahu anhu) from the Prophet (PBUH) who said: “Every step taken to the prayer is a charity.”,"وفي الصحيحين عن أبي هريرة عن النبي قال: "" كل خطوة تمشيها إلى الصلاة صدقة "".
"
"In the Musnad and Sahih Ibn Hibban on the authority of 'Uqbah Ibn ""Amir (radiyAllahu anhu) who reported from the Prophet (PBUH) who said: “When a person purifies himself, then goes to the masjid to take care of his prayer, his two scribes write for him with every step he takes to the masjid as ten good deeds.","وفي المسند وصحيح ابن حبان عن عقبة بن عامر عن النبي قال: "" إذا تطهر الرجل ثم أتى المسجد يرعى الصلاة كتب له كاتباه بكل خطوة يخطوها إلى المسجد عشر حسنات "".
"
"It is also reported in Ibn Hibban and the Musnad on the authority of ""Abdullah Ibn Amr (radiyAllahu anhu) from the Prophet (PBUH) who said: “Whoever goes to the masjid for congregation, then for every two steps he takes, one step wipes away sin, and the other is written as a good deed, going and returning (from the masjid).”","وفيهما أيضاً عن عبد الله بن عمرو عن النبي قال: "" مَن راح إلى مسجد جماعة فخطوتاه: خطوة تمحو سيئة، وخطوة تكتب حسنة ذاهباً وراجعاً ""."
In the Sunan of Abu Dawud on the authority of Abu Umamah (radiyAllahu anhu) from the Prophet (PBUH) who said: “Whoever leaves his house purified for the obligatory prayer then his reward is like that of a pilgrim.”,"وفي سنن أبي داود عن أبي أمامة عن النبي قال: "" من خرج من بيته متطهراً إلى صلاة مكتوبة فأجره كأجر الحاجّ المحرم "".
"
"Furthermore, it is also reported from a man among the Al-Ansar from the Prophet (PBUH) who said: “Whoever makes wudu properly, then leaves for the prayer, does not raise his right foot except Allah writes for him a single good deed, and he does not put down his left foot except Allah removes a bad deed from him, so you may reside close or far, as long as he comes to the masjid and prays in congregation he will be forgiven.”
","وفيه أيضاً عن رجل من الأنصار عن النبي قال: "" من توضأ فأحسن الوضوء ثم خرج إلى الصلاة، لم يرفع قدمه اليمنى إلا كتب الله له بها حسنة، ولم يضع قدمه اليسرى إلا حطَّ الله عنه بها خطيئة، فليقرب أو ليبعد، فإن أتى المسجد فصلى في جماعة غُفر له "".
"
The narrations in this regard are many.,والأحاديث في هذا المعنى كثيرة جداً.
"Walking to the Friday prayer has even more virtue, especially after wudu is made, as reported in the Sunan on the authority of Aws Ibn Aws (radiyAllahu anhu) from the Prophet (PBUH) who said:","فالمشي إلى الجمعات له مزيد فضل، لا سيما إن كان بعد الاغتسال، كما في السنن عن أبي أوس عن النبي قال:"
"“Whoever takes a bath on Friday, and bathes completely. Leaves early, arriving early. Walks and does not ride (to the masjid). Sits close to the Imam and listens to him, and does not engage in idle talk - for every step he takes he will have the reward of one year, the reward of a year’s fasting and praying (at night).”",""" من غسل يوم الجمعة واغتسل، وبكّر وابتكر، ومشى ولم يركب، ودنا من الإمام، واستمع ولم يلغ، كان له بكل خطوة أجر سنة: صيامها وقيامها "".
"
"The further away he lives from the masjid then his walking is better because of the more steps he has to take. In the Sahih of Muslim on the authority of Jabir (radiyAllahu anhu) reported: ‘Our house was far from the masjid and we wanted to sell our houses to move closer to the masjid, so the Prophet (PBUH) forbade us saying: “for every step you take is a good deed.” In the Sahih of Bukhari from Anas that the Prophet (PBUH) said: “O sons of Salaamah! Will you not count your steps?’”","وكلما بعد المكان الذي يمشي منه إلى المسجد كان المشي منه أفضل لكثرة الخطا، وفي صحيح مسلم عن جابر قال: كانت دارنا نائية عن المسجد، فأردنا أن نبيع بيوتنا فنقرب من المسجد، فنهانا رسول الله وقال: "" إن لكم بكل خطوة حسنة "".
"
In Sahih Bukhari and Muslim on the authority of Abu Musa (radiyAllahu anhu) who reported that the Prophet (PBUH) said: “Indeed the people with the most reward for the prayer are those that walk the furthest to get to it.”,"وفي صحيح البخاري عن أنس أن النبي قال: "" يا بني سلمة! ألا تحسبون آثاركم؟! "". وفي الصحيحين عن أبي موسى أن النبي قال: "" إن أعظم الناس أجراً في الصلاة: أبعدهم إليها ممشى فأبعدهم "".
"
"Having said this, the house that is close to the masjid is better than the house that is distant, however walking from the house that is further distance away is better.
In the Musnad on the authority of Hudayfah (radiyAllahu anhu) reported from the Prophet (PBUH) who said: “The virtue of a house that is close to the masjid over the house that is distant and faraway is like the virtue of the warrior over the one sitting down.” ","ومع هذا فنفس الدار القريبة من المسجد أفضل من الدار البعيدة عنه، لكن المشي من الدار البعيدة أفضل، ففي المسند عن حذيفة عن النبي قال: "" فضل الدار القريبة من المسجد على الدار البعيدة الشاسعة كفضل الغازي على القاعد "" 
"
The chain is broken.,وإسناده منقطع.
Walking to the masjid is better than riding as has preceded from the hadith of Aws {radiyAllahu 'anhu) for the Friday prayer. For this reason the hadith of Mu'aadh (radiyAllahu anhu) mentions the superiority of walking.,"والمشي إلى المسجد أفضل من الركوب كما تقدم في حديث أوس في الجُمع، ولهذا جاء في حديث معاذ ذكر المشي على الأقدام،"
"The Prophet (PBUH) used to not leave for the prayer, except by walking, even the 'Iid prayer he would go to walking. Hence the one who comes to the masjid is a visitor to Allah, and visiting someone on foot is closer to humbleness and lowering oneself, as it has been said:","وكان النبي لا يخرج إلى الصلاة إلا ماشياً حتى العيد يخرج إلى المصلى ماشياً، فإن الآتي للمسجد زائر لله، والزيارة على الأقدام أقرب إلى الخضوع والتذلل كما قيل:
"
"If I came to you as a visitor in a rush,
I would not even then fulfil the right.",لو جئتكم زائراً أسعى على بصري *** لم أَدِّ حقاً وأيُّ الحقِّ أدَّيتُ؟!
"It is reported in Sahih Bukhari on the authority of Abu Hurayrah (radiyAllahu anhu) from the Prophet (PBUH) who said: “Whoever goes out to the masjid in the morning or evening, Allah prepares for him in paradise a nuzul, every time he goes out in the morning or evening.”","وفي صحيح البخاري عن أبي هريرة عن النبي قال: "" من غدا إلى المسجد أو راح أعدَّ الله له منزلاً في الجنة كلما غدا أو راح ""."
"“Nuzul” is a banquet prepared for a guest when one arrives. It has been recorded in Tabarani from the hadith of Salman (radiyAllahu anhu) directly from the Prophet (PBUH) who said: “Whoever makes wudu his house and does so properly. Then he goes to the masjid, he is a visitor of Allah, the Most High, and the right of the visitor on the one being visited is that he honours him.”","والنُّزُل: هو ما يُعدُّ للزائر عند قدومه. وفي الطبراني من حديث سلمان مرفوعاً: "" من توضأ في بيته فأحسن الوضوء، ثم أتى المسجد فهو زائر الله تعالى، وحق على المزور أن يكرم الزائر ""."
"It is reported in Sahih Muslim on the authority of Ubay Ibn Ka'b (radiyAllahu 'anhu) who said: “There was a man who lived the furthest away from the masjid, and he never missed a prayer in the masjid. So it was said to him (or I said to him): ‘Why don’t you get a donkey and ride it to the masjid in the darkness and intense heat.’","وفي صحيح مسلم عن أبي بن كعب قال: كان رجل لا أعلم رجلاً أبعد من المسجد منه، وكان لا تخطئه صلاة في المسجد، قال: فقيل له أو قلت له: لو اشتريت حماراً تركبه في الظلماء وفي الرمضاء."
So he replied: It would not please me to have my house next to the masjid. I would prefer that my walking to the masjid and return to my family be written down in my favour.’ So the Prophet said: “Allah will gather all of that for you.”,"فقال: ما يسرني أن منزلي إلى جنب المسجد، إني أريد أن يُكتب لي ممشاي إلى المسجد ورجوعي إذا رجعت إلى أهلي. فقال رسول الله : "" قد جمع الله لك ذلك كله "".
"
"Furthermore the walking that is difficult to the masjid,, is far better and one is greatly rewarded for it.","وكلما شق المشي إلى المسجد كان أفضل،"
"Hence the virtue of walking to the masjid for the night prayer and the morning prayer, is equal to standing in prayer all night as reported in Sahih Muslim on the authority of Uthman (radiyAllahu 'anhu) from the Prophet (PBUH) who said: “Whoever prays 'Ishaa congregation is as if he stood praying half the night, and whoever prays the morning prayer in congregation then it is as if he has prayed the whole night standing.”","ولهذا فُضل المشي إلى صلاة العشاء وصلاة الصبح، وعُدل بقيام الليل كله كما في صحيح مسلم عن عثمان عن النبي قال: "" من صلى العشاء في جماعة فكأنما قام نصف الليل، ومن صلى الصبح في جماعة فكأنما صلى الليل كله "".
"
"In Bukhari and Muslim, it is reported on the authority of Abu Hurayrah (radiyAllahu anhu) from the Prophet (PBUH) who said: “The most difficult prayers for the hypocrites are the 'Ishaa and Fajr prayers. If they knew the reward for attending them, they would come even if they had to crawl.”","وفي الصحيحين عن أبي هريرة عن النبي قال: "" أثقل صلاة على المنافقين: صلاة العشاء وصلاة الفجر، ولو يعلمون ما فيها لأتوهما ولو حبواً ""."
"The reason why these two prayers are difficult for the hypocrites is because the hypocrite is only active for the prayer, when people are watching him. Allah, the Most High says: “Behold, the hypocrites think they deceive Allah, but He is deceiving them. When they stand up for the prayer, they stand up lazily, to be seen and showing off to people, only remembering Allah a very little.” [al-Nisaa’ (4): 142]",وإنما ثقلت هاتان الصلاتان على المنافقين لأن المنافق لا ينشط للصلاة إلا إذا رآه الناس كما قال تعالى: (وإذا قامُوآ إلى الصلاةِ قاموا كُسالى يُرآءون الناسَ ولا يذكُرُونَ الله إلا قليلاً)
"Both the 'Ishaa and the Morning Prayer (fajr) occur in the dark. So only the truly sincere person will be active enough to walk towards them, suffice in the knowledge that Allah, the Mighty and Majestic will alone see him.","وصلاة العشاء والصبح يقعان في ظلمةٍ، فلا ينشط للمشي إليهما إلا كل مخلص يكتفي برؤية الله عز وجل وحده لعلمه به."
"The reward for walking to the masjid in the darkness is: Complete light during the darkness of the Day of Judgment as reported in the Sunan of Abu Dawud and Tirmidhii on the authority of Buraydah (radiyAllahu anhu) from the Prophet (PBUH) who said: “Give glad tidings to the people that walk in darkness to the masjids, they will have complete light on the Day of Judgment.”","وثواب المشي إلى الصلاة في الظُّلَم: النور التام في ظلم يوم القيامة كما في سنن أبي داود والترمذي عن بُريدة عن النبي قال: "" بَشِّر المشَّائينَ في الظُّلَم إلى المساجدِ بالنُّورِ التّام يومَ القيامة """
"It has been reported by Ibn Maajah from the hadith of Sahl Ibn Sa'd (radiyAllahu 'anhu), and it has been narrated from many chains of narrations. In some narrations there is the addition: ‘The (other) people will be frightened, but they will not be.’ Al-Nakha'i said: ""They used to hold the view that walking in the dark at night would necessitate a person being forgiven.’","وخرجه ابن ماجه من حديث سهل بن سعد، وقد رُوي من وجه كثيرة. وفي بعضها زيادة: "" يفزع الناس ولا يفزعون "". قال النخعي: وكانوا يرون أن المشي في الليلة الظلماء إلى الصلاة موجبة. يعني توجب المغفرة."
"It is narrated from Al-Hasan who said: ‘The people of tawhid in the hell fire will not be tied up, so the guardians (angels) will say to each other why is it that these people are not tied up, while others are tied up?’ So a caller will call out to them: ‘These people are those that use to walk to the masjids during the dark nights.’","وروينا عن الحسن قال: أهل التوحيد في النار لا يُقيدون، فيقول الخزنة بعضهم لبعض: ما بال هؤلاء لا يقيدون وهؤلاء يقيدون؟! فيناديهم منادٍ: إن هؤلاء كانوا يمشون في ظلم الليل إلى المساجد.
"
"Just as the places of prostration of the sinful Muslim, among the people of tawhid in the hell fire, are not devoured by the fire of hell. Likewise the feet that walk to the masjids in the dark will not be tied in the fire. Nor will the punishment be equal for the one who served Him and the one who did not serve Him.","كما أن مواضع السجود عن عصاة الموحدين في النار لا تأكلها النار، فكذلك الأقدام التي تمشي إلى المساجد في الظلم لا تقيد في النار، ولا يسوي في العذاب بين من خدمه وبين من لم يخدمه وإن عذبه:
"
"‘So (if this is the case) the one who has earned His anger,
He still treats them with goodness.
What would be the case for the one who only pleased Him?’","ومَنْ كانَ في سُخطه محسناً *** فكيف يكونُ إذا ما رضي؟!
"
"The prayer is a direct connection between the servant and his Lord. It is an intimate discourse, which shows its effects on the hearts of those that have perception and nearness to Him. Before the prayer, He legislated purification, because it is not befitting to stand in front of Allah, the Mighty and Majestic, in private conversation with Him, except in a pure state.","لما كانت الصلاة صلة بين العبد وربه، ومناجاة تظهر فيها آثار تجليه لقلوب العارفين وقربه، شرع قبل الدخول فيها الطهارة، فإنه لا يصلح للوقوف بين يدي الله عز وجل والخلوة بمناجاته إلا طاهر،"
"As for the one who is impure with filth that is visible or otherwise, then it is not appropriate to draw close to Allah in that manner. Allah legislated that the worshiper wash his limbs with water. Through this purification the sins are expiated as a result. So for the one that wants to engage in conversation with his Lord, then let them purify themselves both inward and outward, after which He legislated walking to the masjids.","فأما المتلوث بالأوساخ الظاهرة والباطنة فلا يصلح للقرب، فشرع الله عز وجل للمصلي غسل أعضائه بالماء، ورتب عليها طهارة الذنوب وتكفيرها، حتى يجتمع لمن يريد المناجاة طهارة ظاهره وباطنه، ثم شرع المشي إلى المساجد،"
"Also there is the expiation of sins until the purge from sins is complete. If anything remains after wudu, the servant stands before Allah after completing purification, both hidden and apparent, until he has no filth or sins left.","وفيه أيضاً تكفير الخطايا حتى تكمل طهارة الذنوب إن بقي منها شيء بعد الوضوء، حتى لا يقف العبد في مقام المناجاة إلا بعد كمال طهارة ظاهره وباطنه من درن الأوساخ والذنوب،"
"For this reason also, He legislated the renewal of repentance and seeking forgiveness after the end of every wudu until the purification from sins is complete as reported by Nasaa'ii from the hadith of Abu Said (radiyAllahu anhu) in both Marfuu and Mawquuf forms: ""Whoever makes wudu properly then says once finished: “Glory is to you O Allah, and praise. I seek forgiveness from you and I turn to you in repentance.”","ولهذا شرع له تجديد التوبة والاستغفار عقيب كل وضوء حتى تكمل طهارة ذنوبه كما خرج النسائي من حديث أبي سعيد مرفوعاً وموقوفاً: "" من توضأ فأسبغ الوضوء، ثم قال عند فراغه من وضوئه: "" سبحانك اللهم وبحمدك، استغفرك وأتوب إليك """
Then it is stamped and placed under the throne and not unsealed until the Day of Judgment.’,"خُتم عليها بخاتم، فوُضعت تحت العرش فلم يكسر إلى يوم القيامة "".
"
"When a servant strives to perfect his purification and his walking to the masjid, if it does not wipe away his sins then the prayer completes the expiation of his sins. ","ومتى اجتهد العبد على تكميل طهارته ومشيه إلى المسجد ولم يقوَ ذلك على تكفير ذنوبه فإن الصلاة يكمل بها التكفير، "
"As (it has been made clear) in the two books of hadith Bukhari and Muslim on the authority of Abu Hurayrah (radiyAllahu anhu) from the Prophet (PBUH) who said: “What do you think of a person that has a river by his door that he bathes in five times a day, would he have dirt left on him?” They said: ""No dirt would be left on him.’ He (PBUH) said: “Likewise the five prayers wipe away the sins.”","كما في الصحيحين عن أبي هريرة عن النبي قال: "" أرأيتم لو أن نهراً بباب أحدكم يغتسل فيه كل يوم خمس مرات، هل يبقى من درنه شيء؟ "". قالوا: لا يبقى من درنه شيء. قال: "" فذلك مثل الصلوات الخمس يمحو الله بهن الخطايا ""."
"So if the wudu is enough to expiate his sins by itself, then walking to the masjid and the prayer after it will be an increase in good deeds. This is what was meant in the statement of the Prophet (PBUH) in the hadith of Uthman (radiyAllahu 'anhu) and Al-Sanaabihi (radiyAllahu anhu): “...the walking and his prayer is extra reward.” Both hadith have been mentioned previously.","وإن قوي الوضوء وحده على تكفير الخطايا فالمشي إلى المسجد والصلاة بعده تكون زيادة حسنات، وهذا هو المراد من قول النبي في حديث عثمان والصُّنابحي: "" *** وكان مشيه إلى المسجد وصلاته نافلة ""، وقد سبق ذكر الحديثين.
"
Majority of scholars (have agreed that) all these reasons only expiate minor sins and not major sins. 'Ataa' and others from the Salaf have deduced this from the wudu.,"واعلم أن جمهور العلماء على أن هذه الأسباب كلها إنما تكفر الصغائر دون الكبائر، وقد استدل بذلك عطاء وغيره من السلف في الوضوء،"
"Salman Al-Farisi (radiyAllahu anhu) said: 'The wudu expiates the small sins, and walking to the masjid expiates more (or greater) than that, and the prayer expiate even more still (or greater).’ Reported by Muhammad Nasr Al-Marwazi.","وقال سلمان الفارسي رضي الله عنه: الوضوء يكفر الجراحات الصغار، والمشي إلى المسجد يكفر أكثر من ذلك، والصلاة تكفر أكثر من ذلك. خرجه محمد بن نصر المروزي."
"That which shows major sins are not expiated is (the narration) that is in Bukhari and Muslim narrated on the authority of Abu Hurayrah (radiyAllahu anhu) from the Prophet (PBUH) who said: “The five daily prayers, the Friday prayer to the next Friday Prayer, and the Ramadan to the next Ramadan, all expiate sins that occurred in between them, as long as the major sins are avoided.”","ويُدلّ على أن الكبائر لا تكفر بذلك ما في الصحيحين عن أبي هريرة عن النبي قال: "" الصلوات الخمس، والجمعة إلى الجمعة، ورمضان إلى رمضان مكفرات لما بينهن إذا اجتُنِبَت الكبائر ""."
"In Sahih Muslim, it is narrated on the authority of Uthman {radiyAllahu 'anhu) from the Prophet (PBUH) who said: “There is no Muslim that attends to the obligatory prayers, perfecting his wudu, his khusuu his bowing and his prostration. Except that it is an expiation for sins that have preceded, as long as major sins are avoided, and that is for all of time.”","وفي صحيح مسلم عن عثمان عن النبي قال: "" ما من امرئٍ مسلم تحضره صلاة مكتوبة فيحسن وضوءها وخشوعها وركوعها وسجودها إلا كانت كفارة لما قبلها من الذنوب ما لم يؤت كبيرة، وذلك الدهر كله "".
"
"So look at how easy it is for you to expiate sins. Maybe you will purify yourself from sins before you die and meet it (death) completely purified from sin, and then it would be appropriate that you live in paradise (a place of safety from all evil) near Him. However if you refuse to do so, wanting instead to die upon the impurity of sins, which then will only be purified with the billows of the hellfire.","فانظر إلى كم تُيَسر لك أسباب تكفير الخطايا لعلك تطهر منها قبل الموت فتلقاه طاهراً، فتصلح لمجاورته في دار السلام، وأنت تأبى إلا أن تموت على خبث الذنوب فتحتاج إلى تطهيرها في كير جهنم."
"O you! Don’t you know that it is not befitting to draw close to Him except for a person pure of sins? If you wish to be close to Him today then purify your inner and outer self, and if you wish to be close to Him tomorrow, then purify your heart from everything else besides Him so you can be worthy for His nearness:","يا هذا! أما علمت أنه لا يصلح لقربنا إلا طاهر؟! فإن أردت قربنا ومناجاتنا اليوم فطهر ظاهرك وباطنك لتصلح لذلك، وإن أردت قربنا ومناجاتنا غداً فطهر قلبك من سوانا لتصلح لمجاورتنا"
"“The Day on which neither wealth nor sons will be of any use, except to those who come to Allah with a sound and flawless heart.” [al-Shu'araa (26): 88-89]","(يومَ لا ينفعُ مالٌ ولا بَنُونَ "" إلا مَنْ أتى الله بقلبٍ سليمٍ)،"
"The sound heart is the one which has only the love of Allah in it, and love for what Allah loves. Indeed Allah is pure and He only accepts that which are pure. So not everyone is suited to be a neighbor of Allah, the Most High tomorrow, nor are they suited to converse with him today (through the prayer), neither is it befitting to converse in every situation:","القلب السليم الذي ليس فيه غير محبة الله، ومحبة يحبه الله، إن الله طيب لا يقبل إلا طيباً، فما كل أحد يصلح لمجاورة الله تعالى غداً، ولا كل أحد يصلح لمناجاة الله اليوم، ولا على كل الحالات تحسن المناجاة:
"
"People are of different kinds,
some treacherous while others honest.
How far off the mark it is to expect from dirt something pure.
Presence is not befitting in front of a crude heart.","الناسُ من الهوى على أصنافِ *** هذا نقضَ العهدَ وهذا وافي
هيهاتَ مِنَ الكدورِ تبغي الصافي *** ما يصلِحُ للحضرةِ قلبٌ جافي
"
The Third Reason to Expiate Sins is Sitting in the Masjids after the Prayer,"السبب الثالث من مكفرات الذنوب "": الجلوس في المساجد بعد الصلوات،"
"What is meant by sitting, is waiting in masjid for the next prayer as in the hadith of Abu Hurayrah (radiyAllahu anhu): “Waiting for a prayer after a prayer, and that is the firm hold, that is the firm hold, that is the firm hold.”","والمراد بهذا الجلوس انتظار صلاة أخرى كما في حديث أبي هريرة: "" *** وانتظار الصلاة بعد الصلاة، فذلكم الرباط، فذلكم الرباط ""."
"So he made this the same as guarding the frontier in the way of Allah the Mighty and Majestic. This is better than merely sitting before the prayer to begin, for the one who sits in the masjid waiting to perform the prayer then leave after completing the prayer, shortens his stay. As opposed to the one who prays and then sits waiting for next prayer, then his waiting is longer.","فجعل هذا من الرباط في سبيل الله عز وجل، وهذا أفضل من الجلوس قبل الصلاة لانتظارها، فإن الجالس لانتظار الصلاة ليؤديها ثم يذهب تقصر مدة انتظاره، بخلاف من صلى صلاة ثم جلس ينتظر أخرى فإن مدته تطول،"
"Every time one prays a prayer, then sits and waits for the next prayer, spends his whole time in obedience, and that is equal to guarding the frontier in the way of Allah, the Mighty and Majestic.","فإن كان كلما صلى صلاة جلس ينتظر ما بعدها استغرق عمره بالطاعة، وكان ذلك بمنزلة الرباط في سبيل الله عز وجل.
"
In the Musnad and Sunan Ibn Maajah on the authority of ‘Abdullah Ibn Amr (radiyAllahu anhu) who said: ‘We finished praying with the Messenger (PBUH) the Maghrib prayer.,"وفي المسند وسنن ابن ماجه عن عبد الله بن عمرو قال: صليت مع رسول الله المغرب،"
"Those who wanted to leave, departed and those who wanted stay behind, remained behind. Then Messenger of Allah (PBUH) came out suddenly, grasping for breath and his knees were visible. He said: “Have glad tidings! Your Lord has opened a door from the doors of the heavens boasting about you to the angels, saying: ""Look at my servants they have performed an obligatory prayer and they are waiting for next one.","فرجع من رجع، وعقب من عقب، فجاء رسول الله مسرعاً قد حَفَزه النفَس، وقد حسر عن ركبته فقال: "" أبشروا! هذا ربكم قد فتح عليكم باباً من أبواب السماء يباهي بكم الملائكة، يقول: انظروا إلى عبادي قد قضوا فريضة وهم ينتظرون أخرى "".
"
"In the Musnad, it is reported on the authority of Abu Hurayrah (radiyAllahu anhu) who narrated from the Prophet (PBUH) saying: “The person waiting for the next prayer after a prayer is like the knight whose horse is strong in the face of his enemy. The angels of Allah send salutations upon him as long as he remains in a state of purity and does not leave. That is the greatest form of guarding the frontier.","وفي المسند عن أبي هريرة عن النبي قال: "" منتظر الصلاة بعد الصلاة كفارس اشتد به فرسه في سبيل الله على كَشْحِهِ، تُصلي عليه ملائكة الله ما لم يحدث أو يقوم، وهو في الرباط الأكبر "".
"
