The History of al-Tabari,تاريخ الطبري
,
,
Concerning Those Who Said That:,ذِكْرُ مَنْ قَالَ ذَلِكَ:
"According to Ya'qub b. Ibrahim—Ibn 'Ulayyah—Abu Raja’: I asked al-Hasan about the quote, ""And when his Lord tried Abraham with commands and he fulfilled them."" Al-Hasan said, ""He tested him with the star and was satisfied with him; He tested him with the moon and was satisfied with him; He tested him with the sun and was satisfied with him; He tested him with fire and was satisfied with him; He tested him with emigration; and He tested him with circumcision.""","حَدَّثَنِي يَعْقُوبُ بْنُ إِبْرَاهِيمَ، قَالَ: حَدَّثَنَا ابْنُ علية، عَنْ أَبِي رَجَاءٍ، قَالَ:"
,"قُلْتُ لِلْحَسَنِ: «وَإِذِ ابْتَلى إِبْراهِيمَ رَبُّهُ بِكَلِماتٍ فَأَتَمَّهُنَّ» ، قَالَ: ابْتَلاهُ بِالْكَوْكَبِ فَرَضِيَ عَنْهُ، وَابْتَلاهُ بِالْقَمَرِ فَرَضِيَ عَنْهُ، وَابْتَلاهُ بِالشَّمْسِ فَرَضِيَ عَنْهُ، وَابْتَلاهُ بِالنَّارِ فَرَضِيَ عَنْهُ، وَابْتَلاهُ بِالْهِجْرَةِ، وَابْتَلاهُ بِالْخِتَانِ."
,
"According to Bishr—Yazid b. Zuray'—Sa'id—Qatadah—alHasan: When God tested Abraham with a command, he was steadfast in obeying it. He tested him with the star, the sun, and the moon, and he did well with those and knew that his Lord is eternal and He will not cease. Then he turned his face to the One Who created the heavens and the earth, as one up¬right by nature, he was not one of those who attributed part¬ners to God. Then He tested him with emigration, and he left land and took his people to Syria, journeying to God. Before the emigration He tested him with fire and he was steadfast, and He tested him with the sacrifice of his son and with cir-cumcision, and he was steadfast.","حدثنا بشر، قَالَ: حَدَّثَنَا يَزِيدُ بْنُ زُرَيْعٍ، قَالَ: حَدَّثَنَا سعيد، عن قتادة، قال: كان الحسن يقول: إن الله ابتلاه بأمر فصبر عليه، ابتلاه بالكوكب والشمس والقمر، فأحسن في ذلك، وعرف أن ربه دائم لا يزول، فوجه وجهه للذي فطر السموات والأرض حنيفا وما كان من المشركين، وابتلاه بالهجرة فخرج من بلاده وقومه حتى لحق بالشام مهاجرا إلى الله تعالى، ثم ابتلاه بالنار قبل الهجرة فصبر على ذلك، وابتلاه بذبح ابنه وبالختان، فصبر على ذلك."
,
"According to al-Hasan b. Yahya—'Abd al-Razzaq—Ma'mar —someone—al-Hasan: His word, ""And when his Lord tried Abraham with commmands, "" means He tested him with the star, the sun, and the moon.","حَدَّثَنَا الْحَسَنُ بْنُ يحيى، قال: أخبرنا عبد الرزاق، قال: أخبرنا مَعْمَرٌ، عَمَّنْ سَمِعَ الْحَسَنَ يَقُولُ فِي قَوْلِهِ: «وَإِذِ ابْتَلى إِبْراهِيمَ رَبُّهُ بِكَلِماتٍ» ، قال: ابتلاه بذبح ولده، وبالنار وبالكوكب، وَبِالشَّمْسِ، وَبِالْقَمَرِ."
,
"According to Ibn Bashshar—Salm b. Qutaybah—Abu Hilal—al-Hasan: The quote ""And when his Lord tried Abraham with commands, "" means He tested him with the star, the sun, and the moon, and found him steadfast.","حَدَّثَنَا ابْنُ بَشَّارٍ، قَالَ: حَدَّثَنَا سَلْمُ بْنُ قُتَيْبَةَ، قَالَ: حَدَّثَنَا أَبُو هِلالٍ عَنِ الْحَسَنِ: «وَإِذِ ابْتَلى إِبْراهِيمَ رَبُّهُ بِكَلِماتٍ» ، قَالَ: ابْتَلاهُ بِالْكَوْكَبِ، وَبِالشَّمْسِ وَبِالْقَمَرِ، فَوَجَدَهُ صَابِرًا"
,
"According to Ahmad b. Ishaq al-Mukhtar—Ghassan b. alRabi'—'Abdal-Rahman namely Ibn Thawban—'Abdallah b. al-Fadl—'Abd al-Rahman al-A'raj—Abu Hurayrah—the Messenger of God: Abraham was circumcised after eighty years, in al-Qadum.","حَدَّثَنَا أَحْمَدُ بْنُ إِسْحَاقَ بْنِ الْمُخْتَارِ، قَالَ: حَدَّثَنِي غَسَّانُ بْنُ الرَّبِيعِ، قَالَ: حَدَّثَنَا عَبْدُ الرَّحْمَنِ- وَهُوَ ابْنُ ثَوْبَانَ- عَنْ عَبْدِ اللَّهِ بْنِ الْفَضْلِ، عَنْ عَبْدِ الرَّحْمَنِ الأَعْرَجِ، عَنْ أَبِي هُرَيْرَةَ، قَالَ: [قَالَ رَسُولُ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: اخْتَتَنَ إِبْرَاهِيمُ بَعْدَ ثَمَانِينَ سنه بالقدوم] ."
,
"Two accounts have come down to us from the Prophet on the subject of the commands with which Abraham was tested. One of them is according to Abu Kurayb—al-Hasan b. 'Atiyyah—Isra’il—Ja'far b. al-Zubayr—alQasim—Abu Umamah—the Messenger of God: Do you know what debt was meant by the quote, ""And Abraham who paid his debt?"" They said, ""God and His Messenger knows best."" He said, ""He paid the duty of each day, four prostrations during the day.""","وقد روى عن النبي ص في الكلمات التي ابتلي بهن إبراهيم خبران: أحدهما: ما حَدَّثَنَا أَبُو كُرَيْبٍ، قَالَ: حَدَّثَنَا الْحَسَنُ بْنُ عَطِيَّةَ، قَالَ:حَدَّثَنَا إِسْرَائِيلُ، عَنْ جَعْفَرِ بْنِ الزُّبَيْرِ، عَنِ الْقَاسِمِ، عَنْ أَبِي امامه، قال:"
,"قال رسول الله ص: «وَإِبْراهِيمَ الَّذِي وَفَّى» قَالَ: أَتَدْرُونَ مَا وَفَّى؟ قَالُوا: اللَّهُ وَرَسُولُهُ أَعْلَمُ، قَالَ: وَفَّى عَمَلَ يَوْمِهِ أَرْبَعَ رَكَعَاتٍ فِي النَّهَارِ] . ["
"The other one is according to Abu Kurayb—Rishdin b. Sa'd —Zabban b. Fa’id—Sahl b. Mu'adh b. Anas—his father: The Messenger of God used to say, ""Should I not tell you why God named Abraham His friend who paid his debt? It was because, whenever it was morning and whenever night came, he used to say, 'So glory be to God when you enter the night and when you enter the morning . . .' and so on to the end of the verse.""","والآخر منهما ما حَدَّثَنَا بِهِ أَبُو كُرَيْبٍ، قَالَ: حَدَّثَنَا رِشْدِينُ بْنُ سَعْدٍ، قَالَ: حَدَّثَنَا زَبَّانُ بْنُ فَائِدٍ، عَنْ سَهْلِ بْنِ مُعَاذِ بْنِ أَنَسٍ، عَنْ أَبِيهِ، قَالَ: كان النبي ص يَقُولُ: أَلا أُخْبِرُكُمْ لِمَ سَمَّى اللَّهُ إِبْرَاهِيمَ خَلِيلَهُ «الَّذِي وَفَّى» ؟ لأَنَّهُ كَانَ يَقُولُ كُلَّمَا أَصْبَحَ وَكُلَّمَا أَمْسَى: «فَسُبْحانَ اللَّهِ حِينَ تُمْسُونَ وَحِينَ تُصْبِحُونَ» حَتَّى خَتَمَ الآيَةَ [] ."
,
,
"When God realized Abraham's steadfastness of faith through all the tests He gave him, his fulfilling of all the duties which He laid upon him, and his preferring obedience to Him in ev- erything over anything else, He took him as His friend and ap¬pointed him a leader for all those of His creatures who were to come after him. He chose him as messenger to His creation and appointed for his descendants prophecy, scripture, and mission. He singled them out with revealed scriptures and pro¬found wisdom. He appointed from among them authorities and leaders, chiefs and sovereigns. Whenever one noble passed from among them, He would replace him with a lofty lord and preserved for them mention among the last. All the nations take Abraham as a friend, and extol him, and speak of his ex¬cellence as an honor to him from God in this world. The es¬teem which God has stored up for Abraham in the hereafter is more splendid and tremendous than anyone can describe.","فَلَمَّا عَرَفَ اللَّهُ تعالى مِنْ إِبْرَاهِيمَ الصَّبْرَ عَلَى كُلِّ مَا ابْتَلاهُ بِهِ، وَالْقِيَامَ بِكُلِّ مَا أَلْزَمَهُ مِنْ فَرَائِضِهِ، وَإِيثَارَهُ طَاعَتَهُ عَلَى كُلِّ شَيْءٍ سِوَاهَا، اتَّخَذَهُ خَلِيلا، وَجَعَلَهُ لِمَنْ بَعْدَهُ مِنْ خَلْقِهِ إِمَامًا، وَاصْطَفَاهُ إِلَى خَلْقِهِ رَسُولا، وَجَعَلَ فِي ذُرِّيَّتِهِ النُّبُوَّةَ وَالْكِتَابَ وَالرِّسَالَةَ، وَخَصَّهُمْ بِالْكُتُبِ الْمُنَزَّلَةِ، وَالْحِكَمِ الْبَالِغَةِ، وَجَعَلَ مِنْهُمُ الأَعْلامَ وَالْقَادَةَ وَالرُّؤَسَاءَ وَالسَّادَةَ، كُلَّمَا مَضَى مِنْهُمْ نَجِيبٌ خَلَفَهُ سَيِّدٌ رَفِيعٌ، وَأَبْقَى لَهُمْ ذِكْرًا فِي الآخَرِينَ، فَالأُمَمُ كُلُّهَا تَتَوَلاهُ وَتُثْنِي عَلَيْهِ، وَتَقُولُ بِفَضْلِهِ إِكْرَامًا مِنَ اللَّهِ لَهُ بِذَلِكَ فِي الدُّنْيَا، وَمَا ادخر له في الآخرة من الكرامة أجل وأعظم من أن يحيط به وصف ."
"Let us now return to the account of the enemy of God and of Abraham, who refused to believe in what Abraham had brought from God and who rejected Abraham's counsel out of ignorance and error about God's indulgence with him.Nimrod b. Cush",واصف امر نمرود بن كوش بن كنعان
"b. Canaan b. Ham b. Noah, and what happened to him in this world when he rebelled against his Lord, even though God was forbearing with him and did not make haste to punish him for his unbelief in Him and for his attempt to bum His friend Abraham for calling upon him (Nimrod) to believe only in God and to abandon his gods and idols. Nimrod's arrogance and re¬belliousness against his Lord went on for a long time—some say for four hundred years—in spite of God's forbearance with him. The proofs of Himself which God advanced to Nimrod and the examples which He showed him only made Nimrod persist in his transgression. As some have mentioned, God punished him in this world. This punishment, which extended over a span of time as long as that during which God had been forbearing with him, was carried out by means of the weakest of His creatures—a gnat to which God gave dominion over Nimrod.","ونرجع الآن إلى الخبر عن عدو الله وعدو إبراهيم الذي كذب بما جاء به من عند الله، ورد عليه النصيحة التي نصحها له جهلا منه، واغترارا بحلم الله تعالى عنه، نمرود بن كوش بن كنعان بن حام بن نوح، وما آل إليه أمره في عاجل دنياه حين تمرد على ربه، مع إملاء الله إياه، وتركه تعجيل العذاب له على كفره به، ومحاولته إحراق خليله بالنار حين دعاه إلى توحيد الله والبراءة من الآلهة والأوثان، وأن نمرود لما تطاول عتوه وتمرده على ربه مع إملاء الله تعالى له- فيما ذكر- أربعمائة عام، لا تزيده حجج الله التي يحتج بها عليه، وعبره التي يريها إياه إلا تماديا في غيه، عذبه الله- فيما ذكر- في عاجل دنياه قدر إملائه إياه من المدة بأضعف خلقه، وذلك بعوضة سلطها عليه توغلت في خياشيمه فمكث أربعمائة سنه يعذب بها في حياته الدنيا."
,
Accounts Which Have Reached Us about Him,ذكر الأخبار الواردة عنه بما ذكرت من جهله وما أحل الله به من نقمته:
"Concerning what I have mentioned about his ignorance and the vengeance which God set in motion against him, according to al-Hasan b. Yahya—'Abd al-Razzaq—Ma'mar—Zayd b. Aslam: The first tyrant on earth was Nimrod. People used to go to him seeking provisions of food. When they came to him he would ask them, ""Who is your lord?"" They would say, ""You."" When Abraham came to him, he asked him, ""Who is your lord?"" Abraham answered, ""My Lord is He Who gives life and causes death."" Nimrod told him, ""I give life and cause death."" Abraham said, ""God brings the sun from the East; so cause it to rise in the West."" ""Thus was the disbeliever abashed. So he sent Abraham away without food.","حَدَّثَنِي الحسن بن يحيى، قال: أخبرنا عبد الرزاق، قال: أخبرنا معمر، عن زيد بن أسلم، أن أول جبار كان في الأرض نمرود، وكان الناس يخرجون فيمتارون من عنده الطعام، فخرج إبراهيم يمتار مع من يمتار، فإذا مر به ناس قال: من ربكم؟ قالوا: أنت، حتى مر به إبراهيم، قال:"
"Abraham went back to his family. On the way he passed a dust-colored sand dune and said to himself, ""Let me take some of this and bring it to my family, to make them feel better when I come to them."" So he took some of it to bring to his family. He put his baggage down and slept. His wife arose, went to his baggage and opened it, and found there the best food anyone had ever seen.","من ربك؟ قال: «رَبِّيَ الَّذِي يُحْيِي وَيُمِيتُ قالَ أَنَا أُحْيِي وَأُمِيتُ قالَ إِبْراهِيمُ فَإِنَّ اللَّهَ يَأْتِي بِالشَّمْسِ مِنَ الْمَشْرِقِ فَأْتِ بِها مِنَ الْمَغْرِبِ فَبُهِتَ الَّذِي كَفَرَ» قال: فرده بغير طعام، قال: فرجع إبراهيم إلى أهله فمر على كثيب أعفر، فقال: هلا آخذ من هذا فآتي به أهلي فتطيب أنفسهم حين أدخل عليهم! فأخذ منه، فأتى أهله قال: فوضع متاعه ثم نام، فقامت امرأته إلى متاعه ففتحته فإذا هي بأجود طعام رآه أحد، فصنعت له منه، فقربته إليه- وكان عهد أهله ليس عندهم طعام- فقال: من أين هذا؟ قالت: من الطعام الذي جئت به، فعلم أن الله قد رزقه، فحمد الله."
" So she prepared some of it and pre¬sented it to him. To his knowledge the family had no food, so he asked, ""From where did this come?"" She answered, ""From the food which you brought."" So he knew that God had sup¬plied it to him, and he praised God.",
,
"Then God sent an angel to the tyrant, saying, ""Believe in Me and I will leave you in your realm."" Nimrod said, ""Is there any lord besides me?"" The angel came a second time and said the same, and again Nimrod refused. And he came a third time, and yet again Nimrod refused. So the angel said to him, ""Gather your assembly in three days."" The tyrant gathered his assembly, and God gave a command to the angel and he un¬leashed upon them a swarm of gnats. The sun was blotted out by their numbers. God sent the gnats against them, and they ate their flesh and drank their blood, and nothing but their bones was left. ","ثم بعث الله إلى الجبار ملكا: أن آمن بي وأتركك على ملكك، قال:فهل رب غيري؟ فجاءه الثانية فقال له ذلك، فأبى عليه، ثم أتاه الثالثة فأبى عليه، فقال له الملك: اجمع جموعك إلى ثلاثة أيام، فجمع الجبار جموعه. "
"The king was as before, however, none of that befell him. But God sent to him a single gnat which entered his nostril and went on beating the inside of his head with hammers for four hundred years. The most merciful to him of his friends was he who bunched up his hands and beat Nimrod's head with them. He had been a tyrant for four hundred years and God punished him for four hundred years—just as long as he had reigned —and then He caused him to die. He was the one who built a tower to heaven, only to have God strike at its foundations—it was about this that God said, ""So God struck at the founda¬tions of their building.""""","فأمر الله الملك، ففتح عليهم بابا من البعوض، فطلعت الشمس فلم يروها من كثرتها، فبعثها الله عليهم، فأكلت لحومهم وشربت دماءهم، فلم يبق إلا العظام، والملك كما هو لم يصبه من ذلك شيء، فبعث الله عليه بعوضة فدخلت في منخره، فمكث أربعمائة سنة يضرب رأسه بالمطارق، وأرحم الناس به من جمع يديه ثم ضرب بهما رأسه وكان جبارا أربعمائة عام، فعذبه الله أربعمائة سنة كملكه وأماته الله، وهو الذي بنى صرحا إلى السماء، فأتى الله بنيانه من القواعد، وهو الذي قال الله: «فَأَتَى اللَّهُ بُنْيانَهُمْ مِنَ الْقَواعِدِ»"
,
"According to Musa b. Harun—'Amr b. Hammad—Asbat— al-Suddi—Abu Malik and Abu Salih—Ibn 'Abbas and— Murrah—Ibn Mas'ud and—some of the companions of the Prophet: The one who argued with Abraham about his Lord gave orders that Abraham be sent out of the city, and he was sent out. He met Lot, the son of his brother, at the gate and called upon him, and he believed in him. Abraham said, ""I am a fugitive unto my Lord.""""","حدثنا موسى بن هارون، قال: حدثنا عمرو بن حماد، قال: حدثنا أسباط، عن السدي في خبر ذكره عن أبي مالك وعن أبي صالح، عن ابن عباس- وعن مرة عن ابن مسعود، وعن ناس من أصحاب النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ، قَالَ: أَمَرَ الَّذِي حَاجَّ إِبْرَاهِيمَ فِي رَبِّهِ بِإِبْرَاهِيمَ، فَأُخْرِجَ- يَعْنِي مِنْ مَدِينَتِهِ- قَالَ: فَأُخْرِجَ فَلَقِيَ لُوطًا عَلَى بَابِ الْمَدِينَةِ- وَهُوَ ابْنُ أَخِيهِ- فَدَعَاهُ فَآمَنَ بِهِ، وَقَالَ: «إِنِّي مُهاجِرٌ إِلى رَبِّي» ، وَحَلَفَ نُمْرُودُ أَنْ يَطْلُبَ إِلَهَ إِبْرَاهِيمَ، فَأَخَذَ أَرْبَعَةَ أَفْرُخٍ مِنْ فرَاخِ النُّسُورِ، فَرَبَّاهُنَّ بِاللَّحْمِ وَالْخَمْرِ، حَتَّى إِذَا كَبُرْنَ وَغَلُظْنَ وَاسْتَعْلَجْنَ، قَرَنَهُنَّ بِتَابُوتٍ، وَقَعَدَ فِي ذَلِكَ التَّابُوتِ، ثُمَّ رَفَعَ رِجْلا مِنْ لَحْمٍ لَهُنَّ، فَطِرْنَ بِهِ، حَتَّى إِذَا ذَهَبْنَ فِي السَّمَاءِ أَشْرَفَ يَنْظُرُ إِلَى الأَرْضِ، فَرَأَى الْجِبَالَ تَدُبُّ كَدَبِيبِ النَّمْلِ، ثُمَّ رَفَعَ لَهُنَّ اللَّحْمَ، ثُمَّ نَظَرَ فَرَأَى الأَرْضَ مُحِيطًا بِهَا بَحْرٌ كَأَنَّهَا فَلْكَةٌ فِي مَاءٍ، ثُمَّ رَفَعَ طَوِيلا فَوَقَعَ فِي ظُلْمَةٍ، فَلَمْ يَرَ مَا فَوْقَهُ وَلَمْ يَرَ مَا تَحْتَهُ، فَفَزِعَ فَأَلْقَى اللَّحْمَ فَاتَّبَعَتْهُ مُنْقَضَّاتٍ، فَلَمَّا نَظَرَتِ الْجِبَالُ إِلَيْهِنَّ وَقَدْ أَقْبَلْنَ مُنْقَضَّاتٍ وَسَمِعْنَ حَفِيفَهُنَّ فَزِعَتِ الْجِبَالُ، وَكَادَتْ أَنْ تَزُولَ مِنْ أَمْكِنَتِهَا وَلَمْ يَفْعَلْنَ، وَذَلِكَ قَوْلُهُ عَزَّ وَجَلَّ: «وَقَدْ مَكَرُوا مَكْرَهُمْ وَعِنْدَ اللَّهِ مَكْرُهُمْ وَإِنْ كانَ مَكْرُهُمْ لِتَزُولَ مِنْهُ الْجِبالُ» ، وَهِيَ فِي قِرَاءَةِ ابْنِ مَسْعُودٍ «: وَإِنْ كَادَ مَكْرُهُمْ» فَكَانَ طَيَرَانُهُنَّ بِهِ مِنْ بَيْتِ الْمَقْدِسِ، وَوُقُوعُهُنَّ فِي جَبَلِ الدُّخَانِ، فَلَمَّا رَأَى أَنَّهُ لا يُطِيقُ شَيْئًا أَخَذَ فِي بِنَاءِ الصَّرْحِ، فَبَنَى حَتَّى إِذَا أَسْنَدَهُ إِلَى السَّمَاءِ ارْتَقَى فَوْقَهُ يَنْظُرَ- بِزَعْمِهِ- إِلَى إِلَهِ إِبْرَاهِيمَ، فَأَحْدَثَ وَلَمْ يَكُنْ يُحْدِثُ، وَأَخَذَ اللَّهُ بُنْيَانَهُ مِنَ الْقَوَاعِدِ: «فَخَرَّ عَلَيْهِمُ السَّقْفُ مِنْ فَوْقِهِمْ وَأَتاهُمُ الْعَذابُ مِنْ حَيْثُ لا يَشْعُرُونَ» ، يقول: مِنْ مَأْمَنِهِمْ، وَأَخَذَهُمْ مِنْ أَسَاسِ الصَّرْحِ، فَتَنَقَّضَ بهم ثم سقط فَتَبَلْبَلَتْ أَلْسُنُ النَّاسِ مِنْ يَوْمِئِذٍ مِنَ الْفَزَعِ، فَتَكَلَّمُوا بِثَلاثَةٍ وَسَبْعِينَ لِسَانًا، فَلِذَلِكَ سُمِّيَتْ بَابِلَ، وَإِنَّمَا كَانَ لِسَانُ النَّاسِ قَبْلَ ذَلِكَ السِّرْيَانِيَّةَ"
"Nimrod had vowed to seek out Abraham's God. He took four eagle fledgelings and nurtured them on meat and wine so that they grew up tough and strong. Then he tied them to a chest and sat in that chest. He suspended a piece of meat over them, and they flew up trying to reach it. When they had risen high in the sky, Nimrod looked down and beheld the earth. He saw the mountains crawling below like creeping ants. When they had risen still higher he looked down again and saw the earth with a sea surrounding it, as though it were a sphere in water. After climbing still higher for a long time, he came into a region of darkness and could not see what was above him, nor what was below him. He became frightened and threw the meat down, and the eagles followed it, darting downwards. When the mountains saw them coming near, darting down, and heard their noise, they became afraid and almost moved from their places, but did not do so. As God says, ""Verily they have plot",
"ted their plot, and their plot is with God, even if their plot were one whereby the mountains should be moved."" The read-ing of Ibn Mas'ud has it, ""though their plot were almost one.""",
 They took off from Jerusalem and they fell down in the Moun¬tain of Smoke.,
"When Nimrod saw that this method would accomplish nothing, he began building the tower. He built it taller and taller until, when it reached heaven, he went up to the top to look, in his pride, at the God of Abraham. Then he voided ex¬crement though he had not done so. God seized his building by its foundations and the roof fell down upon them, ""and doom came upon them whence they knew not""—from their place of safety. And He took them from the foundations of the build¬ing, and it was demolished. Then it fell, and on that day the languages of mankind became confused from fright, and man¬kind came to speak seventy-three languages. Before that the only language had been Syriac. It was thus called Babel.",
"According to Ibn WakI'—Abu Dawud al-Hafari—Ya'¬qub—Hafs b. Humayd or Ja'far—Sa'id b. Jubayr: ""Even if their plot were one whereby the mountains should be moved."" Nimrod, master of the eagles, ordered a chest brought. He was placed in it, and placed another man in it with him. Then he commanded the eagles and they carried them aloft. When they had risen to a great height, Nimrod asked his companion, ""What do you see?"" He answered, ""I see the water and the island""—meaning the world. After they had climbed higher, he again asked his companion, ""What do you see?"" He answered, ""We are only growing farther from heaven."" And Nimrod said, ""Descend!""","حَدَّثَنَا ابن وكيع، قال: حَدَّثَنَا أبو داود الحفري، عن يعقوب، عن حفص بن حميد- أو جعفر- عن سعيد بن جبير: «وَإِنْ كانَ مَكْرُهُمْ لِتَزُولَ مِنْهُ الْجِبالُ» ، قال: نمرود صاحب النسور، أمر بتابوت فجعل وجعل معه رجلا ثم أمر بالنسور فاحتملته، فلما صعد قال لصاحبه: أي شيء ترى؟ قال: أرى الماء والجزيرة- يعني الدنيا- ثم صعد وقال لصاحبه: أي شيء ترى؟ قال: ما نزداد من السماء إلا بعدا، قال: اهبط، وقال غيره: نودي: أيها الطاغية، أين تريد؟ فسمعت الجبال حفيف النسور، وكانت ترى أنه أمر من السماء فكادت تزول، فهو قوله تعالى: «وَإِنْ كانَ مَكْرُهُمْ لِتَزُولَ مِنْهُ الْجِبالُ» ."
"Someone else has said: A voice proclaimed, ""O tyrant, where do you want to go?"" The mountains heard the rustling of the eagles and thought it was something from heaven, and would have moved, for that is His Word, ""Even if their plot were one whereby the mountains should be moved.""",
,
According to al-Hasan b. Muhammad—Muhammad b. Abi,"حَدَّثَنَا الْحَسَنُ بْنُ مُحَمَّدٍ، قَالَ: حَدَّثَنَا مُحَمَّدُ بْنُ أَبِي عَدِيٍّ، عَنْ شُعْبَةَ، عَنْ أَبِي إِسْحَاقَ، قَالَ: حَدَّثَنَا عَبْدُ الرَّحْمَنِ بْنُ دَانِيلٍ، [ان عليا ع قَالَ فِي هَذِهِ الآيَةِ: «وَإِنْ كانَ مَكْرُهُمْ لِتَزُولَ مِنْهُ الْجِبالُ» ، قَالَ: أَخَذَ ذَلِكَ الَّذِي حَاجَّ إِبْرَاهِيمَ فِي رَبِّهِ نِسْرَيْنِ صَغِيرَيْنِ، فَرَبَّاهُمَا حَتَّى اسْتَغْلَظَا وَاسْتَعْلَجَا فَشَبَّا، قَالَ: فَأَوْثَقَ رِجْلَ كُلِّ وَاحِدٍ مِنْهُمَا بِوَتَرٍ إِلَى تَابُوتٍ، وَجَوَّعَهُمَا وَقَعَدَ هُوَ وَرَجُلٌ آخَرَ فِي التَّابُوتِ، قَالَ: وَرَفَعَ فِي التَّابُوتِ عَصًا عَلَى رَأْسِهِ اللَّحْمُ، فَطَارَا، وَجَعَلَ يَقُولُ لِصَاحِبِهِ: انْظُرْ مَاذَا تَرَى؟ قَالَ: أَرَى كَذَا وَكَذَا، حَتَّى قَالَ: أَرَى الدُّنْيَا كَأَنَّهَا ذُبَابٌ، فَقَالَ: صَوِّبْ، فَصَوَّبَهَا، فَهَبِطَا قَالَ:"
'Adi—Shu'bah—Abu Ishaq—'Abd al-Rahman b. Daniyal—,فَهُوَ قَوْلُهُ عَزَّ وَجَلَّ: «وَإِنْ كانَ مَكْرُهُمْ لِتَزُولَ مِنْهُ الْجِبالُ»
"'Ali: Regarding the verse ""even if their plot were one whereby the mountains should be moved, "" the one who argued with Abraham about his Lord took two small eagles and raised them until they became tough, strong, and mature. Then he tied a foot of each one of them to a chest by a string. He starved them, and sat in the chest with another man. Then he raised a staff in the chest, with meat at its top end, and the eagles ascended. Nimrod began saying to his companion, ""Look! What do you see?"" He described what he saw, finally saying, ""I see the world as though it were insects."" Then he said ""Aim!"" And he aimed it and they descended. And this is His word, ""even if their plot were one whereby the mountains should be moved."" ",
"Abu Ishaq said: Thus in the reading of 'Abdallah, it is, ""Though their plot were almost....""This is what is mentioned of the story of Nimrod b. Cush b. Canaan. Some say that this Nimrod b. Cush b. Canaan was the king of the entire earth, east and west. This is a statement which scholars familiar with the biographies of kings and with the ac¬counts of the past reject. This is because they accept the fact that Abraham was born during the era of al-Dahhak b. Andarmasb, (concerning whom we have given some accounts above), and that at that time this al-Dahhak was the king of all the earth. One of those who knew about the era of al-Dahhak, who was uncertain about the extent of Nimrod's power, said that he did not know the truth of the matter even though cer¬tain accounts had been related to him on the subject. These ac¬counts said that there were four kings who ruled the whole world, two unbelievers and two believers. The unbelievers were Nimrod and Nechuchadnezzar, while the believers were Solomon b. David and Alexander. Those chroniclers who speak of the matter say that it was al-Dahhak who was king of the earth, east and west, during Abraham's time, and that Nimrod and al-Dahhak were the same person.",قَالَ أَبُو إِسْحَاقَ:
,وَلِذَلِكَ هِيَ فِي قِرَاءَةِ عَبْدِ اللَّهِ: «وَإِنْ كَادَ مَكْرُهُمْ] » .
,"فَهَذَا مَا ذُكِرَ مِنْ خَبَرِ نَمْرُودَ بْنِ كُوشِ بْنِ كَنْعَانَ وَقَدْ قَالَ جَمَاعَةٌ: إِنَّ نَمْرُودَ بْنَ كُوشِ بْنِ كَنْعَانَ هَذَا مَلَكَ مَشْرِقَ الأَرْضِ وَمَغْرِبِهَا، وَهَذَا قَوْلٌ يَدْفَعُهُ أَهْلُ الْعِلْمِ بِسِيَرِ الْمُلُوكِ وَأَخْبَارِ الْمَاضِينَ، وَذَلِكَ أَنَّهُمْ لا يَدْفَعُونَ وَلا يُنْكِرُونَ أَنَ مَوْلِدَ إِبْرَاهِيمَ كان في عهد الضحاك بن اندرماسب الذي قد ذكرنا بعض أخباره فيما مضى، وأن ملك شرق الأرض وغربها يومئذ كان الضحاك وقد قال بعض من أشكل عليه أمر نمرود ممن عرف زمان الضحاك وأسبابه فلم يدر كيف الأمر في ذلك مع سماعه ما انتهى إليه من الأخبار عمن روي عنه أنه قال: ملك الأرض كافران ومؤمنان، فأما الكافران فنمرود وبختنصر، وأما المؤمنان فسليمان بن داود وذو القرنين."
"Scholars expert in the ac¬counts of the forebears and in knowledge of the affairs of the peoples of ancient times have a different view, because accord¬ing to them it is well known that Nimrod was of Nabatean ori¬gin, whereas al-Dahhak was of Persian origin.","وقول القائلين من أهل الأخبار إن الضحاك كان هو ملك شرق الأرض وغربها في عهد إبراهيم نمرود: هو الضحاك وليس الأمر في ذلك عند أهل العلم بأخبار الأوائل، والمعرفة بالأمور السوالف، كالذي ظن، لأن نسب نمرود في النبط معروف، ونسب الضحاك في عجم الفرس مشهور،"
,
"On the other hand, scholars expert in the accounts of past generations and ancient nations have mentioned that al-Dahhak placed the Sawad and its surroundings to the right and the left under the rule of Nimrod, and made him and his descendants governors there. Al-Dahhak traveled around a great deal from country to country, but his homeland and that of his grandparents was Danbawand and the mountains of Tabaristan.","ولكن ذوي العلم بأخبار الماضين وأهل المعرفة بامور السافلين من الأمم ذكروا أن الضحاك كان ضم إلى نمرود السواد وما اتصل به يمنة ويسرة، وجعله وولده عماله على ذلك، وكان هو يتنقل في البلاد، وكان وطنه الذي هو وطنه ووطن أجداده دنباوند، من جبال طبرستان،"
